,0
0,12.0
1,10.0
2,15.0
3,4.0
4,2.0
5,12.0
6,8.0
7,6.0
8,9.0
9,3.0
10,6.0
11,2.0
12,10.0
13,3.0
14,11.0
15,5.0
16,5.0
17,2.0
18,11.0
19,12.0
20,
21,10.0
22,42.0
23,5.0
24,4.0
25,2.0
26,12.0
27,2.0
28,10.0
29,10.0
30,11.0
31,2.0
32,3.0
33,7.0
34,10.0
35,2.0
36,3.0
37,15.0
38,11.0
39,
40,7.0
41,5.0
42,4.0
43,3.0
44,4.0
45,9.0
46,5.0
47,13.0
48,2.0
49,8.0
50,2.0
51,3.0
52,10.0
53,3.0
54,6.0
55,4.0
56,14.0
57,15.0
58,12.0
59,6.0
60,3.0
61,5.0
62,11.0
63,3.0
64,5.0
65,11.0
66,4.0
67,4.0
68,10.0
69,2.0
70,3.0
71,2.0
72,5.0
73,3.0
74,2.0
75,4.0
76,3.0
77,4.0
78,4.0
79,5.0
80,3.0
81,4.0
82,2.0
83,
84,8.0
85,12.0
86,5.0
87,3.0
88,3.0
89,11.0
90,4.0
91,3.0
92,6.0
93,2.0
94,3.0
95,2.0
96,8.0
97,11.0
98,15.0
99,
100,2.0
101,7.0
102,4.0
103,11.0
104,3.0
105,2.0
106,5.0
107,14.0
108,4.0
109,2.0
110,2.0
111,2.0
112,3.0
113,5.0
114,5.0
115,2.0
116,4.0
117,2.0
118,9.0
119,4.0
120,19.0
121,10.0
122,
123,4.0
124,19.0
125,3.0
126,15.0
127,3.0
128,4.0
129,5.0
130,4.0
131,15.0
132,4.0
133,9.0
134,5.0
135,5.0
136,5.0
137,3.0
138,2.0
139,7.0
140,13.0
141,10.0
142,4.0
143,22.0
144,18.0
145,2.0
146,8.0
147,14.0
148,3.0
149,12.0
150,13.0
151,3.0
152,4.0
153,7.0
154,8.0
155,5.0
156,7.0
157,14.0
158,3.0
159,4.0
160,13.0
161,12.0
162,6.0
163,3.0
164,12.0
165,4.0
166,5.0
167,
168,4.0
169,3.0
170,
171,13.0
172,2.0
173,2.0
174,10.0
175,3.0
176,2.0
177,6.0
178,4.0
179,6.0
180,13.0
181,3.0
182,3.0
183,7.0
184,4.0
185,2.0
186,13.0
187,3.0
188,4.0
189,15.0
190,3.0
191,6.0
192,4.0
193,5.0
194,13.0
195,2.0
196,3.0
197,2.0
198,3.0
199,2.0
200,3.0
201,4.0
202,5.0
203,3.0
204,12.0
205,2.0
206,7.0
207,3.0
208,3.0
209,3.0
210,3.0
211,11.0
212,3.0
213,2.0
214,7.0
215,11.0
216,14.0
217,3.0
218,2.0
219,2.0
220,3.0
221,11.0
222,13.0
223,9.0
224,15.0
225,2.0
226,2.0
227,14.0
228,12.0
229,8.0
230,5.0
231,3.0
232,3.0
233,15.0
234,4.0
235,8.0
236,3.0
237,14.0
238,2.0
239,3.0
240,4.0
241,2.0
242,32.0
243,2.0
244,6.0
245,3.0
246,6.0
247,3.0
248,8.0
249,3.0
250,2.0
251,15.0
252,16.0
253,12.0
254,5.0
255,5.0
256,2.0
257,9.0
258,58.0
259,7.0
260,2.0
261,5.0
262,4.0
263,5.0
264,2.0
265,4.0
266,2.0
267,2.0
268,3.0
269,12.0
270,3.0
271,5.0
272,7.0
273,4.0
274,38.0
275,
276,58.0
277,5.0
278,3.0
279,7.0
280,3.0
281,15.0
282,14.0
283,11.0
284,3.0
285,3.0
286,12.0
287,5.0
288,3.0
289,13.0
290,5.0
291,5.0
292,
293,3.0
294,15.0
295,3.0
296,4.0
297,5.0
298,3.0
299,2.0
300,4.0
301,2.0
302,3.0
303,2.0
304,6.0
305,15.0
306,2.0
307,11.0
308,6.0
309,3.0
310,4.0
311,22.0
312,54.0
313,14.0
314,19.0
315,4.0
316,10.0
317,14.0
318,11.0
319,6.0
320,14.0
321,6.0
322,5.0
323,5.0
324,4.0
325,2.0
326,3.0
327,4.0
328,4.0
329,9.0
330,3.0
331,3.0
332,3.0
333,5.0
334,4.0
335,4.0
336,4.0
337,2.0
338,3.0
339,8.0
340,2.0
341,2.0
342,3.0
343,5.0
344,8.0
345,3.0
346,5.0
347,2.0
348,2.0
349,11.0
350,6.0
351,10.0
352,10.0
353,4.0
354,3.0
355,2.0
356,4.0
357,2.0
358,3.0
359,8.0
360,4.0
361,3.0
362,2.0
363,6.0
364,2.0
365,4.0
366,2.0
367,3.0
368,2.0
369,3.0
370,4.0
371,2.0
372,58.0
373,2.0
374,43.0
375,2.0
376,11.0
377,13.0
378,6.0
379,3.0
380,13.0
381,6.0
382,13.0
383,6.0
384,2.0
385,5.0
386,2.0
387,7.0
