区町名,平均緯度,平均経度
足立区一ツ家,35.78157178378378,139.8129569099099
足立区中央本町,35.77363776836158,139.80696588135592
足立区中川,35.77037888135593,139.85201797881356
足立区伊興,35.79473173856209,139.78377109150327
足立区伊興本町,35.79934508108108,139.78783556756758
足立区佐野,35.78701015,139.84097266
足立区保塚町,35.786312787878785,139.81285972727272
足立区保木間,35.79730257939914,139.80581246351932
足立区入谷,35.80540768965517,139.76174912807883
足立区六月,35.78670738686131,139.79642557664235
足立区六木,35.79462303125,139.8410159921875
足立区六町,35.78402372,139.82168544
足立区加平,35.77859426027397,139.82756021917808
足立区加賀,35.790688828125,139.75932615625
足立区北加平町,35.78439392,139.82895421999999
足立区千住,35.751381024137935,139.8027301551724
足立区千住中居町,35.74941125,139.79800363636363
足立区千住仲町,35.74509812307692,139.8012193846154
足立区千住元町,35.75493098214286,139.79291014285715
足立区千住大川町,35.756341846153845,139.7977017032967
足立区千住宮元町,35.74684256818182,139.79638818181817
足立区千住寿町,35.75344450980392,139.7993124509804
足立区千住旭町,35.749185929411766,139.8081547529412
足立区千住曙町,35.743168592592596,139.81428498148148
足立区千住東,35.745082545454544,139.80592797402596
足立区千住柳町,35.754155469387754,139.7964641020408
足立区千住桜木,35.752933203703705,139.79062887037037
足立区千住橋戸町,35.74070024637681,139.79765327536234
足立区千住河原町,35.74280385507247,139.79924420289854
足立区千住緑町,35.74571272164949,139.79223439175257
足立区千住関屋町,35.74212222222222,139.80576522222222
足立区千住龍田町,35.75198145238095,139.79503988095237
足立区南花畑,35.79295467353952,139.8196799587629
足立区古千谷,35.79772408,139.77296716
足立区古千谷本町,35.80545330232558,139.77671847674418
足立区堀之内,35.77500597560976,139.75677048780486
足立区大谷田,35.78056753038674,139.8430007790055
足立区宮城,35.759137555555554,139.75554533333334
足立区小台,35.75711294680851,139.76233460638298
足立区島根,35.78177294054054,139.79713922162162
足立区平野,35.78276964285714,139.80616092857142
足立区弘道,35.76841881651376,139.81457321100916
足立区扇,35.76500030243903,139.77216048780488
足立区新田,35.77245281954887,139.74251385714285
足立区日ノ出町,35.751692551020405,139.81007526530612
足立区本木,35.765078708333334,139.78530226388887
足立区本木北町,35.76531577272727,139.77961977272727
足立区本木南町,35.76228865853658,139.78228000000001
足立区本木東町,35.76614742105263,139.78242381578949
足立区本木西町,35.7617987,139.7793407
足立区東伊興,35.803280558139534,139.78853962790697
足立区東保木間,35.79118008108108,139.81352162162162
足立区東六月町,35.787394125,139.80615395833334
足立区東和,35.770502716981134,139.83999321383646
足立区東綾瀬,35.76713373863636,139.83272142045453
足立区柳原,35.74718255462185,139.81280651260505
足立区栗原,35.78229392517007,139.7873910340136
足立区梅島,35.77565488888889,139.79815297222223
足立区梅田,35.766688167146974,139.79757985878962
足立区椿,35.779294975,139.75970485
足立区江北,35.774158315,139.765039405
足立区皿沼,35.79290853333334,139.76566795555556
足立区神明,35.7956519,139.83383922222222
足立区神明南,35.788535824175824,139.83062754945055
足立区竹の塚,35.793469483870965,139.79539160573475
足立区綾瀬,35.76452129084968,139.82532974836602
足立区興野,35.769110562499996,139.7798046375
足立区舎人,35.811381825301204,139.76964298192772
足立区舎人公園,35.7994845,139.76872350000002
足立区花畑,35.805013770491804,139.81415329508198
足立区西伊興,35.79572403614458,139.7768458313253
足立区西伊興町,35.793643333333335,139.77261433333334
足立区西保木間,35.80100105785124,139.79897261157024
足立区西加平,35.77983523333333,139.82162606666668
足立区西新井,35.78331443302181,139.77781166978193
足立区西新井本町,35.77485815591398,139.7776893172043
足立区西新井栄町,35.77588191489362,139.7873669361702
足立区西竹の塚,35.79359427777778,139.78895031481483
足立区西綾瀬,35.76408352205882,139.81639602941175
足立区谷中,35.777263248000004,139.83321357600002
足立区谷在家,35.78667567676768,139.76872171717173
足立区足立,35.76314356147541,139.80814593442622
足立区辰沼,35.78767251111111,139.83486755555558
足立区関原,35.7681134260355,139.78881166863906
足立区青井,35.774205420863304,139.81697783453237
足立区鹿浜,35.78350812745098,139.75550867973857
