,0
0,468.0
1,2690.0
2,612.0
3,3168.0
4,1895.0
5,180.0
6,500.0
7,1204.0
8,1608.0
9,3720.0
10,192.0
11,10680.0
12,0.0
13,3920.0
14,2810.0
15,2856.0
16,420.0
17,904.0
18,360.0
19,2220.0
20,3773.0
21,1722.0
22,2184.0
23,1157.0
24,1262.0
25,96.0
26,105.0
27,4092.0
28,500.0
29,1980.0
30,1106.0
31,4092.0
32,4440.0
33,520.0
34,10.0
35,1432.0
36,2600.0
37,44.0
38,2.0
39,11609.0
40,1530.0
41,30.0
42,1620.0
43,300.0
44,2862.0
45,1125.0
46,42.0
47,1183.0
48,1131.0
49,4008.0
50,6195.0
51,875.0
52,768.0
53,4380.0
54,5553.0
55,1932.0
56,0.0
57,48.0
58,2637.0
59,490.0
60,3135.0
61,1780.0
62,721.0
63,1760.0
64,1870.0
65,3290.0
66,2673.0
67,121.0
68,0.0
69,45.0
70,0.0
71,5890.0
72,6570.0
73,6750.0
74,5215.0
75,1520.0
76,1083.0
77,20.0
78,0.0
79,696.0
80,5109.0
81,7125.0
82,2628.0
83,810.0
84,840.0
85,3.0
86,1776.0
87,3534.0
88,2544.0
89,945.0
90,2216.0
91,2075.0
92,3186.0
93,462.0
94,207.0
95,1158.0
96,441.0
97,856.0
98,1176.0
99,1170.0
100,2508.0
101,7176.0
102,0.0
103,51.0
104,2822.0
105,6308.0
106,14.0
107,1336.0
108,3916.0
109,1896.0
110,1027.0
111,0.0
112,3107.0
113,7137.0
114,1440.0
115,330.0
116,3199.0
117,4433.0
118,737.0
119,0.0
120,187.0
121,108.0
122,1460.0
123,124.0
124,405.0
125,9.0
126,175.0
127,4896.0
128,700.0
129,
130,2965.0
131,1650.0
132,1311.0
133,255.0
134,4.0
135,116.0
136,105.0
137,2961.0
138,976.0
139,219.0
140,25.0
141,584.0
142,164.0
143,1230.0
144,30.0
145,182.0
146,4394.0
147,20.0
148,1932.0
149,126.0
150,0.0
151,4741.0
152,1080.0
153,1980.0
154,12.0
155,315.0
156,50.0
157,2076.0
158,2135.0
159,0.0
160,1309.0
161,40.0
