区町名,平均緯度,平均経度
文京区千石,35.72656575257732,139.7405003814433
文京区千駄木,35.72643004508197,139.76072140983607
文京区向丘,35.72071097222222,139.7566256388889
文京区大塚,35.722695066115705,139.73125403305784
文京区小日向,35.713626114583334,139.7357421875
文京区小石川,35.71402238421052,139.74656525789473
文京区弥生,35.71707,139.76253873529413
文京区後楽,35.705284909090906,139.74698078787878
文京区春日,35.70994776470588,139.7453751764706
文京区本郷,35.70808842758621,139.7586618689655
文京区本駒込,35.730478720306515,139.75202461302683
文京区根津,35.71872608,139.7646955733333
文京区水道,35.70978994736842,139.73858897368422
文京区湯島,35.705772045454545,139.7677684848485
文京区白山,35.71962430042919,139.74924892274677
文京区目白台,35.71625653763441,139.72268260215054
文京区西片,35.714533470588236,139.75511380392155
文京区関口,35.71077857471264,139.72870060919539
文京区音羽,35.715534063829786,139.72945629787233
