区町名,平均緯度,平均経度
千代田区一ツ橋,35.693013,139.75762577777778
千代田区一番町,35.687194971428575,139.74209825714286
千代田区三番町,35.69054070833334,139.743154
千代田区丸の内,35.68002142307692,139.76421696153847
千代田区九段北,35.6956198125,139.74739640625
千代田区九段南,35.69292967567568,139.74500532432432
千代田区二番町,35.68609923076923,139.73631092307693
千代田区五番町,35.68976253846154,139.7346526923077
千代田区六番町,35.68729417647059,139.73359888235294
千代田区内幸町,35.670189444444446,139.75692511111112
千代田区内神田,35.691073741573035,139.76789330337078
千代田区北の丸公園,35.69179091666667,139.75215166666666
千代田区千代田,35.6854602,139.7560322
千代田区四番町,35.688963799999996,139.7379054
千代田区外神田,35.70160282706767,139.7704987593985
千代田区大手町,35.686803954545454,139.7659145909091
千代田区富士見,35.6984555625,139.74508515625
千代田区岩本町,35.693873140625,139.777158578125
千代田区平河町,35.68128693333333,139.74052803333333
千代田区日比谷公園,35.67358681818182,139.75605472727273
千代田区有楽町,35.67402903448276,139.76147634482757
千代田区東神田,35.69564245454546,139.78069758181817
千代田区永田町,35.67543258333333,139.74283658333331
千代田区皇居外苑,35.67998809090909,139.757859
千代田区神田三崎町,35.70077545652174,139.75368267391303
千代田区神田佐久間河岸,35.69706393333333,139.77777386666668
千代田区神田佐久間町,35.69790564912281,139.77725980701754
千代田区神田北乗物町,35.69243326666666,139.77378633333333
千代田区神田司町,35.6934915,139.76734885000002
千代田区神田和泉町,35.699630444444445,139.77722962962963
千代田区神田多町,35.6938008,139.76924646666666
千代田区神田富山町,35.69357713043478,139.77339543478263
千代田区神田小川町,35.69519372093023,139.76352541860464
千代田区神田岩本町,35.6953668,139.7748702
千代田区神田平河町,35.697998,139.775799
千代田区神田東松下町,35.69436497142857,139.77358548571428
千代田区神田東紺屋町,35.69306075,139.77461375
千代田区神田松永町,35.69980506666666,139.77506866666667
千代田区神田淡路町,35.69663578125,139.7671559375
千代田区神田猿楽町,35.698975576923075,139.7589621923077
千代田区神田相生町,35.699326,139.773618
千代田区神田神保町,35.69638117094017,139.7572716153846
千代田区神田紺屋町,35.69247583333333,139.7737839333333
千代田区神田練塀町,35.70033276190476,139.774607
千代田区神田美倉町,35.69095663636364,139.77425045454544
千代田区神田美土代町,35.693218571428574,139.76581885714288
千代田区神田花岡町,35.69857266666667,139.773723
千代田区神田西福田町,35.691329,139.774104
千代田区神田錦町,35.69236917857143,139.76257344642858
千代田区神田鍛冶町,35.69376057142857,139.7708592857143
千代田区神田須田町,35.69582208928571,139.77093619642855
千代田区神田駿河台,35.69820042424242,139.76353754545454
千代田区紀尾井町,35.6817947,139.734632
千代田区西神田,35.698680599999996,139.75504788
千代田区鍛冶町,35.69144655555556,139.77175766666667
千代田区隼町,35.682216625,139.7426565
千代田区霞が関,35.67296319047619,139.74936061904762
千代田区飯田橋,35.699947017543856,139.74857012280702
千代田区麹町,35.68437762711864,139.73802657627118
