区町名,平均緯度,平均経度
中央区京橋,35.676841241935485,139.77141338709677
中央区佃,35.666494313432835,139.78510197014927
中央区入船,35.67182182352941,139.77700470588235
中央区八丁堀,35.67581945652174,139.77643097826086
中央区八重洲,35.680272157894734,139.76974323684212
中央区勝どき,35.65801469767442,139.7756038255814
中央区新富,35.6722643877551,139.77424614285715
中央区新川,35.675837307692305,139.78269092307693
中央区日本橋,35.681474894736844,139.77443047368422
中央区日本橋中洲,35.68347453846154,139.79063223076923
中央区日本橋久松町,35.689328125,139.784409375
中央区日本橋人形町,35.685700885416665,139.78356170833334
中央区日本橋兜町,35.680820548387096,139.777490516129
中央区日本橋堀留町,35.68818386666667,139.7803897
中央区日本橋大伝馬町,35.69030211764706,139.77985070588235
中央区日本橋室町,35.686909585365854,139.77394236585366
中央区日本橋富沢町,35.6888343125,139.7829493125
中央区日本橋小伝馬町,35.691516954545456,139.77886404545455
中央区日本橋小網町,35.68275231578948,139.7810225789474
中央区日本橋小舟町,35.6868306875,139.77831331250002
中央区日本橋本町,35.68821033333333,139.77589024561405
中央区日本橋本石町,35.68766694736842,139.77076963157896
中央区日本橋横山町,35.692799909090915,139.7832970909091
中央区日本橋浜町,35.68696886065574,139.78825001639345
中央区日本橋箱崎町,35.68018927272727,139.78625550909092
中央区日本橋茅場町,35.67911205555556,139.77901396296298
中央区日本橋蛎殻町,35.6827157125,139.78423226249998
中央区日本橋馬喰町,35.69450732,139.78266116
中央区明石町,35.66741625,139.77744105
中央区晴海,35.65501705263158,139.78110080701754
中央区月島,35.6626835546875,139.7818590625
中央区東日本橋,35.69249682608696,139.7857876811594
中央区浜離宮庭園,35.660129,139.763515
中央区湊,35.67119433333333,139.77956322222224
中央区築地,35.66646076551724,139.77231440689656
中央区豊海町,35.65331694117647,139.76925776470588
中央区銀座,35.67079570053476,139.76622622459894
