区町名,平均緯度,平均経度
江戸川区一之江,35.69013395308642,139.88076740493827
江戸川区一之江町,35.68329991304348,139.87316069565216
江戸川区上一色,35.72650931034483,139.87238004597702
江戸川区上篠崎,35.711183288,139.901324808
江戸川区下篠崎町,35.69864292307692,139.91328725641026
江戸川区中央,35.708919584795325,139.87143654385966
江戸川区中葛西,35.66447136531365,139.86942405166053
江戸川区二之江町,35.68182489361702,139.87306776595744
江戸川区北小岩,35.74192903319502,139.8890732717842
江戸川区北篠崎,35.718534195121954,139.89608197560975
江戸川区北葛西,35.67519622875817,139.86052407843138
江戸川区南小岩,35.72618007758621,139.8840265143678
江戸川区南篠崎町,35.69416172580645,139.9036852311828
江戸川区南葛西,35.6497091595092,139.87413206748465
江戸川区大杉,35.707605494252874,139.87932583908045
江戸川区宇喜田町,35.676968875968996,139.86316505038758
江戸川区小松川,35.69810026271187,139.8509496016949
江戸川区平井,35.707345163223145,139.84373838636364
江戸川区新堀,35.70448418421053,139.8890502236842
江戸川区春江町,35.689759829787235,139.8837225744681
江戸川区本一色,35.71860196385542,139.87130328313253
江戸川区東小岩,35.72925756439394,139.8908454280303
江戸川区東小松川,35.69339574556213,139.86478698224852
江戸川区東松本,35.7188054047619,139.8840266904762
江戸川区東瑞江,35.68830870344827,139.8981191586207
江戸川区東篠崎,35.69651735294117,139.91475429411764
江戸川区東葛西,35.66345580987654,139.87965365185184
江戸川区松島,35.709132824902724,139.8614235058366
江戸川区松本,35.715509672413795,139.87806001724138
江戸川区松江,35.694332959259256,139.87146486666666
江戸川区江戸川,35.68292524460432,139.89385378597123
江戸川区清新町,35.659110224489794,139.85451755102042
江戸川区瑞江,35.694737454545454,139.89500962545455
江戸川区篠崎町,35.704677439024394,139.9065845121951
江戸川区臨海町,35.647320246376815,139.86252284057971
江戸川区興宮町,35.72261784745763,139.87610610169492
江戸川区船堀,35.68191037356322,139.86514136781608
江戸川区西一之江,35.697398380597015,139.87797000746266
江戸川区西小岩,35.735643583732056,139.8784342200957
江戸川区西小松川町,35.699241678571425,139.86327198214286
江戸川区西瑞江,35.685048966292136,139.88641341573032
江戸川区西篠崎,35.71263537704918,139.89546988524592
江戸川区西葛西,35.664683994897956,139.85862126020407
江戸川区谷河内,35.701995575,139.89710435
江戸川区鹿骨,35.71111072614108,139.8893492987552
江戸川区鹿骨町,35.717243,139.88345
