区町名,平均緯度,平均経度
板橋区三園,35.79113775,139.64099826136365
板橋区上板橋,35.76367324590164,139.67400448360655
板橋区中丸町,35.741882753424655,139.70345647945203
板橋区中台,35.76960847798742,139.67976135220124
板橋区中板橋,35.75597842105263,139.69748333333334
板橋区仲宿,35.755496132653064,139.71060790816327
板橋区仲町,35.752715039473685,139.69741711842104
板橋区前野町,35.76837540369393,139.6894595065963
板橋区加賀,35.75614524,139.71666746
板橋区南常盤台,35.75745752777778,139.6876266111111
板橋区南町,35.73996547945205,139.7014057671233
板橋区双葉町,35.75829025675676,139.70006745945946
板橋区向原,35.74188766990291,139.68318533009707
板橋区四葉,35.779643418918916,139.6523050135135
板橋区坂下,35.783406048275864,139.6837632551724
板橋区大原町,35.768861745098036,139.6983417254902
板橋区大和町,35.75885472727273,139.70464463636364
板橋区大山東町,35.74911146969697,139.70574496969698
板橋区大山町,35.74884860294118,139.69957235294117
板橋区大山西町,35.7469318115942,139.69522620289854
板橋区大山金井町,35.746020151515154,139.7055163939394
板橋区大谷口,35.74452829007634,139.6890140534351
板橋区大谷口上町,35.74843341509434,139.6913821226415
板橋区大谷口北町,35.7505457745098,139.68849770588236
板橋区大門,35.783842375,139.6483511875
板橋区宮本町,35.763851692307696,139.7015475897436
板橋区富士見町,35.7609468125,139.697772671875
板橋区小茂根,35.74885011111111,139.67888425490196
板橋区小豆沢,35.77768939837399,139.69960723577236
板橋区常盤台,35.7615323592233,139.687565315534
板橋区幸町,35.74421249484536,139.69727373195877
板橋区弥生町,35.75390166292135,139.69337871910113
板橋区徳丸,35.77509759090909,139.6600076604278
板橋区志村,35.77585790434783,139.69039173913043
板橋区成増,35.781319025362315,139.63252841304347
板橋区新河岸,35.79584098823529,139.66143907058822
板橋区本町,35.76001110975609,139.7086909390244
板橋区東坂下,35.783685580000004,139.68989848
板橋区東山町,35.753708016949155,139.68642552542372
板橋区東新町,35.75611427966102,139.68177316101693
板橋区板橋,35.74989481881533,139.71537271428573
板橋区栄町,35.753800014925375,139.70246776119401
板橋区桜川,35.759014451612906,139.67594141935484
板橋区氷川町,35.753254375,139.70647455357144
板橋区泉町,35.766874,139.70037803174603
板橋区清水町,35.76454665625,139.70670329166668
板橋区熊野町,35.74335660416667,139.70654275
板橋区相生町,35.77734167567567,139.67950935135136
板橋区稲荷台,35.76150218181818,139.71265386363638
板橋区舟渡,35.79392583898305,139.68562783050848
板橋区若木,35.77051575308642,139.6734670802469
板橋区蓮根,35.783442785714286,139.67689324107144
板橋区蓮沼町,35.770371056179776,139.7038469775281
板橋区西台,35.776220522613066,139.6695436080402
板橋区赤塚,35.77772724401914,139.64361208373205
板橋区赤塚新町,35.77105701030928,139.6403315670103
板橋区高島平,35.78794422090262,139.65963966270783
