区町名,平均緯度,平均経度
葛飾区お花茶屋,35.75150837078652,139.84051115730338
葛飾区亀有,35.763256,139.84807953097345
葛飾区南水元,35.77696319847328,139.86015572519085
葛飾区四つ木,35.73690094470046,139.83558394009216
葛飾区堀切,35.74783753817505,139.82878689944133
葛飾区奥戸,35.732895311572705,139.86349270326411
葛飾区宝町,35.74482410891089,139.8369784158416
葛飾区小菅,35.75483530201342,139.82271161073825
葛飾区新宿,35.76214429816514,139.86102285779816
葛飾区新小岩,35.71654505555556,139.8625762008547
葛飾区東四つ木,35.73060809947644,139.84030962827225
葛飾区東堀切,35.752378703703705,139.83591312962963
葛飾区東新小岩,35.724630065743945,139.8589288096886
葛飾区東水元,35.78504816393443,139.86722314754098
葛飾区東立石,35.733916028985504,139.84851214492755
葛飾区東金町,35.775088599483205,139.87612354263567
葛飾区柴又,35.755672907738095,139.87583758630953
葛飾区水元,35.7852137421875,139.8599641640625
葛飾区水元公園,35.789509058823526,139.87036470588237
葛飾区白鳥,35.750610372881354,139.8451686101695
葛飾区立石,35.74022357567568,139.8481502081081
葛飾区細田,35.741210647398844,139.87154530635837
葛飾区西亀有,35.76134641626794,139.83756045454547
葛飾区西新小岩,35.721684785310735,139.84999568926554
葛飾区西水元,35.78762466091954,139.85106940229886
葛飾区金町,35.76596081040892,139.87062570631971
葛飾区鎌倉,35.745921278026906,139.87877647085202
葛飾区青戸,35.749769602122015,139.85453807161804
葛飾区高砂,35.75069531564245,139.8664044217877
