区町名,平均緯度,平均経度
北区上中里,35.746334383458645,139.7490225037594
北区上十条,35.762433333333334,139.71876974647887
北区中十条,35.762742258278145,139.72533862913906
北区中里,35.73915996,139.75136779000002
北区十条仲原,35.76556831404959,139.7201822892562
北区十条台,35.755916400000004,139.7244349
北区堀船,35.753738580487806,139.7476394
北区岩淵町,35.78454522222222,139.7236911851852
北区岸町,35.75785231578947,139.7323692894737
北区志茂,35.78005043548387,139.7307256639785
北区昭和町,35.74793733333333,139.75390052083333
北区東十条,35.76630135714286,139.72819828571429
北区東田端,35.73984527906977,139.76203511627907
北区栄町,35.75032314516129,139.74404811290324
北区桐ケ丘,35.779110029126215,139.7087035145631
北区浮間,35.7889978872549,139.69885028431372
北区滝野川,35.747387664576806,139.7284035141066
北区王子,35.76014320197044,139.73687896059113
北区王子本町,35.75430208490566,139.73097183018868
北区田端,35.73611846820809,139.75714357225434
北区田端新町,35.740459,139.7655496923077
北区神谷,35.77064148543689,139.73145573786408
北区西が丘,35.768267336448595,139.71279928037384
北区西ケ原,35.74374880064309,139.74034696463022
北区豊島,35.76254468794326,139.7441805851064
北区赤羽,35.781687222222224,139.72208978947367
北区赤羽北,35.78407613709677,139.70856925
北区赤羽南,35.77528205084746,139.72390988135592
北区赤羽台,35.781504728,139.714207008
北区赤羽西,35.77325802390438,139.71541316733067
