区町名,平均緯度,平均経度
江東区三好,35.680332507936505,139.80437114285712
江東区亀戸,35.69908682616822,139.82963855140187
江東区住吉,35.68871542857143,139.8145639857143
江東区佐賀,35.6776704516129,139.79095948387098
江東区冬木,35.674382,139.8012475652174
江東区北砂,35.68075126470588,139.83138545588236
江東区千田,35.68129260869565,139.81568669565218
江東区千石,35.678304350000005,139.81474765000002
江東区南砂,35.673324974576275,139.82951583474576
江東区古石場,35.66739536956521,139.79809297826085
江東区塩浜,35.66295707142857,139.80943745714285
江東区夢の島,35.64981576923077,139.82940453846155
江東区大島,35.68987813181818,139.83359025454547
江東区富岡,35.6713351875,139.79927202083334
江東区常盤,35.684996386363636,139.79613138636364
江東区平野,35.67779969642857,139.80417075
江東区扇橋,35.683299929577466,139.8155568309859
江東区新大橋,35.688360116666665,139.7944997
江東区新木場,35.64066284684685,139.83097135135137
江東区新砂,35.66453692307692,139.82936701923077
江東区有明,35.63049190540541,139.79174391891894
江東区木場,35.670499632183905,139.80544152873563
江東区東砂,35.67707488064516,139.8413501064516
江東区東陽,35.67007275460123,139.81277257055217
江東区東雲,35.64391854545455,139.80192947727272
江東区枝川,35.65725559523809,139.8062895595238
江東区森下,35.68681053103448,139.80238343448275
江東区毛利,35.69151061764706,139.81492088235294
江東区永代,35.67350955,139.79108445
江東区海の森,35.60239013333333,139.80111433333335
江東区海辺,35.68113541666667,139.81857341666668
江東区深川,35.67579887234043,139.79770865957448
江東区清澄,35.68191662745098,139.79613817647058
江東区潮見,35.657338829787236,139.8144819361702
江東区牡丹,35.66936504545455,139.79728536363635
江東区猿江,35.68631155102041,139.8134001632653
江東区白河,35.68232546391753,139.8038336701031
江東区石島,35.68107836,139.8126786
江東区福住,35.67645874074074,139.79364096296297
江東区若洲,35.625303153846154,139.83230584615384
江東区豊洲,35.65425620338983,139.79594598305084
江東区越中島,35.66702060606061,139.7943906969697
江東区辰巳,35.64814512244898,139.81183493877552
江東区門前仲町,35.6730925,139.79483041666668
江東区青海,35.61902192307692,139.7802068717949
江東区高橋,35.684995625,139.7995268125
