,平均地価
0,601625.0
1,1408000.0
2,855000.0
3,698875.0
4,341666.6666666667
5,540250.0
6,523000.0
7,1210500.0
8,780000.0
9,702166.6666666666
10,476500.0
11,370000.0
12,3442222.222222222
13,1331333.3333333333
14,787500.0
15,1400000.0
16,427000.0
17,304000.0
18,1037000.0
19,1055000.0
20,530500.0
21,1702000.0
22,1232750.0
23,516666.6666666667
24,370000.0
25,518333.3333333333
26,1645500.0
27,543888.8888888889
28,453600.0
29,1233333.3333333333
30,709000.0
31,497857.1428571429
32,285750.0
33,799000.0
34,1026666.6666666666
35,507166.6666666667
36,348500.0
37,540250.0
38,636600.0
39,276500.0
40,782000.0
41,606500.0
42,576285.7142857143
43,576285.7142857143
44,322400.0
45,380000.0
46,391000.0
47,16966666.666666668
48,689500.0
49,6949142.857142857
50,543600.0
51,584000.0
52,1466222.2222222222
53,660000.0
54,738500.0
55,611500.0
56,2165000.0
57,1050000.0
58,1107777.7777777778
59,516666.6666666667
60,735333.3333333334
61,821333.3333333334
62,1382666.6666666667
63,543888.8888888889
64,618000.0
65,623333.3333333334
66,828000.0
67,439250.0
68,3442222.222222222
69,901600.0
70,499000.0
71,304000.0
72,356333.3333333333
73,447600.0
74,1544500.0
75,273500.0
76,761666.6666666666
77,398000.0
78,1558583.3333333333
79,607200.0
80,660000.0
81,689666.6666666666
82,409142.8571428572
83,695000.0
84,1436666.6666666667
85,527000.0
86,1114800.0
87,628333.3333333334
88,534600.0
89,522500.0
90,439250.0
91,699000.0
92,568000.0
93,480600.0
94,623333.3333333334
95,623333.3333333334
96,348000.0
97,4100000.0
98,472200.0
99,782500.0
100,761666.6666666666
101,279000.0
102,2070000.0
103,1466222.2222222222
104,285750.0
105,782500.0
106,601625.0
107,6726000.0
108,447600.0
109,587500.0
110,453000.0
111,658500.0
112,660000.0
113,565285.7142857143
114,573000.0
115,
116,487333.3333333333
117,516571.4285714286
118,574333.3333333334
119,963000.0
120,2198888.888888889
121,1199200.0
122,472200.0
123,389400.0
124,1173333.3333333333
125,864500.0
126,1431000.0
127,296000.0
128,285750.0
129,292250.0
130,1210500.0
131,1431000.0
132,743400.0
133,2440000.0
134,516666.6666666667
135,476500.0
136,
137,301666.6666666667
138,689500.0
139,491000.0
140,3850000.0
141,1830285.7142857143
142,543600.0
143,654000.0
144,702166.6666666666
145,452000.0
146,388200.0
147,579000.0
148,807600.0
149,447600.0
150,639000.0
151,764714.2857142857
152,450000.0
153,618000.0
154,1200000.0
155,1291000.0
156,
157,577500.0
158,
159,524500.0
160,519000.0
161,241500.0
162,1420000.0
163,1187571.4285714286
164,1181000.0
165,639000.0
166,821333.3333333334
167,576285.7142857143
168,686000.0
169,850000.0
170,749666.6666666666
171,2500000.0
172,1558583.3333333333
173,2501250.0
174,
175,559500.0
176,318000.0
177,543888.8888888889
178,628333.3333333334
179,4055142.857142857
180,640000.0
181,450000.0
182,425666.6666666667
183,416800.0
184,453600.0
185,567500.0
186,677500.0
187,315000.0
188,1758000.0
189,1830285.7142857143
190,235000.0
191,698875.0
192,479500.0
193,484500.0
194,2440000.0
195,348500.0
196,392666.6666666667
197,516000.0
198,499200.0
199,698875.0
200,332000.0
201,644000.0
202,698875.0
203,705250.0
204,1953666.6666666667
205,516571.4285714286
206,490000.0
207,1073666.6666666667
208,480600.0
209,377666.6666666667
210,795777.7777777778
211,636600.0
212,351000.0
213,709000.0
214,398000.0
215,1580000.0
216,685666.6666666666
217,795777.7777777778
218,860500.0
219,351000.0
220,526800.0
221,504666.6666666667
222,3793750.0
223,795777.7777777778
224,6949142.857142857
225,626500.0
226,487333.3333333333
227,702166.6666666666
228,
229,497857.1428571429
230,364666.6666666667
231,896666.6666666666
232,442750.0
233,2930000.0
234,504000.0
235,601000.0
236,
237,579000.0
238,351000.0
239,292250.0
240,398833.3333333333
241,539666.6666666666
242,1408000.0
243,452000.0
244,222000.0
245,523000.0
246,1377666.6666666667
247,570200.0
248,439250.0
249,447600.0
250,528400.0
251,2295000.0
252,689666.6666666666
253,1450000.0
254,
255,738500.0
256,400000.0
257,965333.3333333334
258,1580000.0
259,442857.1428571429
260,301500.0
261,583500.0
262,458100.0
263,743400.0
264,406500.0
265,998000.0
266,624500.0
267,520333.3333333333
268,758500.0
269,805000.0
270,487333.3333333333
271,348000.0
272,
273,223500.0
274,1840000.0
275,677500.0
276,1580000.0
277,988250.0
278,1558583.3333333333
279,448833.3333333333
280,686000.0
281,1457166.6666666667
282,2930000.0
283,764714.2857142857
284,484500.0
285,301500.0
286,1382666.6666666667
287,492000.0
288,1544500.0
289,442857.1428571429
