,区町名,平均緯度,平均経度
0,北区滝野川,35.747387664576806,139.7284035141066
1,中央区月島,35.6626835546875,139.7818590625
2,渋谷区笹塚,35.675047041666666,139.66695800462963
3,杉並区高円寺南,35.70191618881119,139.6522017459207
4,葛飾区金町,35.76596081040892,139.87062570631971
5,荒川区南千住,35.734233113861386,139.79700889356437
6,練馬区東大泉,35.74896325933202,139.5871614950884
7,目黒区鷹番,35.62835612195122,139.6860899105691
8,文京区向丘,35.72071097222222,139.7566256388889
9,板橋区板橋,35.74989481881533,139.7153727142857
10,大田区西馬込,35.58864260526315,139.70469031578946
11,江戸川区北小岩,35.74192903319502,139.8890732717842
12,港区南青山,35.6657125,139.71934561340206
13,杉並区阿佐谷南,35.70232073895583,139.6374481566265
14,墨田区緑,35.694403648854966,139.8033456870229
15,渋谷区幡ヶ谷,,
16,板橋区桜川,35.759014451612906,139.67594141935484
17,江戸川区西瑞江,35.685048966292136,139.88641341573032
18,新宿区四谷三栄町,35.68857045283019,139.7257343018868
19,中央区日本橋箱崎町,35.68018927272727,139.78625550909092
20,中野区江古田,35.72567242857143,139.667030987013
21,文京区湯島,35.705772045454545,139.7677684848485
22,中央区佃,35.666494313432835,139.78510197014927
23,大田区大森西,35.573804,139.72727005988023
24,江戸川区北小岩,35.74192903319502,139.8890732717842
25,豊島区千早,35.73451454143647,139.68906184530388
26,台東区台東,35.70396847593583,139.77876976470588
27,足立区綾瀬,35.76452129084968,139.82532974836602
28,江戸川区船堀,35.68191037356322,139.86514136781608
29,渋谷区上原,35.666971708609275,139.68110729801325
30,豊島区高田,35.714976079646014,139.7128004778761
31,江戸川区中葛西,35.66447136531365,139.86942405166053
32,葛飾区奥戸,35.732895311572705,139.86349270326411
33,世田谷区等々力,35.60953931506849,139.65272348630137
34,新宿区大京町,35.684972527777774,139.71731949999997
35,葛飾区亀有,35.763256,139.84807953097345
36,練馬区石神井台,35.7364926426799,139.58749822580646
37,荒川区南千住,35.734233113861386,139.79700889356437
38,豊島区南長崎,35.72693259786477,139.68561460142348
39,葛飾区南水元,35.77696319847328,139.86015572519085
40,文京区水道,35.70978994736842,139.73858897368422
41,墨田区東駒形,35.70653419626168,139.8024148224299
42,大田区久が原,35.58021828571429,139.69264025974027
43,大田区久が原,35.58021828571429,139.69264025974027
44,練馬区南大泉,35.74451685488127,139.57330523218997
45,台東区日本堤,35.72702704444444,139.79754765555555
46,墨田区京島,35.71498825568182,139.82175048863635
47,渋谷区宇田川町,35.66176564444444,139.69784131111112
48,練馬区豊玉上,35.73659366101695,139.6657567457627
49,新宿区西新宿,35.69133936594203,139.69085905434784
50,世田谷区祖師谷,35.64872988643533,139.6066249022082
51,練馬区旭丘,35.7350415106383,139.67646085815602
52,台東区浅草,35.71714020204604,139.796678915601
53,世田谷区弦巻,35.63670903896104,139.6465011904762
54,目黒区緑が丘,35.60862787878788,139.67663055555553
