区町名,平均緯度,平均経度
目黒区三田,35.640046647058824,139.7121335490196
目黒区上目黒,35.64262920353982,139.69356706637168
目黒区下目黒,35.629252174603174,139.7061097142857
目黒区中央町,35.630742266666665,139.68985354444445
目黒区中根,35.615382261538464,139.6743881076923
目黒区中町,35.63243269672131,139.6956285819672
目黒区中目黒,35.638708392,139.70128648800002
目黒区五本木,35.635197512048194,139.68699591566266
目黒区八雲,35.619643823529415,139.66909744444445
目黒区南,35.61428956701031,139.68725069072164
目黒区原町,35.616248686746985,139.69425178313253
目黒区大岡山,35.6102840882353,139.68259105882353
目黒区大橋,35.65329223913044,139.68715023913043
目黒区平町,35.61634144927536,139.68005952173914
目黒区東が丘,35.62914698717949,139.6673102179487
目黒区東山,35.6476975046729,139.68912709345796
目黒区柿の木坂,35.62379210084034,139.67577947058822
目黒区洗足,35.613096070422536,139.6941082112676
目黒区目黒,35.63444879831933,139.706329394958
目黒区目黒本町,35.62206103767123,139.6968490239726
目黒区碑文谷,35.62196146666667,139.68522864615386
目黒区祐天寺,35.6379872881356,139.69356040677965
目黒区緑が丘,35.60862787878788,139.67663055555553
目黒区自由が丘,35.610114702290076,139.66755441221372
目黒区青葉台,35.65019858695652,139.6939437173913
目黒区駒場,35.65823931343284,139.68449526119403
目黒区鷹番,35.62835612195122,139.6860899105691
