区町名,平均緯度,平均経度
中野区上高田,35.71337892877493,139.67487312820515
中野区上鷺宮,35.73054348404255,139.63124275531916
中野区中央,35.699806857594936,139.67472656962025
中野区中野,35.70547124848485,139.66919654848485
中野区丸山,35.72466372463768,139.65356330434784
中野区南台,35.68249433864542,139.66742491633465
中野区大和町,35.713090595041315,139.64881412396693
中野区弥生町,35.68930536727273,139.67322138545455
中野区新井,35.71374522018348,139.66538738990826
中野区本町,35.694773974193545,139.67355303225807
中野区東中野,35.70612370813397,139.6843458708134
中野区松が丘,35.72041845679013,139.6711668765432
中野区江原町,35.73016340972222,139.67275792361113
中野区江古田,35.72567242857143,139.667030987013
中野区沼袋,35.72056645652174,139.66348157065218
中野区白鷺,35.7198934117647,139.63483769281046
中野区若宮,35.718861770833335,139.64532421354167
中野区野方,35.71676863253012,139.65493565361444
中野区鷺宮,35.72449831601732,139.63784546320346
