区町名,平均緯度,平均経度
練馬区三原台,35.75367842335766,139.60366554744525
練馬区上石神井,35.72827322821577,139.59244110788381
練馬区上石神井南町,35.72321493333333,139.59567173333332
練馬区下石神井,35.73215261278195,139.6055512518797
練馬区中村,35.73254707207207,139.64296037837838
練馬区中村北,35.73556513483146,139.64189521348314
練馬区中村南,35.728483621848746,139.6442233445378
練馬区光が丘,35.76000610679611,139.62894141747574
練馬区北町,35.76469635806452,139.65620346129032
練馬区南大泉,35.74451685488127,139.57330523218997
練馬区南田中,35.73533834782609,139.61538989440993
練馬区向山,35.74161021656051,139.6408341146497
練馬区土支田,35.76315088142292,139.6131028972332
練馬区大泉学園町,35.766118616470585,139.58718634588234
練馬区大泉町,35.76355828297873,139.60048394468083
練馬区富士見台,35.73905703787879,139.62266329545454
練馬区小竹町,35.74155311956522,139.67592786413044
練馬区平和台,35.75866442352941,139.66137732941175
練馬区早宮,35.75107230278884,139.65399969721116
練馬区旭丘,35.7350415106383,139.67646085815602
練馬区旭町,35.76976070224719,139.62559364606741
練馬区春日町,35.7520243916914,139.64178638872406
練馬区東大泉,35.74896325933202,139.5871614950884
練馬区栄町,35.73872684313725,139.67007433333333
練馬区桜台,35.74366489812332,139.6624675924933
練馬区氷川台,35.753626964497045,139.66715355621304
練馬区田柄,35.76255115083799,139.64046205586592
練馬区石神井台,35.7364926426799,139.58749822580646
練馬区石神井町,35.74372405053192,139.60360669414894
練馬区立野町,35.71654167924528,139.58065643396225
練馬区練馬,35.74066751546392,139.6517196701031
練馬区羽沢,35.746384669491526,139.6715205423729
練馬区西大泉,35.758711793103444,139.57363819827586
練馬区谷原,35.75312141836735,139.61468936734693
練馬区豊玉上,35.73659366101695,139.6657567457627
練馬区豊玉中,35.73124806802721,139.6579237755102
練馬区豊玉北,35.73465581725888,139.6601103502538
練馬区豊玉南,35.728133829545456,139.65552581818181
練馬区貫井,35.740157469534054,139.63142983512543
練馬区錦,35.760694513157894,139.6686371973684
練馬区関町北,35.72758522033899,139.57316783898307
練馬区関町南,35.72038951973684,139.5806827368421
練馬区関町東,35.72615449122807,139.58235624561405
練馬区高松,35.75215325090909,139.62674901454545
練馬区高野台,35.746102893401016,139.61530893401016
