区町名,平均緯度,平均経度
大田区ふるさとの浜辺公園,35.572291,139.742604
大田区上池台,35.597312537313435,139.69761265298507
大田区下丸子,35.56817174175824,139.68514541758242
大田区中央,35.57747475535168,139.71686396941897
大田区中馬込,35.59485722330097,139.70664324271846
大田区久が原,35.58021828571429,139.69264025974027
大田区京浜島,35.57081158333333,139.76445341666667
大田区令和島,35.591228799999996,139.80387639999998
大田区仲六郷,35.54941842523365,139.7130391448598
大田区仲池上,35.58553398507463,139.69923104477613
大田区北千束,35.60823473493976,139.68922953614458
大田区北嶺町,35.587092465517244,139.6830531724138
大田区北糀谷,35.56249742307692,139.73452515384616
大田区北馬込,35.599430048076925,139.70788551923076
大田区千鳥,35.5712379537037,139.69251107407408
大田区南久が原,35.576705945945946,139.68664425675678
大田区南六郷,35.54696885271318,139.7205944263566
大田区南千束,35.602753640350876,139.68980538596492
大田区南蒲田,35.55590967295597,139.7250335408805
大田区南雪谷,35.59083228671329,139.68454934265733
大田区南馬込,35.5877181880597,139.71271670149252
大田区城南島,35.580647,139.77753415384615
大田区多摩川,35.56064412173913,139.7002573826087
大田区大森中,35.567069815217394,139.73270067391303
大田区大森北,35.5830005751073,139.73059857081546
大田区大森南,35.56414660483871,139.74296537096774
大田区大森本町,35.58041814,139.73735399999998
大田区大森東,35.57148197272728,139.7385601909091
大田区大森西,35.573803999999996,139.72727005988023
大田区山王,35.58893611162791,139.72342115348837
大田区平和の森公園,35.580817833333334,139.7400835
大田区平和島,35.58221972093023,139.74595290697673
大田区新蒲田,35.558063267716534,139.70720097637798
大田区昭和島,35.572632750000004,139.7494710625
大田区本羽田,35.547609289719624,139.73170740186916
大田区東六郷,35.548903472727275,139.71739531818181
大田区東嶺町,35.58308574576271,139.68451327118643
大田区東海,35.584954833333335,139.76320747916665
大田区東矢口,35.564200992537316,139.70440562686568
大田区東糀谷,35.557032176470585,139.74337466386555
大田区東蒲田,35.56291306944444,139.72851318055555
大田区東雪谷,35.59419215420561,139.69020324766356
大田区東馬込,35.59614030588235,139.7150844117647
大田区池上,35.573447994219656,139.70386069075144
大田区田園調布,35.59360871022727,139.6666614346591
大田区田園調布南,35.58073862162162,139.67531502702704
大田区田園調布本町,35.58532502469136,139.67590041975308
大田区矢口,35.56316352307692,139.69314711538462
大田区石川町,35.60030065333333,139.6822512
大田区羽田,35.54802420689656,139.74628678448278
大田区羽田旭町,35.552840045454545,139.74887395454545
大田区羽田空港,35.54907217647059,139.77314294117647
大田区萩中,35.55142537142857,139.7318056
大田区蒲田,35.56372878661088,139.72153614225942
大田区蒲田本町,35.55676693220339,139.71802186440678
大田区西六郷,35.549084186234815,139.7072061174089
大田区西嶺町,35.5813487368421,139.68004026315788
大田区西糀谷,35.55660932126697,139.73333391402716
大田区西蒲田,35.566995706521745,139.71220450543478
大田区西馬込,35.58864260526315,139.70469031578946
大田区雪谷大塚町,35.59213259259259,139.6789647777778
大田区鵜の木,35.57554364963504,139.67959620437958
