区町名,平均緯度,平均経度
世田谷区三宿,35.65096177922078,139.67497597402598
世田谷区三軒茶屋,35.641302124999996,139.66808945588235
世田谷区上北沢,35.668606442922375,139.62178552054795
世田谷区上用賀,35.63412171590909,139.6292184147727
世田谷区上祖師谷,35.65892058680556,139.59687902430557
世田谷区上野毛,35.61327036805555,139.6377843402778
世田谷区上馬,35.63780302843602,139.6630629336493
世田谷区下馬,35.6366146109589,139.6795852712329
世田谷区世田谷,35.64309561111111,139.6484424074074
世田谷区中町,35.61525028985508,139.6434027777778
世田谷区代沢,35.656453588888894,139.67109291111112
世田谷区代田,35.6574164660767,139.66078265486723
世田谷区八幡山,35.66377831617647,139.61795763235295
世田谷区北沢,35.665339887323945,139.66990734507044
世田谷区北烏山,35.676578560090704,139.59718113151928
世田谷区千歳台,35.65234759241706,139.6126843364929
世田谷区南烏山,35.669020913934425,139.60423663114753
世田谷区喜多見,35.63019433156499,139.59578115384613
世田谷区大原,35.66932799999999,139.66243988235294
世田谷区大蔵,35.6304103557047,139.61068632214764
世田谷区太子堂,35.64669895959596,139.66986333838383
世田谷区奥沢,35.60413205607477,139.66964889719628
世田谷区宇奈根,35.62154576984127,139.60395904761904
世田谷区宮坂,35.65158746385542,139.63975315060242
世田谷区尾山台,35.60215853846154,139.65476232967032
世田谷区岡本,35.62460591304348,139.61766239855072
世田谷区弦巻,35.63670903896104,139.6465011904762
世田谷区成城,35.64267359615384,139.59736740934065
世田谷区新町,35.62991883606557,139.64874513934424
世田谷区東玉川,35.59639746212122,139.67604777272726
世田谷区松原,35.664017314666665,139.64956852266667
世田谷区桜,35.64356834848485,139.6394504318182
世田谷区桜上水,35.66222064090909,139.63113135
世田谷区桜丘,35.64321874042553,139.62495038297874
世田谷区桜新町,35.63040466304348,139.64286738043478
世田谷区梅丘,35.652995197080294,139.65289218248176
世田谷区池尻,35.64997930263158,139.68044961842105
世田谷区深沢,35.620130444078946,139.6549469769737
世田谷区瀬田,35.620054866310156,139.6294928181818
世田谷区玉堤,35.59700538181818,139.65095580000002
世田谷区玉川,35.61474952795031,139.62579814906832
世田谷区玉川台,35.624046540983606,139.63113062295082
世田谷区玉川田園調布,35.60040502439025,139.6653911707317
世田谷区用賀,35.62710052287582,139.636246
世田谷区砧,35.639426150000006,139.61244094687498
世田谷区砧公園,35.630925999999995,139.62085166666668
世田谷区祖師谷,35.64872988643533,139.6066249022082
世田谷区等々力,35.60953931506849,139.65272348630137
世田谷区粕谷,35.662671296875,139.607725140625
世田谷区経堂,35.64971812851405,139.6319009879518
世田谷区給田,35.667634023255815,139.59045821511629
世田谷区羽根木,35.665882214285716,139.65791385714286
世田谷区船橋,35.65373508127208,139.62189184452296
世田谷区若林,35.6465525,139.659832816
世田谷区豪徳寺,35.65142322222222,139.64773562962964
世田谷区赤堤,35.65966750877193,139.64095608421053
世田谷区野毛,35.60391011111111,139.6414236060606
世田谷区野沢,35.63320085534591,139.67088511320753
世田谷区鎌田,35.61973437593985,139.61377212781954
世田谷区駒沢,35.63076275124378,139.65650289054727
世田谷区駒沢公園,35.6243312,139.6605908
