区町名,平均緯度,平均経度
渋谷区上原,35.666971708609275,139.68110729801325
渋谷区代々木,35.680578476470586,139.69473737352942
渋谷区代々木神園町,35.675626199999996,139.6957352
渋谷区代官山町,35.65083131818182,139.7045181818182
渋谷区元代々木町,35.671494589285714,139.68558742857144
渋谷区円山町,35.65742131034482,139.69448675862068
渋谷区初台,35.678170458333334,139.68594117708332
渋谷区千駄ケ谷,35.679486358851676,139.70703738277513
渋谷区南平台町,35.65416038095238,139.696324
渋谷区大山町,35.669042979591836,139.6750665510204
渋谷区宇田川町,35.66176564444444,139.69784131111112
渋谷区富ケ谷,35.66634587850467,139.68808655140185
渋谷区幡ケ谷,35.678542615789475,139.67377400526314
渋谷区広尾,35.65158690384615,139.7172277403846
渋谷区恵比寿,35.645549169811325,139.71672020754718
渋谷区恵比寿南,35.64443048,139.70855556
渋谷区恵比寿西,35.648461698412696,139.70647457142857
渋谷区本町,35.68432059883721,139.6803829389535
渋谷区東,35.65347598148148,139.7096522037037
渋谷区松濤,35.66059960377358,139.691832
渋谷区桜丘町,35.65550374193548,139.70108951612903
渋谷区渋谷,35.65905036263736,139.70555575824176
渋谷区猿楽町,35.65009890625,139.7018099375
渋谷区神南,35.66404296428571,139.70002025
渋谷区神宮前,35.66900741153846,139.70811724615385
渋谷区神山町,35.66413275,139.69185585416668
渋谷区神泉町,35.656813400000004,139.69233008
渋谷区笹塚,35.675047041666666,139.66695800462963
渋谷区西原,35.67336752298851,139.67989481034482
渋谷区道玄坂,35.65839092727273,139.69788596363637
渋谷区鉢山町,35.651857400000004,139.6981874
渋谷区鶯谷町,35.653359190476195,139.70200552380953
