区町名,平均緯度,平均経度
品川区上大崎,35.634704011764704,139.71895842352941
品川区中延,35.60688313142857,139.71044469714286
品川区二葉,35.604245147887326,139.72221567605635
品川区八潮,35.59959473,139.75580736
品川区勝島,35.59645431578947,139.74315515789473
品川区北品川,35.62082579389313,139.73882089312977
品川区南品川,35.61171112403101,139.74068359689923
品川区南大井,35.59303275,139.734899484375
品川区大井,35.600886364285714,139.73004524642857
品川区大崎,35.619492155339806,139.7254556893204
品川区小山,35.6172130921659,139.70287167281106
品川区小山台,35.62375935802469,139.70369761728395
品川区平塚,35.61528543181818,139.71401145454544
品川区広町,35.61346061111111,139.73373244444443
品川区戸越,35.61192286666667,139.71796480555557
品川区旗の台,35.605335515,139.7024667
品川区東中延,35.6091642,139.71331915555555
品川区東五反田,35.62783345669292,139.7265441102362
品川区東八潮,35.62143833333334,139.77048983333333
品川区東品川,35.617538225,139.74793359166668
品川区東大井,35.6034468040201,139.73923239698493
品川区荏原,35.61497934158416,139.70614284653465
品川区西中延,35.61014646666666,139.70778411111112
品川区西五反田,35.62453575,139.7169940084746
品川区西品川,35.613134230769234,139.72723313461537
品川区西大井,35.59852860227273,139.72088551136363
品川区豊町,35.607751180722886,139.72065539156628
