区町名,平均緯度,平均経度
新宿区上落合,35.71336568571429,139.6876513
新宿区下宮比町,35.703173,139.74365433333335
新宿区下落合,35.719061203125,139.69951096875
新宿区中井,35.7162798852459,139.68414724590164
新宿区中町,35.69917196969697,139.7357407272727
新宿区中落合,35.71940075,139.6880530357143
新宿区中里町,35.705927074074076,139.73208370370372
新宿区二十騎町,35.6983265,139.730656
新宿区住吉町,35.693299260869566,139.72097339130434
新宿区余丁町,35.69645372,139.71583816
新宿区信濃町,35.682694068181824,139.71999522727273
新宿区内藤町,35.68635842857143,139.7140545
新宿区北山伏町,35.7002752,139.7304474
新宿区北新宿,35.702807065656565,139.6912288232323
新宿区北町,35.69980664864865,139.73519345945945
新宿区南元町,35.68028472727273,139.7233131212121
新宿区南山伏町,35.699016,139.73068766666665
新宿区南榎町,35.702031385964915,139.72882133333334
新宿区南町,35.69854048148149,139.73626025925927
新宿区原町,35.70053704145078,139.72364295854922
新宿区喜久井町,35.70388780882353,139.72184611764706
新宿区四谷,35.68791340740741,139.72111814814815
新宿区四谷三栄町,35.68857045283019,139.7257343018868
新宿区四谷坂町,35.69043766666667,139.727278
新宿区四谷本塩町,35.68980666666666,139.72942453333332
新宿区大久保,35.7033705,139.7055271547619
新宿区大京町,35.684972527777774,139.71731949999997
新宿区天神町,35.705270102040814,139.73111710204083
新宿区富久町,35.69347642857143,139.7151867936508
新宿区山吹町,35.707666555555555,139.7304865151515
新宿区岩戸町,35.701482166666665,139.737236375
新宿区左門町,35.68600204545454,139.72043563636365
新宿区市谷仲之町,35.69450125,139.723280875
新宿区市谷八幡町,35.69241641666667,139.73420108333332
新宿区市谷加賀町,35.696871076923074,139.72937215384616
新宿区市谷台町,35.69385256521739,139.71841582608695
新宿区市谷山伏町,35.700141333333335,139.72795966666666
新宿区市谷左内町,35.69364747826087,139.73431895652175
新宿区市谷本村町,35.6925685625,139.7298035
新宿区市谷柳町,35.6989528372093,139.7263033488372
新宿区市谷田町,35.695097919354836,139.73757979032257
新宿区市谷甲良町,35.698924,139.72796333333335
新宿区市谷砂土原町,35.69629857575758,139.73652869696969
新宿区市谷船河原町,35.69792146666667,139.73984526666666
新宿区市谷薬王寺町,35.69686763380282,139.7255363661972
新宿区市谷長延寺町,35.694428,139.73441666666665
新宿区市谷鷹匠町,35.695952,139.733346
新宿区弁天町,35.702982784313726,139.72639987254902
新宿区愛住町,35.6899944137931,139.7193588275862
新宿区戸塚町,35.7081618,139.72085320000002
新宿区戸山,35.70372914736842,139.71412649473686
新宿区払方町,35.697168000000005,139.7353758666667
新宿区揚場町,35.702271,139.743441
新宿区改代町,35.70720792307692,139.73441994871797
新宿区新宿,35.69278752136752,139.7085749059829
新宿区新小川町,35.705781,139.74212849999998
新宿区早稲田南町,35.704436725,139.723906475
新宿区早稲田町,35.70585285714286,139.72352778571428
新宿区早稲田鶴巻町,35.70798766019417,139.725003184466
新宿区東五軒町,35.706253375,139.739134
新宿区東榎町,35.70506490909091,139.72937081818182
新宿区榎町,35.70469170588235,139.72827776470587
新宿区横寺町,35.70184285,139.73495333333332
新宿区歌舞伎町,35.69568315116279,139.7033063372093
新宿区水道町,35.70748116666667,139.735776
新宿区河田町,35.697166,139.71954833333334
新宿区津久戸町,35.70311771428572,139.74115757142857
新宿区片町,35.692252,139.72454055555556
新宿区白銀町,35.7035202,139.73867993333334
新宿区百人町,35.704527601503756,139.69822886466167
新宿区矢来町,35.70309798039216,139.73259977777778
新宿区神楽坂,35.70218975882353,139.73870322941178
新宿区神楽河岸,35.700948,139.743426
新宿区筑土八幡町,35.70428066666667,139.74013433333334
新宿区箪笥町,35.700422485714284,139.73438714285714
新宿区築地町,35.70586952631579,139.73572042105263
新宿区納戸町,35.697757461538465,139.7334203076923
新宿区細工町,35.698832333333335,139.73291633333335
新宿区舟町,35.690233272727276,139.7210660909091
新宿区若宮町,35.699606200000005,139.7395558
新宿区若松町,35.69990645238096,139.71843266666667
新宿区若葉,35.68415783018868,139.72491041509434
新宿区荒木町,35.69014921428571,139.72295104761903
新宿区袋町,35.70056966666667,139.73808755555558
新宿区西五軒町,35.70691423529412,139.73767535294118
新宿区西新宿,35.69133936594203,139.69085905434784
新宿区西早稲田,35.71072022047244,139.71567638582675
新宿区西落合,35.72311338888888,139.67926030864197
新宿区赤城下町,35.70550010843373,139.73406722891565
新宿区赤城元町,35.704771400000006,139.73629
新宿区霞ヶ丘町,35.676750695652174,139.71538026086958
新宿区須賀町,35.6850482,139.72232966666667
新宿区馬場下町,35.70596348717949,139.7192834871795
新宿区高田馬場,35.71208455670103,139.70170924742268
