最寄り駅,holdout_ts
1,119609.87654320987
2,216596.66666666666
3,104295.13157894737
4,87772.62773722627
5,76818.18181818182
6,159144.578313253
7,88274.57627118644
8,136928.99408284025
9,92313.15789473684
10,101303.73831775702
11,109452.23880597015
12,72197.67441860466
13,248037.03703703705
14,94237.5
15,136514.55696202532
16,108458.33333333333
17,81585.36585365854
18,83424.24242424243
19,190066.66666666666
20,159048.07692307694
21,84656.25
22,148079.8076923077
23,189312.08053691275
24,112329.16666666667
25,92115.38461538461
26,92750.0
27,139233.33333333334
28,84094.57364341085
29,91125.0
30,173204.08163265305
31,92273.58490566038
32,87119.92619926199
33,84120.97454545455
34,122900.0
35,158000.0
36,81868.68131868132
7,88536.97916666667
37,106677.41935483871
38,130721.64948453609
39,79889.73684210527
40,171607.25806451612
41,119053.84615384616
42,108460.0
42,108313.8686131387
43,89387.09677419355
44,118121.9512195122
45,95978.26086956522
46,193202.63157894736
47,84672.97297297297
48,122214.28571428571
49,113231.48148148147
47,83411.42857142857
50,117883.83838383839
51,121352.54237288136
52,154172.91666666666
53,99952.58620689655
54,182029.41176470587
55,138642.85714285713
56,109701.03092783505
57,88790.0
58,123275.80645161291
59,113333.33333333333
60,98038.21656050955
61,82290.04524886877
62,120850.87719298246
63,107103.38983050847
64,110437.5
65,89381.3953488372
13,258390.9090909091
66,114082.95454545454
67,149079.78723404257
68,83427.33333333333
39,77926.80412371134
69,107491.22807017544
9,95449.34285714285
70,82704.40251572327
71,112624.61538461539
72,95561.64383561644
73,99683.2298136646
14,94237.5
51,121731.62393162394
65,90888.70967741935
74,80701.25
75,101500.0
76,222570.32258064515
77,114647.59036144578
78,121121.39917695473
79,106922.22222222222
80,83809.52380952382
81,107852.72727272728
65,90888.70967741935
82,104889.83050847458
79,104115.21739130435
33,85867.40959409594
63,107742.5925925926
83,98676.70642201835
84,114375.0
85,162031.25
86,96665.0
81,108247.53086419753
87,114500.0
88,73140.55118110236
89,264810.3448275862
50,119494.56521739131
33,86042.21621621621
81,108247.53086419753
10,100593.45794392523
90,229089.2857142857
91,106485.29411764706
92,98338.75
93,94207.31707317074
34,127985.29411764706
51,121352.54237288136
11,110929.92125984252
94,124877.64935064936
95,88812.92517006803
96,92378.68852459016
97,97113.04347826086
66,114082.95454545454
98,114027.27272727272
99,168641.73228346457
100,93021.42857142857
86,98395.23809523809
101,76181.81818181818
102,194486.39455782314
103,92257.42574257425
104,131294.87179487178
70,83413.46153846153
33,83748.93584905661
7,88274.57627118644
8,142568.50828729282
104,131294.87179487178
105,90673.80952380953
106,180070.58823529413
107,114883.33333333333
11,110929.92125984252
108,95545.58823529411
29,93620.19230769231
109,92994.11764705883
110,129749.48717948717
111,144865.38461538462
112,157137.5
49,110195.28301886792
66,114082.95454545454
113,104465.5172413793
114,80167.68595041323
32,87119.92619926199
115,134811.9411764706
116,137400.92592592593
117,111430.26315789473
118,120793.79310344828
119,94341.6
120,105342.1052631579
121,126970.58823529411
122,132563.63636363635
66,114082.95454545454
123,139490.0
102,197692.02898550723
124,212410.7142857143
78,119265.11627906977
125,100704.05405405405
126,109840.98360655738
127,102666.66666666667
128,87666.66666666667
60,99654.96688741722
129,123201.25786163523
59,114456.79012345678
42,108329.54545454546
130,116969.69696969698
19,190066.66666666666
131,109472.30769230769
76,216625.1572327044
73,100225.49019607843
132,165401.4492753623
133,168066.66666666666
113,102847.82608695653
88,75361.44067796611
61,82170.6798245614
79,105704.0
78,121712.40601503759
44,118121.9512195122
120,103538.59649122808
134,73250.0
135,101857.8125
29,91125.0
136,104506.17283950618
48,123801.13636363637
137,83385.27131782945
138,192162.16216216216
139,110781.3953488372
140,80740.625
141,94764.95726495727
142,111000.0
24,113109.17874396135
143,137155.1724137931
7,89394.5054945055
105,90415.84158415842
21,84656.25
144,99653.1914893617
145,86764.42307692308
146,78970.73809523809
147,109019.73684210527
4,86663.53383458647
33,84329.38518518518
148,110546.51162790698
97,96572.26890756302
109,91459.34959349594
52,151429.25170068027
33,86042.21621621621
61,83147.70386266094
147,113324.67532467532
38,126915.95959595959
149,70702.7397260274
31,99491.07142857143
72,99746.57534246576
2,212339.04109589042
24,111135.84474885845
64,112649.12280701754
150,116415.73033707865
149,70702.7397260274
151,95450.0
145,87125.0
152,207312.5
37,110583.33333333333
153,141135.05154639174
154,123388.88888888889
73,97640.35087719298
155,95512.82051282052
111,146116.27906976745
32,87981.92771084337
61,84225.17316017316
156,92583.33333333333
105,87594.8717948718
157,229705.1948051948
158,82627.1186440678
94,124877.64935064936
159,85280.0
115,137253.11764705883
149,70702.7397260274
7,89394.5054945055
36,82769.13580246913
160,85125.0
23,192891.8918918919
32,87119.92619926199
161,85789.18918918919
43,97350.0
76,226122.15189873418
162,89381.1320754717
65,91330.0
69,102973.68421052632
11,109452.23880597015
163,178625.0
164,164800.0
104,143541.66666666666
113,102235.29411764706
165,129890.90909090909
128,92222.22222222222
166,144521.73913043478
2,213909.39597315437
167,144879.4871794872
33,86042.21621621621
95,91453.125
168,93030.13698630137
105,87594.8717948718
72,95561.64383561644
169,183166.66666666666
4,87772.62773722627
170,95978.72340425532
59,111963.85542168675
171,136604.6511627907
96,90041.26984126984
84,103890.625
41,118626.98412698413
39,78455.18134715025
172,206585.2071005917
48,122214.28571428571
2,220064.93506493507
173,123156.25
73,99683.2298136646
174,83297.16981132075
118,119635.76642335767
175,140956.52173913043
157,239754.6875
119,96246.84684684685
60,99654.96688741722
12,74719.51219512195
60,95462.5
136,103119.04761904762
176,166907.6923076923
91,103758.07692307692
177,127529.41176470589
78,119265.11627906977
154,123388.88888888889
70,81649.67741935483
24,110513.03317535545
178,105955.0505050505
82,106700.8547008547
172,208155.12820512822
92,99932.14285714286
33,84120.97454545455
179,83851.19574468085
180,69457.14285714286
181,100560.0
182,133466.66666666666
70,81976.02339181287
183,136131.57894736843
184,103500.0
185,136103.77358490566
115,142890.24390243902
179,84012.63362068965
186,96304.54545454546
66,113110.2564102564
23,190016.44736842104
176,149504.0
157,230956.75675675675
17,82517.24137931035
112,155401.38888888888
187,257298.50746268657
44,117139.07284768212
114,80167.68595041323
20,159652.38095238095
95,91145.45454545454
118,118534.42028985507
188,90862.2641509434
4,85215.57971014493
189,70681.81818181818
151,95450.0
40,166797.54098360657
72,95561.64383561644
190,96792.92929292929
33,86042.21621621621
97,92634.16666666667
191,68879.31034482758
192,113765.06024096385
78,121770.99236641222
193,83108.19672131147
194,96107.14285714286
12,74719.51219512195
26,94241.93548387097
117,111542.66666666667
4,86067.26618705037
7,89394.5054945055
70,81649.67741935483
195,81505.6338028169
46,193202.63157894736
57,91272.72727272728
179,83114.65145228215
196,151529.41176470587
135,107010.16949152542
38,131016.31067961165
8,135682.8402366864
13,234764.70588235295
197,160000.0
198,77024.09638554217
91,106485.29411764706
18,87869.23076923077
199,88803.33333333333
114,79958.79032258065
36,82769.13580246913
200,111483.54430379746
98,113786.0294117647
113,102235.29411764706
51,121731.62393162394
118,118534.42028985507
7,88536.97916666667
83,96338.73636363636
201,126666.66666666667
202,82977.03703703704
70,81649.67741935483
4,86926.31578947368
187,243229.16666666666
73,95483.97435897436
2,216596.66666666666
76,216625.1572327044
2,212339.04109589042
33,86042.21621621621
185,133540.0
77,113988.46153846153
118,120793.79310344828
52,152596.45390070922
203,163546.1224489796
24,110513.03317535545
10,103935.18518518518
204,93208.33333333333
93,101022.22222222222
205,117057.37704918033
4,86926.31578947368
193,83730.50847457627
206,130750.0
122,136328.28282828283
207,109921.05263157895
138,192162.16216216216
194,99234.84848484848
155,96105.26315789473
208,102680.0
110,127436.09756097561
209,100911.76470588235
210,94078.94736842105
211,119280.30303030302
211,114313.55932203389
114,81550.12931034483
198,78926.4705882353
212,84236.84210526316
8,135682.8402366864
33,84329.38518518518
213,91791.64835164836
39,80602.9255319149
28,82613.38582677166
149,68250.68493150685
188,97415.6862745098
49,105232.14285714286
214,151916.66666666666
39,80602.9255319149
6,149451.61290322582
215,94800.0
216,150486.84210526315
98,116373.64341085272
60,98038.21656050955
113,104465.5172413793
217,101133.33333333333
144,99653.1914893617
218,177879.3103448276
219,99094.52054794521
61,83147.70386266094
78,121770.99236641222
199,88803.33333333333
220,105567.5
136,103000.0
221,112932.60869565218
222,103759.63461538461
51,121352.54237288136
223,84457.44680851063
79,106372.72727272728
179,84336.68487394958
178,102393.5
117,111542.66666666667
54,185259.25925925927
7,89234.5744680851
118,118531.8339100346
165,130039.07766990291
200,110374.15730337078
28,82656.71641791044
7,89394.5054945055
224,141375.69444444444
12,73813.95348837209
33,84120.97454545455
225,135988.7323943662
43,95426.86567164179
60,98038.21656050955
226,76718.75
165,136200.25
99,168641.73228346457
94,124877.64935064936
227,99282.60869565218
20,153796.11650485438
175,136133.33333333334
228,107958.73786407767
36,82769.13580246913
22,143652.1739130435
153,141135.05154639174
185,136103.77358490566
105,90415.84158415842
96,91720.89552238806
95,88812.92517006803
202,82977.03703703704
42,107454.16666666667
180,77980.0
89,254795.18072289156
200,109276.62337662338
33,85867.40959409594
16,108837.5
229,102000.0
33,86042.21621621621
113,101432.33082706766
135,104150.0
230,163176.19047619047
50,117883.83838383839
231,78183.92857142857
7,89234.5744680851
112,157840.9090909091
232,80000.0
111,149534.88372093023
24,113109.17874396135
233,119500.0
58,118726.08695652174
234,74287.93103448275
60,99061.30952380953
68,81093.79310344828
235,241079.59731543623
127,99920.0
227,99282.60869565218
4,86067.26618705037
236,71812.5
237,114029.41176470589
238,74282.75862068965
239,83814.81481481482
12,72580.64516129032
42,108460.0
68,81093.79310344828
92,99932.14285714286
240,101729.41176470589
165,136200.25
17,83187.5
241,83325.0
137,85479.6875
242,89045.16129032258
243,98375.0
33,86042.21621621621
81,108247.53086419753
244,122835.61643835617
92,101360.0
187,243229.16666666666
74,81355.69620253165
245,94500.0
234,75112.6050420168
246,199109.0909090909
247,114500.0
30,181009.80392156861
179,85928.3185840708
78,119265.11627906977
24,113109.17874396135
79,104115.21739130435
248,102761.90476190476
150,118848.83720930232
108,92213.63636363637
88,74950.80645161291
71,112624.61538461539
249,93606.55737704918
109,91459.34959349594
14,90045.45454545454
92,98338.75
74,83511.95652173914
250,174100.0
179,84336.68487394958
215,94800.0
251,103974.13793103448
8,142568.50828729282
148,111972.97297297297
63,107103.38983050847
172,206585.2071005917
246,200843.47826086957
52,142197.88732394367
69,108236.84210526316
98,116373.64341085272
105,87594.8717948718
115,139910.89285714287
59,114456.79012345678
20,159652.38095238095
14,92369.04761904762
7,88536.97916666667
190,97907.60869565218
91,106485.29411764706
4,86663.53383458647
66,114018.55670103093
102,198160.7142857143
223,81370.0
187,232565.21739130435
215,94800.0
98,113537.90322580645
252,91458.33333333333
217,101133.33333333333
136,103000.0
99,167575.18796992482
253,183300.0
209,100194.02985074627
254,154780.0
83,97535.35353535354
178,105465.5
66,113110.2564102564
49,112386.91588785047
255,120012.19512195123
256,166188.3116883117
107,112336.84210526316
257,301250.0
63,108227.27272727272
235,239968.53146853147
258,93107.14285714286
71,116489.09090909091
126,109840.98360655738
137,83142.62295081967
108,95545.58823529411
32,88429.0780141844
259,117186.27450980392
65,89858.82352941176
116,136650.0
137,83385.27131782945
94,122396.93055555556
11,110225.80645161291
49,108588.69565217392
4,86663.53383458647
211,117435.71428571429
260,93878.0487804878
247,116346.15384615384
40,171607.25806451612
32,88511.32075471699
110,129176.04938271605
33,85867.40959409594
223,84211.36363636363
135,101857.8125
98,113786.0294117647
4,86663.53383458647
261,91356.66666666667
262,81873.01587301587
263,108714.28571428571
202,82552.48226950354
180,77686.36363636363
136,104506.17283950618
109,95307.93650793651
58,123275.80645161291
248,106631.57894736843
264,96555.55555555556
225,135988.7323943662
157,239754.6875
69,102973.68421052632
265,95280.0
28,84094.57364341085
60,98038.21656050955
141,95564.81481481482
123,142080.95238095237
77,113988.46153846153
118,118871.68458781362
111,148294.11764705883
266,83662.79069767441
267,323703.125
111,162538.46153846153
260,98192.30769230769
145,87125.0
202,84421.9696969697
48,120772.72727272728
268,103640.15151515152
118,118871.68458781362
69,102973.68421052632
8,141337.80487804877
39,80602.9255319149
66,114082.95454545454
198,78926.4705882353
34,125750.0
48,123801.13636363637
29,93620.19230769231
114,81550.12931034483
269,128918.6046511628
3,105820.21428571429
181,99375.86206896552
179,83114.65145228215
79,106922.22222222222
102,197692.02898550723
235,248550.0680272109
29,88939.2523364486
138,192162.16216216216
211,114313.55932203389
270,83562.5
168,87131.42857142857
24,113109.17874396135
195,81920.48192771085
271,101088.23529411765
72,95561.64383561644
272,108814.58333333333
273,197093.22033898305
149,70702.7397260274
18,84367.61904761905
145,89646.78899082569
242,89045.16129032258
71,112624.61538461539
117,110037.5
36,79971.67630057804
