区町名,平均緯度,平均経度
杉並区上井草,35.7216080131579,139.60490743859648
杉並区上荻,35.707565036585365,139.6111842317073
杉並区上高井戸,35.674509864,139.61221528800002
杉並区下井草,35.720050043795624,139.62451390875913
杉並区下高井戸,35.671808148148145,139.6308926925926
杉並区久我山,35.68775557198444,139.5986309766537
杉並区井草,35.726784792746116,139.61735855958548
杉並区今川,35.716578604316545,139.60583531654677
杉並区南荻窪,35.69958685638298,139.61294582446808
杉並区和泉,35.677019694610784,139.6521270538922
杉並区和田,35.692930196078436,139.6600607215686
杉並区善福寺,35.71441161290323,139.59231468817205
杉並区堀ノ内,35.689202665071775,139.65108859808612
杉並区大宮,35.683776367088605,139.64213129113924
杉並区天沼,35.70798112437811,139.62459129353235
杉並区宮前,35.69311458375635,139.6075439137056
杉並区成田東,35.694136711711714,139.63608023123123
杉並区成田西,35.689828837037034,139.62960252592595
杉並区方南,35.67911829801324,139.66030206622517
杉並区本天沼,35.71390794680851,139.62560243085107
杉並区松ノ木,35.691628784,139.643658088
杉並区松庵,35.69868512037037,139.5956150925926
杉並区桃井,35.712616915384615,139.6090983153846
杉並区梅里,35.696632895238096,139.64659844761906
杉並区永福,35.674994028571426,139.6408514367347
杉並区浜田山,35.68092463316583,139.62974448241206
杉並区清水,35.71400591612903,139.61761691612904
杉並区荻窪,35.69783343877551,139.62230553061224
杉並区西荻北,35.70690368556701,139.60019646907216
杉並区西荻南,35.70073905633803,139.60291845070424
杉並区阿佐谷北,35.7097325066313,139.6364803607427
杉並区阿佐谷南,35.70232073895583,139.6374481566265
杉並区高井戸東,35.68357839,139.62007251
杉並区高井戸西,35.68412874576271,139.61117508474575
杉並区高円寺北,35.70761444600939,139.64906865258217
杉並区高円寺南,35.70191618881119,139.65220174592073
