区町名,平均緯度,平均経度
墨田区両国,35.69378232407408,139.7938443611111
墨田区亀沢,35.69748499074074,139.8027811388889
墨田区京島,35.71498825568182,139.82175048863635
墨田区八広,35.7218642560241,139.82709907530122
墨田区千歳,35.69065966666667,139.79542314583333
墨田区向島,35.71530678733032,139.80966780542985
墨田区吾妻橋,35.70912516393443,139.80267070491803
墨田区堤通,35.728661770833334,139.81309483333334
墨田区墨田,35.73232305144694,139.8199997170418
墨田区太平,35.70124954639175,139.81306654639175
墨田区押上,35.71179305747126,139.81634351149427
墨田区文花,35.709997257731956,139.82399782474226
墨田区本所,35.70362925806452,139.80200341129034
墨田区東向島,35.723507088709674,139.81803576344086
墨田区東墨田,35.71979061842105,139.8328865131579
墨田区東駒形,35.70653419626168,139.8024148224299
墨田区業平,35.70775919387755,139.81314241836733
墨田区横川,35.704097604938276,139.81335639506173
墨田区横網,35.69922127272727,139.7950944848485
墨田区江東橋,35.6941889,139.81350308181817
墨田区石原,35.70039937583893,139.8022915838926
墨田区立川,35.691126704225354,139.80324563380282
墨田区立花,35.709107262295085,139.83191906147542
墨田区緑,35.694403648854966,139.8033456870229
墨田区菊川,35.68875742857143,139.8049263
墨田区錦糸,35.698332690140845,139.81362874647888
