区町名,平均緯度,平均経度
台東区三ノ輪,35.72859076923077,139.79310213461537
台東区三筋,35.70483118,139.78629383999998
台東区上野,35.70775065972222,139.77425228472222
台東区上野公園,35.71540876744186,139.77354830232557
台東区上野桜木,35.72199202083333,139.77313239583333
台東区下谷,35.72223623880597,139.78448973134329
台東区今戸,35.720876249999996,139.80426030555554
台東区元浅草,35.70852390909091,139.7851968831169
台東区入谷,35.72073797590362,139.78744598795183
台東区北上野,35.71735871153846,139.78377907692308
台東区千束,35.72185643827161,139.79314557407406
台東区台東,35.70396847593583,139.77876976470588
台東区寿,35.70777122891566,139.7913203373494
台東区小島,35.705111976744185,139.78315576744185
台東区日本堤,35.72702704444444,139.79754765555555
台東区東上野,35.711552178947365,139.78089092105265
台東区東浅草,35.723247365384616,139.8001886923077
台東区松が谷,35.715188,139.78723096296295
台東区柳橋,35.697567693548386,139.78803582258064
台東区根岸,35.724878170731714,139.78196192682927
台東区橋場,35.72554594029851,139.80641235820895
台東区池之端,35.716234627118645,139.7681107118644
台東区浅草,35.71714020204604,139.796678915601
台東区浅草橋,35.69943721390374,139.78429797326203
台東区清川,35.72617796202532,139.80255058227849
台東区秋葉原,35.702157,139.77482283333333
台東区竜泉,35.725106518867925,139.7908828490566
台東区花川戸,35.714019,139.79955360416668
台東区蔵前,35.70367647619048,139.7902905809524
台東区西浅草,35.71379323076923,139.79047629487178
台東区谷中,35.72471089565217,139.76687984347828
台東区雷門,35.71015166666667,139.79445533333333
台東区駒形,35.70705604545455,139.79444977272726
台東区鳥越,35.70266971428572,139.78379636734695
