区町名,平均緯度,平均経度
豊島区上池袋,35.73820654210527,139.71949981052632
豊島区北大塚,35.73346566346154,139.72830397115385
豊島区千川,35.74040805405405,139.69298432432433
豊島区千早,35.73451454143647,139.68906184530388
豊島区南大塚,35.72876722674419,139.7310750872093
豊島区南池袋,35.72519008633094,139.71527591366907
豊島区南長崎,35.72693259786477,139.68561460142348
豊島区巣鴨,35.736094397129186,139.73525256459328
豊島区東池袋,35.729654256,139.720545568
豊島区池袋,35.73577785654008,139.7072451814346
豊島区池袋本町,35.742134586956524,139.71307341304347
豊島区目白,35.72323405487805,139.70338046341462
豊島区西巣鴨,35.74034006040269,139.7280627181208
豊島区西池袋,35.729155765,139.70477799
豊島区要町,35.73657820382166,139.69265336942675
豊島区長崎,35.731072870307166,139.68713468600683
豊島区雑司が谷,35.72029929090909,139.71832737272726
豊島区駒込,35.737936313186815,139.74418975274725
豊島区高松,35.73849311607143,139.69860069642857
豊島区高田,35.714976079646014,139.7128004778761
