LGBMのGBDTの予測,LGBMのDARTの予測,LGBMのGOSSの予測,XGBのGBDTの予測,XGBのDARTの予測,CatBoostの予測
84694.4491862501,83433.60158913338,83555.84931548417,84460.5859375,84905.015625,84124.91135905162
65828.21594692164,65338.15216482557,62609.07557346826,58004.6015625,66142.953125,69283.22473032275
106668.0203536329,106387.96240926752,108057.89668498383,110233.0390625,105031.1953125,106840.74722005479
168836.8984248073,165098.1815125983,158135.14760776394,168694.6875,167279.6875,149357.1831655909
73718.98196032099,71463.92256286564,74186.83494015643,69125.8046875,68393.0,68100.70482344937
185112.47039824727,172603.81174344255,177577.28320155683,170388.515625,174407.328125,165952.60209870868
83351.57361439413,84526.89490220325,84013.63137560911,85113.4765625,80724.625,85440.79124319405
130355.28232471315,122258.98371565131,125560.92479163736,120025.4296875,132763.5625,129263.73438071577
139791.5822894545,156843.67128624627,157714.17124715,153712.359375,137190.796875,170165.87890339305
80404.41935998539,81055.6378285117,78332.70885711454,80468.03125,77744.875,80891.68077424947
104874.18990952402,103702.06522279358,105053.64276273306,104676.2734375,101598.1015625,98263.38476722948
50977.437375179936,49005.431982059374,48313.209352479666,45676.75390625,50851.0703125,48668.656639557434
203265.0904782959,199138.24148854087,202175.22127071058,199941.296875,204212.21875,197347.37806315534
120097.42084614771,114333.5583694655,124013.8733972299,117306.5625,119770.1171875,112701.58745886845
70110.48383230806,71442.70203557757,75478.52977280115,69247.3359375,69858.34375,69421.7427281023
108626.71562134523,107425.15026921107,113874.40729741393,110099.8203125,111288.890625,106887.46906809027
89746.85468934545,88166.53093371486,88567.91089258634,87057.6171875,84581.828125,86537.14934848764
67504.83654615728,69869.52225297896,65564.81854805893,69468.6640625,70622.8359375,69363.2865429298
306375.28367986716,287831.65371619316,295542.21715678053,315648.875,305972.78125,320903.27662505105
162558.12462954244,161804.04478969856,163482.98365499298,167042.5625,165027.921875,161992.77479925792
130991.98417194624,129835.56134592462,127430.36282840994,129146.0078125,137629.828125,127611.41314833093
83514.1680808597,81100.85717139294,80659.03467595288,83943.0,84731.8671875,88900.93253236904
303329.8980435714,303154.9411229035,305851.81233090407,303152.21875,291492.34375,287520.609363838
81329.16179054276,76670.16825725832,78266.71378963435,77425.2421875,79876.9375,83722.7233215383
45988.943137612645,48174.06956559403,47775.84669879254,39909.38671875,40995.34765625,44407.31245850619
61041.99382719072,58995.21280220943,62702.022830307345,62445.34765625,61281.875,60345.59612229286
173538.9925708137,179906.93334118987,178997.70331221053,180739.453125,182766.4375,184688.76488797626
45382.791523675485,45637.150836245906,42504.781997513994,48825.20703125,48696.4609375,45602.32148175055
140175.78669424224,131066.92050555073,131640.74490678048,129575.34375,128378.7109375,128295.54802132984
132501.36009296394,134215.02798931667,130429.91365233096,130162.4140625,132950.46875,133578.88242350396
282468.0669844173,279587.5500815784,328789.5031946059,307557.4375,320385.375,284863.693005453
80304.78635344378,79090.15062512482,83164.31134754118,85518.4375,81231.171875,78609.47799098835
71777.72999577301,77646.99556774458,75883.5926346185,76866.8984375,78833.8828125,79073.03865570805
255378.434446163,268530.5365009786,235490.97391299866,276680.375,298219.84375,288482.6213237201
121933.43080357356,122121.01184666799,131468.71230461873,142029.078125,136091.5625,139056.4349901852
62157.11410633658,60725.27215065548,61945.437443802875,61956.640625,63349.24609375,58838.4461382965
137373.38162881063,140352.6952311439,141226.9572341021,139605.90625,139727.515625,142289.04801366266
175440.99380635322,167322.75722562612,177143.74385368856,173631.796875,170480.359375,166822.76641944118
181049.93013543094,177871.22892197123,179218.3257839543,178488.734375,179692.375,176689.41315735033
76110.02390556541,68865.92868190422,79752.22316687915,77134.0,65575.015625,63260.44203568121
119597.28374511715,124940.26444760691,125000.53824384854,125813.4296875,125883.75,122900.96969889378
115815.24394059434,113591.60621793398,114637.06865589632,116035.859375,114320.7265625,110862.19773695148
99273.84923400132,97228.38173211624,97812.81184876364,96783.5546875,99165.515625,100824.09734004475
69924.80940956989,67105.84854349968,66808.00124088016,63704.796875,64320.71484375,66925.1212194067
120046.29799276394,118078.3966654331,121070.45823815113,121632.265625,117395.8671875,121109.72404208161
129286.30231367217,137045.78545851522,139534.04540990686,142333.515625,134661.703125,131943.22787226283
98909.71660689016,100554.31132484798,101329.74548553747,97779.6796875,101140.65625,105617.04194366607
234454.50723965175,239542.0438141774,236710.79670646568,240707.765625,229020.640625,240182.2605504033
55849.98100447297,54587.21664120487,57047.90471084028,55049.15625,56388.44921875,58808.40954785151
70877.72369936816,71243.61836603456,70245.2856383222,70212.4375,71082.203125,74115.17143558708
54912.61175812758,50365.96827033851,56379.469408677505,56180.00390625,54330.7421875,54563.03045574812
143413.95524684808,149803.6914817445,144041.4196542277,148117.96875,156285.5,138718.7136948312
100641.89703138103,99685.3903541705,96541.6833876911,91790.5703125,93003.375,93966.36238113506
247185.98279471067,231665.16209204425,225102.31663322443,239012.921875,243735.6875,237991.5713112099
101262.62506571913,106164.64120041818,108460.43478689082,117470.234375,109389.203125,113109.55789875568
77954.41963757329,74009.59890971474,77377.79149667817,72604.3359375,75180.2890625,78454.23683097867
142323.37469309737,140720.46995661632,141720.1350534454,141582.953125,143480.75,141005.20057015662
129221.60254224492,127734.06480203512,131082.15692894542,128496.03125,128637.6796875,126310.61877069417
170841.89002206773,166556.02484216393,164748.3914837946,166668.734375,163873.3125,173615.49902728142
94900.27078821968,91737.74626212352,94945.75288532526,92160.9140625,94042.46875,92827.71351793886
103494.83437509116,102228.82676294314,104937.22999896169,113965.859375,113686.0625,107600.3097497699
102692.95227280592,100771.12979769894,100706.5278185206,106268.0703125,106847.109375,104007.65178102926
94506.80471192983,93735.23714490388,92171.22880674334,93972.796875,92745.71875,93496.00844141653
62034.73930146082,62940.49705807264,63159.32811268457,60114.265625,64018.1875,65931.82905745308
100340.17501071915,104315.06141687131,106633.2733504168,106276.421875,102849.421875,104758.62125823896
94945.20673804868,92896.53917638742,88751.28928721484,99363.1796875,106865.5625,103413.03977873313
108502.08425040841,102549.32401852448,108089.38897821875,107074.203125,106613.515625,108090.21265793382
92563.38431867995,95054.44374978685,94375.93316030082,92263.25,97194.2890625,92459.04433479087
215897.45080304274,213172.26782101893,212179.40445438266,216009.765625,216129.421875,212669.0202154332
64106.838696159066,65950.82174675858,63457.23296810668,72890.8125,71593.265625,72629.81195176116
115361.1424906681,109447.7762554027,109997.3348207408,109421.3984375,113465.71875,108914.64241798442
45843.09722377476,48666.11619171969,49322.93799023765,47097.66796875,46579.6328125,48122.96066881709
53304.10419330432,48472.83867168314,48577.04848472075,49200.98828125,53067.1171875,53206.827712693055
101209.15733579852,98755.32994407004,100726.07328098605,95712.578125,93889.046875,90332.17610187201
40846.14084328702,35226.72408149299,41869.86093046433,35564.609375,35338.11328125,39106.33762239583
115787.47116840807,114395.19448848434,114735.99975790613,116304.484375,115350.578125,113399.71036373319
122055.6582711221,126445.74221254753,118270.63927467071,133010.3125,121464.4609375,116519.5851336964
73895.91806369342,68669.53109619177,72369.14950598418,71856.265625,71697.2890625,74939.12403864537
104031.83475506252,103892.47627586951,103663.92307757873,103479.9296875,106263.7734375,105461.74340980114
132412.96564879784,129190.31568745336,133760.74042675304,125257.546875,126193.3515625,120708.60494779078
