"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","小石川一丁目","","1","9","-32268.5","-7301.4","35.709122","139.752641","1",1,"0","1"
"東京都","文京区","本郷二丁目","","36","9","-32489.5","-6876.2","35.707133","139.757342","1",1,"0","1"
"東京都","文京区","本郷二丁目","","37","9","-32481.4","-6833.8","35.707207","139.75781","1",1,"0","1"
"東京都","文京区","目白台一丁目","","13","9","-31641.1","-10463.4","35.714749","139.717688","1","1","0","0"
"東京都","文京区","目白台一丁目","","14","9","-31602.1","-10461.7","35.715100","139.717706","1","1","0","0"
"東京都","文京区","目白台一丁目","","12","9","-31673.4","-10422.3","35.714458","139.718142","1","1","0","0"
"東京都","文京区","目白台一丁目","","15","9","-31428.0","-10412.6","35.716670","139.718247","1","1","0","0"
"東京都","文京区","目白台二丁目","","10","9","-31334.5","-10414.5","35.717513","139.718224","1","1","0","0"
"東京都","文京区","目白台二丁目","","10","9","-31358.3","-10401.9","35.717299","139.718364","1","0","0","0"
"東京都","文京区","目白台二丁目","","9","9","-31408.7","-10327.7","35.716845","139.719185","1","1","0","0"
"東京都","文京区","目白台一丁目","","11","9","-31659.2","-10401.2","35.714586","139.718376","1","1","0","0"
"東京都","文京区","目白台二丁目","","10","9","-31354.0","-10354.7","35.717338","139.718886","1","0","0","0"
"東京都","文京区","目白台一丁目","","9","9","-31699.7","-10330.2","35.714222","139.719161","1","1","0","0"
"東京都","文京区","目白台一丁目","","17","9","-31561.3","-10312.6","35.715470","139.719353","1","1","0","0"
"東京都","文京区","目白台一丁目","","6","9","-31717.9","-10261.3","35.714059","139.719923","1","1","0","0"
"東京都","文京区","目白台一丁目","","7","9","-31683.6","-10254.7","35.714368","139.719995","1","1","0","0"
"東京都","文京区","目白台二丁目","","8","9","-31397.4","-10195.8","35.716948","139.720642","1","1","0","0"
"東京都","文京区","目白台二丁目","","12","9","-31259.0","-10164.4","35.718196","139.720988","1","1","0","0"
"東京都","文京区","目白台一丁目","","5","9","-31750.7","-10200.9","35.713764","139.720591","1","1","0","0"
"東京都","文京区","目白台一丁目","","3","9","-31754.1","-10105.5","35.713734","139.721645","1","1","0","0"
"東京都","文京区","目白台二丁目","","4","9","-31366.3","-10087.6","35.717230","139.721838","1","1","0","0"
"東京都","文京区","目白台二丁目","","7","9","-31296.4","-10086.6","35.717860","139.721848","1","1","0","0"
"東京都","文京区","目白台二丁目","","13","9","-31219.5","-10071.3","35.718553","139.722016","1","1","0","0"
"東京都","文京区","目白台二丁目","","2","9","-31462.4","-10046.3","35.716364","139.722296","1","1","0","0"
"東京都","文京区","関口一丁目","","38","9","-32002.8","-10038.5","35.711493","139.722389","1","1","0","0"
"東京都","文京区","目白台二丁目","","6","9","-31280.5","-10008.3","35.718004","139.722713","1","1","0","0"
"東京都","文京区","関口一丁目","","39","9","-31974.8","-10009.8","35.711746","139.722705","1","1","0","0"
"東京都","文京区","目白台二丁目","","5","9","-31373.5","-10008.2","35.717166","139.722715","1","1","0","0"
"東京都","文京区","目白台二丁目","","1","9","-31502.5","-10006.5","35.716003","139.722736","1","1","0","0"
"東京都","文京区","目白台二丁目","","14","9","-31185.5","-9992.8","35.718860","139.722883","1","1","0","0"
"東京都","文京区","目白台一丁目","","1","9","-31866.3","-10015.2","35.712724","139.722644","1","1","0","0"
"東京都","文京区","関口一丁目","","37","9","-32021.3","-10001.0","35.711327","139.722803","1","1","0","0"
"東京都","文京区","大塚六丁目","","35","9","-30507.6","-9979.3","35.724971","139.723024","1","1","0","0"
"東京都","文京区","関口一丁目","","36","9","-32037.6","-9965.6","35.711180","139.723195","1","1","0","0"
"東京都","文京区","大塚六丁目","","36","9","-30548.5","-9954.4","35.724602","139.723300","1","1","0","0"
"東京都","文京区","目白台二丁目","","14","9","-31145.2","-9953.2","35.719224","139.723321","1","0","0","0"
"東京都","文京区","目白台三丁目","","16","9","-31540.8","-9945.5","35.715658","139.723411","1","1","0","0"
"東京都","文京区","目白台三丁目","","17","9","-31460.5","-9942.8","35.716382","139.723440","1","1","0","0"
"東京都","文京区","関口一丁目","","35","9","-31998.7","-9916.9","35.711531","139.723732","1","1","0","0"
"東京都","文京区","目白台三丁目","","18","9","-31319.8","-9939.6","35.717650","139.723473","1","1","0","0"
"東京都","文京区","目白台三丁目","","25","9","-31179.8","-9904.0","35.718913","139.723865","1","1","0","0"
"東京都","文京区","大塚六丁目","","35","9","-30502.0","-9953.0","35.725022","139.723315","1","0","0","0"
"東京都","文京区","大塚六丁目","","37","9","-30643.2","-9940.3","35.723749","139.723457","1","1","0","0"
"東京都","文京区","目白台二丁目","","17","9","-31091.0","-9919.2","35.719713","139.723696","1","1","0","0"
"東京都","文京区","関口一丁目","","33","9","-32088.1","-9929.9","35.710725","139.723590","1","1","0","0"
"東京都","文京区","目白台二丁目","","16","9","-31125.3","-9927.8","35.719404","139.723601","1","1","0","0"
"東京都","文京区","関口一丁目","","34","9","-32048.4","-9914.7","35.711083","139.723757","1","1","0","0"
"東京都","文京区","目白台三丁目","","22","9","-31235.5","-9896.2","35.718411","139.723952","1","1","0","0"
"東京都","文京区","大塚六丁目","","34","9","-30479.6","-9899.0","35.725224","139.723912","1","1","0","0"
"東京都","文京区","関口一丁目","","35","9","-32021.7","-9915.8","35.711324","139.723745","1","0","0","0"
"東京都","文京区","大塚六丁目","","33","9","-30503.2","-9896.9","35.725011","139.723935","1","1","0","0"
"東京都","文京区","大塚六丁目","","32","9","-30564.9","-9904.5","35.724455","139.723852","1","1","0","0"
"東京都","文京区","目白台二丁目","","15","9","-31128.2","-9871.7","35.719378","139.724221","1","1","0","0"
"東京都","文京区","目白台二丁目","","16","9","-31099.9","-9892.4","35.719633","139.723992","1","0","0","0"
"東京都","文京区","目白台三丁目","","18","9","-31298.2","-9916.2","35.717845","139.723731","1","0","0","0"
"東京都","文京区","大塚六丁目","","29","9","-30642.4","-9865.0","35.723757","139.724289","1","1","0","0"
