市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
足立区,総平均,"270,333","277,606","285,196","307,722","433,521","690,266","727,748","759,787","784,023","709,637","588,187","519,210","465,759","420,513","385,746","362,206","334,650","307,394","284,983","271,614","263,465","258,919","259,197","273,162","310,854","332,917","322,921","310,762","309,171","309,898","310,452","330,534","335,160","329,585","339,880","359,081","381,622","401,452","403,352",-
足立区,公示地価平均,"271,402","277,910","286,910","308,640","389,109","708,637","732,492","754,565","776,391","726,463","589,532","521,175","463,217","419,435","380,564","358,443","327,427","300,725","277,564","264,587","256,809","251,282","250,914","256,914","296,682","321,400","315,487","303,113","301,824","302,583","302,583","328,426","332,548","319,233","328,136","345,890","367,663","392,763","392,590","399,236"
足立区,基準地価平均,"269,053","277,236","283,109","306,654","485,200","667,218","722,103","766,000","793,103","689,620","586,222","515,841","470,761","422,634","395,630","369,384","350,642","322,160","301,410","288,053","279,035","276,785","278,833","313,941","346,428","361,122","340,673","328,714","325,367","326,020","327,795","334,061","339,530","351,346","366,244","388,693","412,959","420,959","427,510",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都足立区扇2-29-19,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"209,000","197,000","187,000","184,000","184,000","222,000","262,000","279,000","265,000","257,000","254,000","253,000","253,000","254,000","255,000","260,000","268,000","279,000","291,000","298,000","302,000",-
東京都足立区平野3-15-24,基準地価,"205,000","208,000","211,000","217,000","303,000","403,000","403,000","436,000","436,000","384,000","333,000","311,000","295,000","269,000","260,000","252,000","237,000","221,000","207,000","201,000","193,000","192,000","192,000","210,000","245,000","255,000","235,000","224,000","220,000","218,000","218,000","219,000","220,000","222,000","227,000","235,000","246,000","247,000","249,000",-
東京都足立区島根4-14-8,基準地価,"228,000","230,000","230,000","240,000","368,000","476,000","478,000","502,000","502,000","427,000","371,000","354,000","340,000","327,000","315,000","312,000","300,000","276,000","260,000","247,000","244,000","241,000","240,000","257,000","270,000","277,000","263,000","254,000","248,000","246,000","246,000","247,000","248,000","250,000","256,000","265,000","275,000","277,000","280,000",-
東京都足立区東和4-9-14,基準地価,"238,000","242,000","245,000","257,000","400,000","612,000","612,000","666,000","666,000","590,000","500,000","469,000","432,000","403,000","382,000","362,000","326,000","302,000","287,000","278,000","265,000","259,000","258,000","272,000","300,000","310,000","290,000","276,000","273,000","271,000","271,000","274,000","276,000","280,000","290,000","305,000","320,000","325,000","326,000",-
東京都足立区神明南1-8-11,基準地価,-,-,-,-,-,"396,000","396,000","432,000","430,000","379,000","334,000","305,000","290,000","275,000","272,000","259,000","227,000","204,000","185,000","177,000","169,000","168,000","167,000","177,000","201,000","208,000","190,000","178,000","174,000","173,000","173,000","175,000","175,000","177,000","181,000","190,000","203,000","203,000","203,000",-
