市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
荒川区,総平均,"490,677","498,758","517,724","617,535","1,081,964","1,376,642","1,403,931","1,445,137","1,610,310","1,474,482","1,161,783","982,325","807,148","710,659","642,063","599,404","557,227","518,113","487,068","466,400","448,333","429,555","424,204","436,295","488,272","533,590","498,840","474,545","483,414","477,097","478,357","501,914","511,257","507,380","530,046","570,209","626,441","672,744","667,023",-
荒川区,公示地価平均,"495,500","517,187","536,687","627,066","1,026,800","1,488,266","1,495,266","1,537,266","1,599,933","1,506,266","1,219,428","1,025,166","813,483","717,161","644,483","599,870","555,000","516,387","485,774","466,375","447,750","431,687","424,548","429,000","473,258","531,064","499,806","471,096","482,892","474,071","473,571","506,523","514,523","499,142","519,551","553,896","605,586","666,241","656,103","669,206"
荒川区,基準地価平均,"485,533","476,076","494,384","606,538","1,145,615","1,247,846","1,306,071","1,346,428","1,621,428","1,440,428","1,086,125","918,062","794,875","698,062","637,375","598,500","562,538","522,230","490,153","466,461","449,769","424,307","423,384","453,692","524,076","539,615","496,538","482,769","484,538","483,615","487,928","495,000","506,357","523,857","551,785","604,000","669,642","686,214","689,642",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都荒川区南千住8-4-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"432,000","432,000","436,000","441,000","459,000","480,000","510,000","553,000","598,000","611,000","617,000",-
東京都荒川区西日暮里4-11-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"726,000","746,000","753,000",-
東京都荒川区荒川2-21-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"387,000","375,000","369,000","368,000","370,000","374,000","384,000","396,000","416,000","455,000","498,000","513,000","515,000",-
東京都荒川区東日暮里2-16-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"394,000","398,000","406,000","417,000","440,000","475,000","517,000","532,000","537,000",-
東京都荒川区南千住6-21-1,基準地価,-,-,-,-,-,"730,000","730,000","730,000","720,000","640,000","530,000","495,000","475,000","457,000","443,000","425,000","407,000","373,000","352,000","338,000","327,000","318,000","316,000","333,000","352,000","356,000","331,000","322,000","317,000","316,000","317,000","321,000","328,000","337,000","352,000","379,000","410,000","419,000","420,000",-
東京都荒川区町屋1-8-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"445,000","483,000","495,000","496,000",-
東京都荒川区東日暮里3-43-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"488,000","488,000","536,000","657,000","678,000","600,000","583,000","571,000","570,000","575,000","584,000","600,000","624,000","658,000","717,000","782,000","803,000","810,000",-
東京都荒川区東尾久8-44-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"424,000","423,000","424,000","432,000","440,000","453,000","474,000","506,000","546,000","557,000","557,000",-
