市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
文京区,総平均,"753,947","813,657","894,868","1,427,282","3,016,860","3,389,767","3,446,000","3,610,888","3,588,888","3,125,111","2,481,357","2,027,564","1,698,000","1,324,046","1,103,738","998,138","921,661","862,338","816,790","783,476","763,535","758,071","756,261","781,595","946,283","1,104,037","1,001,864","913,068","884,414","871,557","882,014","933,761","973,476","995,246","1,051,217","1,117,782","1,207,811","1,289,318","1,276,579",-
文京区,公示地価平均,"767,100","835,000","907,000","1,117,714","2,945,000","3,551,600","3,448,800","3,482,000","3,479,600","3,108,000","2,411,941","1,952,025","1,671,046","1,299,720","1,074,837","970,372","894,906","844,046","797,558","770,323","749,307","741,600","737,784","752,076","899,158","1,095,580","1,004,267","901,218","872,750","857,846","868,615","926,422","963,888","979,235","1,031,215","1,094,509","1,181,450","1,280,921","1,259,568","1,280,117"
文京区,基準地価平均,"739,333","789,944","881,388","1,788,444","3,116,666","3,165,000","3,442,500","3,772,000","3,725,500","3,146,500","2,588,636","2,164,909","1,750,681","1,371,590","1,160,227","1,052,409","982,210","903,736","860,315","828,473","812,210","814,421","819,473","882,578","1,111,222","1,133,166","994,388","949,277","918,111","911,166","920,722","952,111","997,444","1,040,611","1,107,888","1,183,722","1,282,500","1,313,111","1,324,777",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都文京区本駒込1-16-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"714,000","730,000","755,000","778,000","820,000","875,000","933,000","954,000","955,000",-
東京都文京区西片1-11-5,基準地価,"606,000","645,000","706,000","1,200,000","2,220,000","2,190,000","2,130,000","2,130,000","2,090,000","1,750,000","1,380,000","1,180,000","1,030,000","906,000","861,000","830,000","803,000","780,000","775,000","770,000","770,000","770,000","793,000","874,000","1,090,000","1,080,000","950,000","900,000","874,000","873,000","882,000","901,000","920,000","938,000","980,000","1,050,000","1,120,000","1,140,000","1,140,000",-
東京都文京区本駒込5-56-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"670,000","715,000","730,000","732,000",-
東京都文京区千駄木1-11-8,基準地価,"538,000","570,000","616,000","948,000","1,770,000","1,720,000","1,680,000","1,680,000","1,640,000","1,380,000","1,100,000","960,000","850,000","752,000","700,000","680,000","652,000","640,000","631,000","627,000","627,000","627,000","636,000","700,000","875,000","875,000","773,000","740,000","719,000","716,000","718,000","734,000","760,000","787,000","830,000","890,000","950,000","972,000","974,000",-
東京都文京区白山4-28-18,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"675,000","673,000","678,000","695,000","720,000","747,000","789,000","847,000","906,000","927,000","932,000",-
東京都文京区本郷5-14-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"700,000","724,000","748,000","788,000","845,000","906,000","928,000","933,000",-
東京都文京区小石川5-17-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"945,000","950,000",-
東京都文京区関口1-44-5,基準地価,-,-,-,-,-,-,-,"4,920,000","4,840,000","4,070,000","3,170,000","2,500,000","1,930,000","1,500,000","1,230,000","1,070,000","995,000","940,000","905,000","872,000","855,000","855,000","855,000","920,000","1,140,000","1,160,000","1,000,000","950,000","915,000","910,000","915,000","947,000","993,000","1,040,000","1,100,000","1,170,000","1,260,000","1,290,000","1,290,000",-
東京都文京区小石川1-3-21,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,370,000","1,370,000","1,500,000","1,900,000","1,990,000","1,730,000","1,660,000","1,590,000","1,560,000","1,590,000","1,670,000","1,760,000","1,850,000","1,990,000","2,190,000","2,440,000","2,550,000","2,550,000",-
東京都文京区大塚3-5-2,基準地価,-,-,-,-,-,-,"4,600,000","4,600,000","4,530,000","3,900,000","3,120,000","2,480,000","1,940,000","1,510,000","1,250,000","1,120,000","1,010,000","929,000","882,000","856,000","847,000","840,000","840,000","882,000","1,150,000","1,180,000","1,050,000","1,000,000","964,000","958,000","970,000","1,010,000","1,070,000","1,120,000","1,190,000","1,270,000","1,380,000","1,410,000","1,410,000",-
東京都文京区本駒込5-4-6,基準地価,-,-,-,-,-,-,-,-,-,-,"3,320,000","2,820,000","2,310,000","1,800,000","1,460,000","1,290,000","1,140,000","1,020,000","987,000","906,000","882,000","861,000","850,000","890,000","1,120,000","1,160,000","1,010,000","958,000","920,000","914,000","930,000","967,000","1,020,000","1,070,000","1,150,000","1,240,000","1,340,000","1,370,000","1,380,000",-
東京都文京区本郷4-1-3,基準地価,-,-,-,-,-,"7,500,000","7,500,000","7,500,000","7,420,000","6,310,000","4,950,000","4,210,000","3,370,000","2,500,000","2,020,000","1,780,000","1,620,000","1,470,000","1,370,000","1,290,000","1,260,000","1,260,000","1,260,000","1,380,000","1,780,000","1,860,000","1,630,000","1,560,000","1,500,000","1,490,000","1,500,000","1,570,000","1,660,000","1,750,000","1,880,000","2,020,000","2,200,000","2,260,000","2,260,000",-
東京都文京区湯島1-11-10,基準地価,-,-,-,-,-,-,-,"7,650,000","7,530,000","6,250,000","5,000,000","4,000,000","3,120,000","2,340,000","1,900,000","1,700,000","1,450,000","1,310,000","1,220,000","1,140,000","1,100,000","1,070,000","1,070,000","1,130,000","1,400,000","1,420,000","1,240,000","1,180,000","1,130,000","1,120,000","1,130,000","1,180,000","1,240,000","1,300,000","1,400,000","1,500,000","1,650,000","1,700,000","1,700,000",-
