市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
千代田区,総平均,"2,389,347","2,995,478","4,492,608","9,699,565","14,180,434","15,103,857","15,221,428","15,577,000","15,567,285","13,829,859","10,283,950","7,341,931","5,278,172","4,014,193","3,489,086","3,418,494","3,318,554","3,200,804","3,067,926","3,509,318","3,479,905","3,499,681","3,440,300","3,766,176","4,591,072","5,404,523","4,989,385","4,405,489","4,205,655","4,112,211","4,110,977","4,590,987","4,875,740","5,135,088","5,385,184","5,638,119","5,888,752","5,851,741","5,748,774",-
千代田区,公示地価平均,"2,160,434","2,813,130","3,763,043","8,279,200","13,436,400","15,177,307","15,151,923","15,565,769","15,577,307","14,768,888","11,113,888","7,887,209","5,687,291","4,239,583","3,548,020","3,520,416","3,365,729","3,205,918","3,091,020","3,744,228","3,724,204","3,738,710","3,599,925","3,898,000","4,672,253","5,642,026","5,420,061","4,743,666","4,518,440","4,391,949","4,369,084","5,091,717","5,407,043","5,515,152","5,757,475","6,009,622","6,330,721","6,270,573","6,148,065","5,858,216"
千代田区,基準地価平均,"2,618,260","3,177,826","5,222,173","10,506,590","14,603,181","15,060,454","15,262,500","15,583,636","15,561,363","13,253,636","9,620,000","6,820,888","4,841,777","3,773,777","3,426,222","3,309,777","3,253,857","3,193,212","3,033,636","2,918,484","2,865,454","2,898,484","3,036,250","3,432,500","4,384,193","4,822,258","4,086,354","3,718,225","3,610,354","3,579,806","3,619,741","3,847,967","4,087,354","4,411,741","4,652,612","4,907,096","5,046,250","5,053,343","4,987,625",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都千代田区六番町6番1外,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,780,000","2,880,000","3,070,000","3,260,000","3,630,000","3,800,000","3,900,000","3,960,000","4,050,000","4,100,000",-
東京都千代田区三番町9番4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,230,000","2,400,000","2,200,000","2,080,000","2,070,000","2,070,000","2,130,000","2,260,000","2,380,000","2,650,000","2,810,000","2,880,000","2,940,000","2,990,000","3,030,000",-
東京都千代田区二番町12番10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,030,000","1,720,000","1,600,000","1,580,000","1,580,000","1,630,000","1,730,000","1,830,000","2,020,000","2,110,000","2,170,000","2,210,000","2,240,000","2,260,000",-
東京都千代田区麹町2丁目10番4外,基準地価,-,-,-,-,-,-,-,-,-,-,"5,200,000","3,750,000","2,600,000","2,000,000","1,780,000","1,730,000","1,610,000","1,570,000","1,570,000","1,570,000","1,570,000","1,590,000","1,690,000","1,920,000","2,220,000","2,390,000","2,050,000","1,930,000","1,920,000","1,910,000","1,960,000","2,020,000","2,140,000","2,290,000","2,400,000","2,470,000","2,520,000","2,560,000","2,580,000",-
東京都千代田区丸の内3-3-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,100,000","21,500,000","22,900,000","24,600,000","25,500,000","26,300,000","27,200,000","27,300,000","26,900,000",-
東京都千代田区九段南3-2-15,基準地価,-,-,-,"8,500,000","10,200,000","10,500,000","10,500,000","10,700,000","10,700,000","9,000,000","6,400,000","4,400,000","3,150,000","2,400,000","2,050,000","1,980,000","1,850,000","1,750,000","1,550,000","1,430,000","1,270,000","1,250,000","1,250,000","1,370,000","1,710,000","1,800,000","1,510,000","1,370,000","1,300,000","1,280,000","1,280,000","1,350,000","1,430,000","1,540,000","1,670,000","1,850,000","1,950,000","1,970,000","1,950,000",-
東京都千代田区霞が関3-7-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,800,000","5,050,000","5,450,000","5,850,000","6,250,000","6,750,000","7,250,000","7,250,000","7,140,000",-
東京都千代田区外神田4-1-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,500,000","9,900,000","8,450,000","7,470,000","7,320,000","7,260,000","7,430,000","7,880,000","8,530,000","9,430,000","10,200,000","11,000,000","12,100,000","11,500,000","11,200,000",-
東京都千代田区内神田1-15-10,基準地価,-,-,-,-,-,-,-,"18,200,000","18,000,000","15,000,000","11,300,000","8,200,000","5,800,000","4,400,000","4,000,000","3,830,000","3,550,000","3,350,000","3,150,000","2,950,000","2,780,000","2,700,000","2,620,000","2,900,000","3,500,000","3,710,000","3,120,000","2,800,000","2,700,000","2,640,000","2,700,000","2,870,000","3,030,000","3,270,000","3,480,000","3,700,000","3,930,000","3,960,000","3,930,000",-
東京都千代田区岩本町1-3-4,基準地価,-,-,-,"10,900,000","14,000,000","14,300,000","14,300,000","14,300,000","14,000,000","11,600,000","8,000,000","6,000,000","4,300,000","3,150,000","2,750,000","2,550,000","2,350,000","2,200,000","2,000,000","1,710,000","1,580,000","1,490,000","1,460,000","1,600,000","1,920,000","2,050,000","1,700,000","1,530,000","1,480,000","1,450,000","1,450,000","1,530,000","1,610,000","1,730,000","1,850,000","2,010,000","2,200,000","2,230,000","2,200,000",-
東京都千代田区岩本町3-7-13,基準地価,-,"2,100,000","3,180,000","5,250,000","7,100,000","7,200,000","7,200,000","7,200,000","7,100,000","6,050,000","4,200,000","2,790,000","1,900,000","1,500,000","1,250,000","1,200,000","1,100,000","970,000","850,000","760,000","740,000","700,000","700,000","800,000","980,000","1,060,000","930,000","875,000","855,000","850,000","860,000","900,000","955,000","1,010,000","1,070,000","1,170,000","1,310,000","1,340,000","1,320,000",-
東京都千代田区神田須田町1丁目26番2,基準地価,-,-,-,-,-,-,-,-,-,-,"15,000,000","10,000,000","7,300,000","5,850,000","5,450,000","5,300,000","4,950,000","4,400,000","4,000,000","3,600,000","3,460,000","3,380,000","3,480,000","3,790,000","4,600,000","4,900,000","4,090,000","3,760,000","3,620,000","3,530,000","3,560,000","3,750,000","3,950,000","4,270,000","4,560,000","4,840,000","5,130,000","5,180,000","5,130,000",-
東京都千代田区神田須田町2丁目13番12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,470,000","1,550,000","1,650,000","1,750,000","1,860,000","2,040,000","2,240,000","2,290,000","2,270,000",-
東京都千代田区外神田3-14-9,基準地価,-,-,-,"12,900,000","18,700,000","19,400,000","19,400,000","19,700,000","19,700,000","16,500,000","12,000,000","9,150,000","6,500,000","5,100,000","4,750,000","4,700,000","4,400,000","4,100,000","3,900,000","3,700,000","3,580,000","3,600,000","3,960,000","4,500,000","5,700,000","6,250,000","5,300,000","4,700,000","4,540,000","4,500,000","4,600,000","4,880,000","5,200,000","5,630,000","6,000,000","6,370,000","6,800,000","6,850,000","6,720,000",-
東京都千代田区西神田1-3-6,基準地価,-,-,-,-,-,-,-,-,-,-,"13,000,000","8,900,000","6,350,000","4,750,000","4,100,000","3,950,000","3,700,000","3,500,000","3,240,000","3,080,000","2,850,000","2,800,000","2,830,000","3,030,000","3,650,000","3,900,000","3,300,000","2,970,000","2,870,000","2,830,000","2,840,000","3,010,000","3,180,000","3,410,000","3,620,000","3,860,000","4,100,000","4,100,000","4,060,000",-
東京都千代田区内神田2-11-6,基準地価,-,-,-,"15,000,000","20,000,000","20,500,000","20,500,000","21,000,000","21,000,000","18,000,000","13,400,000","9,400,000","6,600,000","5,050,000","4,590,000","4,380,000","4,070,000","3,850,000","3,520,000","3,280,000","3,150,000","3,100,000","3,100,000","3,500,000","4,300,000","4,560,000","3,730,000","3,350,000","3,230,000","3,140,000","3,160,000","3,350,000","3,540,000","3,820,000","4,070,000","4,330,000","4,600,000","4,630,000","4,590,000",-
東京都千代田区神田駿河台1丁目8番3外,基準地価,-,-,-,"16,600,000","23,500,000","24,400,000","24,400,000","24,400,000","24,400,000","20,500,000","14,500,000","9,800,000","6,900,000","5,450,000","5,050,000","4,750,000","4,280,000","4,000,000","3,800,000","3,530,000","3,330,000","3,250,000","3,300,000","3,500,000","4,250,000","4,550,000","3,870,000","3,500,000","3,410,000","3,320,000","3,350,000","3,510,000","3,720,000","4,020,000","4,290,000","4,570,000","4,850,000","4,900,000","4,810,000",-
東京都千代田区神田美倉町10番1,基準地価,-,"2,900,000","4,230,000","7,000,000","9,100,000","9,300,000","9,300,000","9,300,000","9,300,000","8,300,000","6,100,000","4,300,000","3,090,000","2,320,000","1,960,000","1,820,000","1,640,000","1,550,000","1,440,000","1,300,000","1,210,000","1,190,000","1,190,000","1,290,000","1,630,000","1,730,000","1,450,000","1,400,000","1,380,000","1,360,000","1,370,000","1,430,000","1,510,000","1,610,000","1,730,000","1,900,000","2,080,000","2,140,000","2,110,000",-
