市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
江戸川区,総平均,"296,811","307,216","314,150","333,826","613,903","952,788","1,006,723","1,085,651","1,106,116","1,040,642","864,140","714,614","623,475","561,759","519,339","473,049","427,064","387,490","361,193","343,506","330,519","323,070","318,881","327,637","366,000","390,468","366,712","346,110","343,469","339,269","337,500","351,294","355,955","354,930","367,564","383,961","406,519","421,961","418,787",-
江戸川区,公示地価平均,"290,931","300,500","307,344","320,578","482,543","939,548","961,580","1,010,548","1,030,016","996,000","821,481","678,148","594,648","544,777","506,203","465,138","422,009","382,879","357,416","338,944","325,954","318,155","315,130","319,934","355,883","386,336","367,070","342,718","340,977","336,166","332,933","348,333","352,722","348,700","357,582","372,439","392,703","411,747","407,835","413,252"
江戸川区,基準地価平均,"303,916","315,333","322,375","349,893","773,212","970,255","1,062,700","1,178,780","1,200,480","1,096,000","928,129","778,092","681,129","595,722","545,611","488,870","438,437","398,085","369,872","354,085","341,106","334,468","327,800","347,261","392,050","400,900","365,825","354,250","349,075","346,250","347,775","356,625","361,775","368,950","390,275","410,175","437,950","445,200","443,097",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都江戸川区北小岩6-40-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"358,000","336,000","320,000","309,000","300,000","292,000","291,000","306,000","336,000","340,000","310,000","305,000","293,000","290,000","290,000","290,000","292,000","296,000","303,000","312,000","322,000","322,000","322,000",-
東京都江戸川区東小岩4-13-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"384,000","359,000","338,000","326,000","308,000","306,000","306,000","329,000","363,000","373,000","337,000","324,000","314,000","311,000","311,000","315,000","317,000","320,000","328,000","338,000","349,000","349,000","349,000",-
東京都江戸川区南小岩6-22-15,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"405,000","366,000","355,000","350,000","350,000","351,000","355,000","357,000","361,000","377,000","394,000","410,000","415,000","415,000",-
東京都江戸川区平井1-13-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"320,000","302,000","285,000","279,000","274,000","273,000","291,000","320,000","322,000","293,000","285,000","279,000","277,000","277,000","281,000","284,000","290,000","297,000","310,000","325,000","329,000","329,000",-
東京都江戸川区宇喜田町1426番4,基準地価,"198,000","211,000","215,000","236,000","540,000","710,000","710,000","720,000","716,000","640,000","510,000","462,000","450,000","438,000","430,000","396,000","355,000","328,000","311,000","301,000","296,000","291,000","289,000","298,000","326,000","330,000","304,000","296,000","290,000","289,000","289,000","296,000","302,000","309,000","323,000","339,000","353,000","361,000","361,000",-
東京都江戸川区春江町五丁目5番47,基準地価,"224,000","235,000","240,000","257,000","465,000","600,000","600,000","654,000","654,000","600,000","455,000","420,000","409,000","390,000","375,000","349,000","324,000","297,000","286,000","276,000","268,000","263,000","262,000","270,000","294,000","294,000","272,000","265,000","263,000","263,000","263,000","265,000","270,000","275,000","282,000","293,000","306,000","310,000","312,000",-
東京都江戸川区松本1-27-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"254,000","263,000","290,000","296,000","275,000","266,000","264,000","264,000","264,000","265,000","267,000","269,000","273,000","280,000","288,000","291,000","289,000",-
東京都江戸川区大杉2-4-4,基準地価,"225,000","229,000","231,000","245,000","460,000","570,000","587,000","614,000","635,000","597,000","455,000","417,000","410,000","388,000","375,000","347,000","315,000","288,000","270,000","260,000","254,000","248,000","247,000","253,000","276,000","286,000","266,000","258,000","250,000","250,000","250,000","251,000","253,000","254,000","260,000","268,000","276,000","277,000","276,000",-
東京都江戸川区西葛西3-5-15,基準地価,-,-,-,-,-,-,"1,250,000","1,250,000","1,230,000","965,000","750,000","679,000","620,000","570,000","545,000","492,000","440,000","425,000","391,000","374,000","366,000","365,000","365,000","405,000","447,000","463,000","418,000","402,000","392,000","390,000","392,000","405,000","416,000","431,000","453,000","481,000","510,000","525,000","525,000",-
東京都江戸川区松島1-23-8,基準地価,"268,000","273,000","278,000","297,000","551,000","670,000","680,000","680,000","700,000","637,000","500,000","494,000","484,000","469,000","454,000","426,000","384,000","355,000","332,000","319,000","304,000","295,000","293,000","309,000","337,000","340,000","319,000","309,000","306,000","305,000","305,000","308,000","311,000","315,000","322,000","332,000","345,000","348,000","346,000",-
東京都江戸川区平井3-16-21,基準地価,"304,000","310,000","316,000","345,000","622,000","740,000","760,000","780,000","780,000","748,000","605,000","540,000","530,000","517,000","499,000","457,000","423,000","388,000","372,000","355,000","345,000","340,000","339,000","365,000","400,000","400,000","365,000","356,000","348,000","345,000","346,000","350,000","353,000","358,000","369,000","383,000","398,000","403,000","403,000",-
東京都江戸川区瑞江4-35-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"325,000","365,000","365,000","338,000","329,000","328,000","328,000","333,000","347,000","354,000","363,000","376,000","393,000","413,000","420,000","424,000",-
東京都江戸川区中葛西5-6-13,基準地価,-,-,-,-,-,-,"1,090,000","1,130,000","1,150,000","931,000","698,000","614,000","598,000","520,000","507,000","460,000","415,000","387,000","374,000","357,000","351,000","349,000","348,000","382,000","420,000","435,000","395,000","380,000","371,000","369,000","370,000","382,000","391,000","407,000","428,000","460,000","490,000","503,000","503,000",-
東京都江戸川区篠崎町7-8-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"373,000","378,000",-
東京都江戸川区新堀2-14-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"293,000","297,000","297,000",-
東京都江戸川区上一色2-17-18,基準地価,-,-,-,-,-,-,-,"660,000","660,000","609,000","463,000","426,000","424,000","415,000","400,000","372,000","337,000","315,000","296,000","285,000","276,000","268,000","266,000","275,000","303,000","305,000","278,000","270,000","268,000","268,000","268,000","269,000","271,000","274,000","280,000","287,000","297,000","300,000","299,000",-
東京都江戸川区西瑞江三丁目24番52,基準地価,-,-,-,-,-,-,-,"645,000","645,000","593,000","451,000","415,000","404,000","385,000","373,000","349,000","324,000","303,000","285,000","275,000","266,000","261,000","260,000","267,000","295,000","295,000","272,000","264,000","262,000","261,000","261,000","262,000","264,000","269,000","277,000","290,000","303,000","305,000","305,000",-
東京都江戸川区江戸川1-6-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"265,000","267,000","271,000","277,000","286,000","295,000","298,000","298,000",-
東京都江戸川区一之江6-14-3,基準地価,"229,000","240,000","247,000","264,000","520,000","610,000","629,000","661,000","661,000","600,000","455,000","420,000","412,000","392,000","375,000","347,000","322,000","295,000","278,000","268,000","262,000","258,000","257,000","267,000","300,000","300,000","279,000","272,000","265,000","263,000","263,000","268,000","273,000","279,000","288,000","305,000","323,000","328,000","330,000",-
東京都江戸川区東小松川2-13-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"263,000","263,000","264,000","266,000","267,000","274,000","282,000","292,000","295,000","293,000",-
東京都江戸川区船堀7-5-17,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"313,000","319,000","327,000","337,000","357,000","375,000","379,000","385,000",-
東京都江戸川区東小岩6-8-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"336,000","340,000","342,000","346,000","354,000","365,000","378,000","381,000","379,000",-
東京都江戸川区鹿骨1-3-11,基準地価,-,-,-,-,-,-,-,-,-,-,"442,000","408,000","401,000","381,000","369,000","347,000","313,000","286,000","260,000","250,000","244,000","239,000","236,000","241,000","267,000","267,000","248,000","240,000","238,000","237,000","237,000","238,000","240,000","242,000","247,000","254,000","261,000","261,000","261,000",-
東京都江戸川区南篠崎町1-28-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"340,000","305,000","292,000","282,000","274,000","267,000","265,000","271,000","300,000","303,000","282,000","276,000","274,000","272,000","273,000","275,000","278,000","284,000","295,000","308,000","322,000","326,000","331,000",-
東京都江戸川区北葛西4-20-13,基準地価,"217,000","222,000","226,000","249,000","600,000","791,000","791,000","835,000","840,000","735,000","570,000","528,000","510,000","485,000","465,000","427,000","388,000","363,000","350,000","333,000","323,000","321,000","321,000","341,000","373,000","382,000","348,000","335,000","327,000","325,000","325,000","330,000","335,000","343,000","358,000","384,000","409,000","420,000","420,000",-
東京都江戸川区南葛西2-8-19,基準地価,-,-,-,-,-,-,"895,000","895,000","895,000","732,000","555,000","494,000","485,000","460,000","440,000","400,000","367,000","343,000","334,000","320,000","314,000","312,000","311,000","333,000","365,000","365,000","335,000","323,000","316,000","313,000","313,000","323,000","329,000","339,000","356,000","381,000","404,000","414,000","414,000",-
東京都江戸川区平井7-31-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,"423,000","410,000","374,000","344,000","315,000","295,000","270,000","260,000","255,000","254,000","265,000","290,000","290,000","270,000","263,000","257,000","255,000","255,000","257,000","258,000","264,000","272,000","285,000","297,000","301,000","301,000",-
東京都江戸川区松江4-22-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"340,000","315,000","297,000","286,000","277,000","272,000","270,000","280,000","310,000","310,000","289,000","280,000","274,000","272,000","272,000","274,000","275,000","278,000","285,000","297,000","307,000","307,000","307,000",-
東京都江戸川区北小岩6-12-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"430,000","423,000","423,000","427,000","430,000","438,000","450,000","468,000","485,000","486,000","486,000",-
東京都江戸川区瑞江2-3-15,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"650,000","650,000","657,000","667,000","683,000","720,000","763,000","820,000","837,000","837,000",-
東京都江戸川区西葛西6-15-2,基準地価,-,-,-,-,"4,340,000","5,700,000","5,700,000","5,800,000","5,800,000","5,300,000","4,130,000","3,200,000","2,500,000","1,950,000","1,610,000","1,360,000","1,160,000","1,030,000","968,000","958,000","940,000","937,000","975,000","1,100,000","1,340,000","1,430,000","1,250,000","1,180,000","1,160,000","1,130,000","1,150,000","1,190,000","1,230,000","1,260,000","1,330,000","1,430,000","1,600,000","1,640,000","1,640,000",-
東京都江戸川区南小岩7-17-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"658,000","665,000","665,000",-
東京都江戸川区中央1-3-4,基準地価,-,"458,000","469,000","507,000","1,160,000","1,400,000","1,400,000","1,520,000","1,520,000","1,430,000","1,050,000","850,000","730,000","680,000","622,000","565,000","508,000","440,000","384,000","363,000","330,000","318,000","314,000","322,000","357,000","368,000","343,000","335,000","331,000","330,000","330,000","334,000","337,000","346,000","366,000","391,000","420,000","430,000","428,000",-
東京都江戸川区平井4-8-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"650,000","700,000","749,000","749,000","749,000",-
東京都江戸川区西小岩1-27-16,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"738,000","746,000","746,000",-
東京都江戸川区中央2-15-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"303,000","303,000","307,000","310,000","317,000","326,000","336,000","346,000","350,000","346,000",-
東京都江戸川区篠崎町4-13-18,基準地価,-,-,-,-,-,-,-,-,-,-,"595,000","547,000","515,000","500,000","475,000","428,000","405,000","350,000","326,000","310,000","295,000","285,000","281,000","287,000","320,000","325,000","304,000","296,000","293,000","291,000","291,000","293,000","296,000","302,000","310,000","319,000","328,000","330,000","328,000",-
東京都江戸川区中葛西3-37-4,基準地価,-,-,-,-,-,-,-,-,-,"3,820,000","2,830,000","2,200,000","1,750,000","1,300,000","1,100,000","935,000","805,000","723,000","665,000","640,000","625,000","615,000","615,000","670,000","792,000","828,000","746,000","707,000","696,000","684,000","687,000","701,000","715,000","731,000","767,000","816,000","873,000","882,000","878,000",-
東京都江戸川区北葛西4-25-22,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"440,000","448,000","458,000","478,000","502,000","532,000","538,000","538,000",-
東京都江戸川区新堀1-42-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"302,000","315,000","317,000","317,000",-
東京都江戸川区臨海町3-6-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"357,000",-
東京都江戸川区西小岩1-10-5,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"308,000","313,000","350,000","374,000","359,000","336,000","334,000","327,000","326,000","328,000","331,000","335,000","340,000","350,000","362,000","372,000","369,000","373,000"
東京都江戸川区瑞江1-53-3,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"315,000","342,000","368,000","348,000","325,000","323,000","320,000","319,000","321,000","326,000","331,000","339,000","353,000","371,000","391,000","391,000","396,000"
東京都江戸川区清新町2-7-18,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"321,000","327,000","332,000","340,000","354,000","371,000","392,000","408,000","406,000","418,000"
東京都江戸川区南篠崎町3-15-2,公示地価,-,-,-,-,-,-,-,-,"1,000,000","948,000","765,000","648,000","609,000","578,000","549,000","513,000","467,000","425,000","400,000","379,000","364,000","357,000","352,000","355,000","387,000","418,000","393,000","367,000","364,000","357,000","355,000","358,000","363,000","370,000","380,000","395,000","418,000","440,000","440,000","446,000"
東京都江戸川区東小岩6-8-9,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"318,000","323,000","360,000","385,000","370,000","346,000","343,000","337,000","336,000","338,000","341,000","344,000","350,000","360,000","372,000","382,000","379,000","384,000"
東京都江戸川区船堀2-12-9,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"422,000","445,000","442,000","447,000"
東京都江戸川区中葛西1-35-10,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"347,000","324,000","311,000","307,000","305,000","310,000","344,000","368,000","345,000","322,000","320,000","314,000","313,000","318,000","324,000","332,000","345,000","363,000","388,000","412,000","412,000","416,000"
東京都江戸川区平井6丁目20番5,公示地価,"316,000","324,000","329,000","338,000","408,000","753,000","798,000","843,000","875,000","804,000","640,000","545,000","525,000","515,000","498,000","462,000","425,000","392,000","369,000","352,000","338,000","328,000","323,000","324,000","360,000","387,000","368,000","345,000","343,000","340,000","339,000","342,000","344,000","348,000","354,000","368,000","384,000","401,000","399,000","405,000"
東京都江戸川区西葛西8-9-12,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"340,000","340,000","345,000","350,000","361,000","372,000","388,000","415,000","440,000","440,000","444,000"
東京都江戸川区北葛西2-27-22,公示地価,-,-,-,-,-,-,-,"730,000","766,000","705,000","560,000","480,000","462,000","440,000","432,000","405,000","373,000","343,000","328,000","312,000","304,000","301,000","298,000","301,000","330,000","355,000","337,000","316,000","313,000","307,000","306,000","308,000","311,000","315,000","322,000","336,000","353,000","368,000","366,000","370,000"
東京都江戸川区北篠崎2-8-12,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"286,000","271,000","261,000","254,000","251,000","251,000","272,000","290,000","273,000","255,000","253,000","250,000","249,000","250,000","251,000","253,000","257,000","264,000","273,000","279,000","277,000","279,000"
東京都江戸川区松江7-23-3,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,"475,000","450,000","433,000","409,000","378,000","347,000","323,000","312,000","302,000","295,000","291,000","292,000","317,000","340,000","323,000","303,000","300,000","297,000","297,000","299,000","302,000","305,000","309,000","316,000","328,000","340,000","338,000","342,000"
東京都江戸川区北小岩8-7-14,公示地価,-,-,-,-,-,-,-,-,-,-,"535,000","460,000","447,000","440,000","427,000","400,000","371,000","338,000","320,000","307,000","294,000","284,000","281,000","284,000","310,000","330,000","316,000","296,000","294,000","286,000","285,000","286,000","287,000","288,000","291,000","298,000","307,000","315,000","313,000","317,000"
東京都江戸川区春江町3-15-8,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"287,000","277,000","271,000","268,000","268,000","290,000","310,000","294,000","275,000","273,000","271,000","271,000","274,000","277,000","280,000","286,000","297,000","309,000","320,000","318,000","321,000"
東京都江戸川区鹿骨2-15-10,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"253,000","252,000","253,000","254,000","255,000","257,000","265,000","275,000","283,000","281,000","283,000"
東京都江戸川区一之江2-3-8,公示地価,-,"219,000","221,000","232,000","290,000","559,000","560,000","600,000","637,000","615,000","495,000","422,000","410,000","396,000","380,000","356,000","331,000","306,000","286,000","275,000","267,000","262,000","259,000","260,000","282,000","302,000","287,000","269,000","267,000","264,000","263,000","264,000","265,000","268,000","273,000","284,000","297,000","310,000","308,000","312,000"
東京都江戸川区南葛西5-8-15,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"380,000","345,000","327,000","312,000","302,000","298,000","296,000","303,000","335,000","355,000","336,000","314,000","312,000","306,000","305,000","309,000","313,000","318,000","328,000","342,000","362,000","378,000","375,000","378,000"
東京都江戸川区西瑞江5丁目14番46,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"294,000","282,000","273,000","267,000","264,000","264,000","286,000","306,000","291,000","273,000","272,000","269,000","268,000","270,000","273,000","278,000","283,000","293,000","305,000","315,000","313,000","317,000"
東京都江戸川区松島4-34-1,公示地価,"306,000","315,000","321,000","337,000","420,000","760,000","790,000","800,000","850,000","795,000","625,000","530,000","514,000","504,000","491,000","456,000","422,000","390,000","370,000","355,000","338,000","330,000","327,000","328,000","365,000","393,000","374,000","350,000","348,000","345,000","344,000","347,000","349,000","353,000","360,000","374,000","390,000","405,000","403,000","410,000"
東京都江戸川区西小岩4-3-15,公示地価,-,-,-,-,-,-,-,-,-,-,"612,000","520,000","505,000","490,000","472,000","440,000","410,000","375,000","356,000","342,000","330,000","325,000","321,000","326,000","365,000","390,000","373,000","349,000","347,000","340,000","340,000","344,000","347,000","351,000","356,000","368,000","381,000","393,000","390,000","393,000"
東京都江戸川区南葛西6-31-10,公示地価,"189,000","194,000","198,000","206,000","331,000","703,000","750,000","789,000","820,000","747,000","585,000","495,000","476,000","460,000","439,000","408,000","380,000","348,000","337,000","321,000","308,000","304,000","302,000","309,000","342,000","360,000","341,000","318,000","315,000","309,000","308,000","309,000","313,000","320,000","333,000","349,000","371,000","390,000","387,000","390,000"
東京都江戸川区興宮町25-18,公示地価,-,-,-,-,-,-,-,"627,000","650,000","615,000","500,000","420,000","419,000","410,000","397,000","373,000","345,000","317,000","308,000","297,000","279,000","272,000","270,000","270,000","293,000","312,000","295,000","276,000","274,000","270,000","269,000","270,000","271,000","272,000","275,000","281,000","288,000","293,000","290,000","292,000"
東京都江戸川区南小岩4-7-2,公示地価,"286,000","293,000","300,000","307,000","420,000","670,000","700,000","715,000","743,000","685,000","532,000","455,000","455,000","440,000","422,000","395,000","367,000","335,000","328,000","315,000","303,000","297,000","293,000","293,000","322,000","342,000","326,000","305,000","303,000","300,000","299,000","301,000","303,000","305,000","309,000","316,000","327,000","336,000","333,000","336,000"
東京都江戸川区本一色3-19-4,公示地価,-,-,-,"248,000","299,000","522,000","565,000","615,000","660,000","624,000","503,000","425,000","420,000","410,000","397,000","373,000","345,000","317,000","293,000","278,000","267,000","261,000","260,000","260,000","282,000","302,000","287,000","269,000","267,000","263,000","263,000","265,000","266,000","270,000","275,000","282,000","295,000","307,000","305,000","309,000"
