市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
板橋区,総平均,"396,975","408,049","421,296","474,375","967,950","1,133,119","1,155,372","1,178,069","1,188,767","1,046,046","800,278","674,815","610,225","560,959","531,233","510,838","485,771","458,245","437,372","423,341","406,504","394,382","392,308","397,924","442,552","482,428","444,800","422,280","416,049","411,235","410,568","426,252","432,896","433,693","449,029","472,431","496,509","518,686","514,401",-
板橋区,公示地価平均,"407,363","418,613","430,750","461,209","876,976","1,170,893","1,166,382","1,183,276","1,187,680","1,073,148","781,523","654,356","590,542","542,590","514,493","495,156","469,301","442,325","421,566","411,397","394,318","381,761","378,290","378,894","419,280","467,450","435,102","408,760","402,857","397,085","395,442","411,854","417,127","415,681","429,385","449,142","475,214","503,857","498,300","503,814"
板橋区,基準地価平均,"384,947","395,486","410,054","489,675","1,073,675","1,085,135","1,142,102","1,171,794","1,190,076","1,013,384","829,097","711,243","650,073","598,146","565,121","542,585","524,828","496,000","474,857","453,371","437,142","426,114","427,764","445,500","502,187","519,875","468,437","453,968","444,906","442,187","443,656","451,000","460,000","472,531","492,000","523,375","543,093","551,125","549,625",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都板橋区板橋4-37-2,基準地価,-,-,-,-,-,-,"1,150,000","1,160,000","1,140,000","913,000","730,000","621,000","590,000","558,000","531,000","504,000","469,000","440,000","420,000","403,000","393,000","386,000","386,000","397,000","445,000","462,000","422,000","408,000","403,000","401,000","403,000","408,000","415,000","428,000","446,000","480,000","510,000","522,000","525,000",-
東京都板橋区向原2-12-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"377,000","388,000","400,000","414,000","432,000","466,000","502,000","512,000","514,000",-
東京都板橋区坂下2-30-7,基準地価,"271,000","275,000","278,000","310,000","702,000","702,000","702,000","702,000","697,000","600,000","505,000","450,000","430,000","415,000","408,000","403,000","388,000","370,000","354,000","338,000","326,000","320,000","318,000","324,000","350,000","357,000","321,000","313,000","306,000","304,000","305,000","308,000","312,000","320,000","333,000","352,000","370,000","377,000","378,000",-
東京都板橋区高島平1-37-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"338,000","353,000","368,000","372,000","370,000",-
東京都板橋区小茂根3-6-1,基準地価,-,-,-,-,-,-,"810,000","812,000","800,000","670,000","537,000","475,000","447,000","425,000","420,000","415,000","402,000","388,000","376,000","365,000","353,000","346,000","344,000","351,000","388,000","403,000","360,000","348,000","342,000","342,000","345,000","351,000","357,000","367,000","380,000","401,000","421,000","428,000","428,000",-
東京都板橋区双葉町22-3,基準地価,"325,000","335,000","341,000","379,000","900,000","873,000","873,000","873,000","856,000","707,000","570,000","515,000","490,000","471,000","461,000","455,000","427,000","406,000","403,000","387,000","380,000","373,000","372,000","380,000","425,000","434,000","395,000","384,000","379,000","377,000","378,000","382,000","388,000","397,000","412,000","433,000","455,000","459,000","459,000",-
東京都板橋区上板橋1-9-8,基準地価,"301,000","310,000","320,000","338,000","810,000","786,000","770,000","770,000","767,000","643,000","527,000","465,000","442,000","425,000","420,000","416,000","396,000","378,000","367,000","350,000","341,000","334,000","333,000","346,000","383,000","395,000","358,000","349,000","344,000","342,000","343,000","351,000","360,000","370,000","383,000","409,000","435,000","444,000","446,000",-
東京都板橋区東新町1-30-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"372,000","391,000","412,000","418,000","419,000",-
東京都板橋区桜川3-16-5,基準地価,"305,000","310,000","318,000","340,000","817,000","817,000","817,000","842,000","839,000","695,000","575,000","505,000","482,000","460,000","451,000","443,000","416,000","400,000","384,000","367,000","356,000","348,000","347,000","356,000","394,000","407,000","366,000","357,000","352,000","350,000","351,000","356,000","363,000","372,000","383,000","405,000","427,000","433,000","434,000",-
東京都板橋区大山東町10-2,基準地価,-,-,-,-,-,-,-,-,-,-,"687,000","607,000","585,000","563,000","557,000","542,000","502,000","477,000","457,000","433,000","420,000","412,000","414,000","438,000","505,000","523,000","470,000","453,000","447,000","445,000","447,000","452,000","460,000","472,000","488,000","519,000","550,000","556,000","560,000",-
東京都板橋区徳丸3-18-6,基準地価,-,-,-,-,-,-,-,-,-,-,"558,000","493,000","464,000","444,000","436,000","431,000","408,000","393,000","384,000","366,000","352,000","344,000","344,000","349,000","400,000","414,000","383,000","369,000","364,000","361,000","364,000","370,000","377,000","385,000","400,000","423,000","447,000","463,000","466,000",-
東京都板橋区志村2-6-13,基準地価,-,-,-,-,-,"837,000","830,000","837,000","835,000","690,000","573,000","510,000","480,000","460,000","454,000","447,000","430,000","415,000","401,000","386,000","378,000","371,000","369,000","377,000","418,000","427,000","383,000","372,000","366,000","364,000","366,000","370,000","375,000","385,000","397,000","415,000","435,000","442,000","443,000",-
東京都板橋区赤塚新町一丁目1028番12,基準地価,"320,000","326,000","333,000","350,000","775,000","762,000","762,000","762,000","755,000","630,000","522,000","460,000","437,000","424,000","416,000","409,000","389,000","374,000","355,000","338,000","326,000","320,000","319,000","324,000","363,000","370,000","340,000","328,000","323,000","321,000","322,000","327,000","333,000","340,000","351,000","369,000","388,000","395,000","396,000",-
東京都板橋区赤塚6-4-14,基準地価,"308,000","310,000","312,000","330,000","710,000","710,000","710,000","715,000","703,000","585,000","480,000","435,000","416,000","400,000","397,000","392,000","378,000","365,000","355,000","343,000","333,000","325,000","325,000","332,000","364,000","371,000","337,000","325,000","320,000","318,000","318,000","322,000","327,000","334,000","345,000","362,000","379,000","386,000","386,000",-
東京都板橋区成増4-27-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"336,000","352,000","357,000","357,000",-
東京都板橋区中丸町29-8,基準地価,-,-,-,-,"1,280,000","1,280,000","1,280,000","1,280,000","1,260,000","1,080,000","840,000","720,000","668,000","644,000","591,000","563,000","515,000","483,000","455,000","438,000","422,000","411,000","407,000","425,000","476,000","483,000","434,000","425,000","415,000","413,000","415,000","420,000","428,000","441,000","456,000","480,000","509,000","519,000","522,000",-
東京都板橋区高島平9-29-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"345,000","360,000","376,000","379,000","378,000",-
東京都板橋区新河岸1-17-16,基準地価,"256,000","256,000","262,000","278,000","566,000","566,000","566,000","580,000","580,000","500,000","402,000","360,000","340,000","325,000","322,000","315,000","302,000","295,000","285,000","280,000","272,000","270,000","270,000","275,000","300,000","303,000","284,000","276,000","269,000","267,000","267,000","270,000","273,000","276,000","282,000","292,000","298,000","298,000","297,000",-
東京都板橋区宮本町30-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"380,000","399,000","406,000","408,000",-
東京都板橋区板橋1-13-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"900,000","920,000","922,000",-
東京都板橋区成増1-28-13,基準地価,-,-,-,-,-,-,-,-,-,-,"1,670,000","1,350,000","1,190,000","1,060,000","972,000","903,000","831,000","790,000","758,000","710,000","668,000","643,000","640,000","672,000","760,000","796,000","710,000","689,000","672,000","669,000","669,000","686,000","706,000","730,000","760,000","813,000","869,000","875,000","875,000",-
東京都板橋区板橋2-65-8,基準地価,-,-,-,-,"2,470,000","2,500,000","2,500,000","2,530,000","2,530,000","2,130,000","1,680,000","1,430,000","1,280,000","1,160,000","1,050,000","940,000","845,000","775,000","735,000","680,000","635,000","605,000","597,000","629,000","710,000","740,000","660,000","640,000","621,000","621,000","627,000","642,000","660,000","686,000","730,000","785,000","848,000","874,000","880,000",-
東京都板橋区大谷口北町64-6,基準地価,"370,000","384,000","408,000","491,000","1,050,000","1,060,000","1,060,000","1,060,000","1,050,000","945,000","723,000","630,000","590,000","566,000","545,000","531,000","495,000","480,000","468,000","457,000","446,000","438,000","433,000","445,000","490,000","507,000","456,000","434,000","425,000","420,000","419,000","423,000","431,000","443,000","459,000","487,000","515,000","518,000","518,000",-
東京都板橋区徳丸3-1-20,基準地価,-,-,-,-,-,-,"1,450,000","1,450,000","1,450,000","1,280,000","950,000","810,000","737,000","684,000","630,000","597,000","542,000","520,000","496,000","476,000","460,000","450,000","447,000","464,000","522,000","544,000","490,000","473,000","463,000","461,000","460,000","471,000","483,000","500,000","520,000","554,000","590,000","605,000","607,000",-
東京都板橋区高島平1-79-3,基準地価,-,-,"730,000","862,000","1,640,000","1,650,000","1,650,000","1,650,000","1,640,000","1,400,000","1,100,000","930,000","830,000","732,000","675,000","667,000","595,000","568,000","541,000","520,000","500,000","486,000","482,000","510,000","585,000","605,000","538,000","522,000","510,000","507,000","507,000","516,000","530,000","547,000","569,000","608,000","647,000","653,000","653,000",-
東京都板橋区中板橋20-3,基準地価,-,-,-,-,-,-,-,"2,300,000","2,300,000","1,910,000","1,530,000","1,300,000","1,130,000","998,000","913,000","848,000","772,000","733,000","697,000","660,000","634,000","611,000","605,000","654,000","740,000","780,000","700,000","678,000","669,000","664,000","664,000","674,000","689,000","712,000","736,000","780,000","827,000","834,000","829,000",-
東京都板橋区大山町24-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"635,000","605,000","581,000","563,000","560,000","598,000","672,000","705,000","640,000","620,000","606,000","603,000","602,000","615,000","630,000","652,000","684,000","732,000","783,000","789,000","795,000",-
東京都板橋区常盤台4-31-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"630,000","600,000","582,000","577,000","618,000","700,000","735,000","663,000","642,000","625,000","618,000","616,000","625,000","638,000","658,000","686,000","728,000","780,000","788,000","788,000",-
東京都板橋区蓮沼町26-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"504,000",-
東京都板橋区双葉町2-12,基準地価,-,-,-,-,-,-,-,-,-,"1,060,000","835,000","720,000","645,000","590,000","560,000","529,000","487,000","451,000","438,000","424,000","412,000","402,000","401,000","420,000","470,000","480,000","430,000","415,000","410,000","406,000","405,000","410,000","414,000","423,000","436,000","458,000","480,000","483,000","485,000",-
東京都板橋区蓮根2-20-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"390,000","396,000","402,000","413,000","429,000","454,000","480,000","486,000","486,000",-
東京都板橋区常盤台2-6-5,基準地価,-,-,-,-,-,-,"2,450,000","2,500,000","2,480,000","2,120,000","1,760,000","1,510,000","1,310,000","1,170,000","1,070,000","1,050,000","960,000","909,000","880,000","837,000","804,000","780,000","775,000","830,000","923,000","975,000","850,000","825,000","807,000","796,000","794,000","816,000","840,000","872,000","912,000","988,000","1,060,000","1,070,000","1,060,000",-
東京都板橋区三園1-44-25,公示地価,-,-,-,-,-,-,-,-,-,-,-,"414,000","391,000","380,000","375,000","370,000","357,000","339,000","323,000","308,000","297,000","288,000","284,000","283,000","300,000","325,000","300,000","290,000","287,000","283,000","281,000","282,000","283,000","285,000","291,000","300,000","310,000","321,000","319,000","320,000"
東京都板橋区前野町6-21-4,公示地価,-,-,-,-,-,-,-,-,-,-,-,"490,000","455,000","437,000","426,000","419,000","403,000","385,000","370,000","355,000","342,000","333,000","329,000","328,000","358,000","394,000","370,000","348,000","344,000","338,000","336,000","341,000","345,000","352,000","362,000","377,000","395,000","414,000","410,000","411,000"
東京都板橋区常盤台2-24-5,公示地価,-,-,-,-,-,-,-,"1,350,000","1,350,000","1,150,000","855,000","745,000","700,000","661,000","637,000","628,000","599,000","562,000","530,000","500,000","482,000","470,000","465,000","465,000","515,000","576,000","535,000","503,000","495,000","490,000","489,000","494,000","498,000","506,000","526,000","552,000","582,000","609,000","605,000","609,000"
東京都板橋区東新町1-30-9,公示地価,-,-,-,-,-,-,-,-,-,-,"580,000","508,000","470,000","453,000","444,000","436,000","422,000","403,000","389,000","373,000","360,000","349,000","342,000","343,000","374,000","408,000","381,000","354,000","348,000","345,000","343,000","345,000","349,000","356,000","366,000","381,000","400,000","421,000","418,000","421,000"
東京都板橋区小茂根4-13-11,公示地価,-,-,-,-,-,-,-,-,-,-,"573,000","504,000","470,000","451,000","440,000","432,000","415,000","396,000","382,000","365,000","351,000","341,000","337,000","337,000","374,000","413,000","388,000","368,000","365,000","363,000","362,000","365,000","370,000","379,000","390,000","406,000","428,000","451,000","449,000","456,000"
東京都板橋区上板橋2-14-18,公示地価,-,-,-,"386,000","610,000","850,000","826,000","826,000","826,000","716,000","560,000","495,000","463,000","449,000","441,000","434,000","419,000","401,000","384,000","366,000","356,000","346,000","341,000","341,000","369,000","406,000","384,000","362,000","357,000","356,000","355,000","358,000","363,000","371,000","382,000","399,000","420,000","442,000","440,000","446,000"
東京都板橋区成増1-16-1,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"415,000","458,000","430,000","404,000","396,000","388,000","387,000","392,000","396,000","403,000","412,000","430,000","450,000","472,000","471,000","477,000"
