市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
葛飾区,総平均,"357,361","366,277","370,958","390,449","700,869","887,863","923,131","947,723","972,039","895,355","696,747","601,080","530,218","491,709","460,590","433,918","388,435","354,685","333,416","318,247","305,575","297,026","294,736","297,633","324,865","346,852","330,700","319,183","318,861","317,010","319,244","331,350","334,800","331,347","339,279","351,236","367,290","376,892","376,282",-
葛飾区,公示地価平均,"366,200","379,225","384,025","384,000","558,631","861,119","877,952","894,452","931,571","875,833","672,684","587,878","516,210","478,539","449,500","427,592","388,789","350,236","328,736","315,308","302,074","293,209","290,708","291,487","315,573","341,438","327,000","314,391","314,123","311,861","314,538","332,647","336,098","328,904","336,234","347,656","362,640","376,250","375,730","377,380"
葛飾区,基準地価平均,"346,312","350,093","354,625","398,354","875,225","924,096","978,941","1,013,529","1,022,029","919,470","737,088","626,705","561,529","521,147","485,382","448,058","387,593","365,250","344,531","325,687","314,437","306,687","305,000","313,096","348,896","360,482","339,758","330,586","329,482","328,551","329,793","329,068","332,517","336,655","346,000","359,137","377,551","378,310","377,482",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都葛飾区金町3-39-8,基準地価,"312,000","312,000","318,000","345,000","665,000","700,000","713,000","760,000","760,000","675,000","540,000","500,000","488,000","470,000","453,000","428,000","383,000","361,000","348,000","335,000","328,000","324,000","323,000","334,000","370,000","380,000","350,000","341,000","338,000","337,000","337,000","339,000","341,000","345,000","352,000","360,000","368,000","371,000","371,000",-
東京都葛飾区奥戸4-17-2,基準地価,"240,000","240,000","240,000","252,000","518,000","570,000","580,000","600,000","600,000","545,000","435,000","400,000","390,000","378,000","367,000","355,000","319,000","299,000","288,000","278,000","269,000","265,000","263,000","270,000","295,000","300,000","285,000","278,000","275,000","273,000","273,000","274,000","275,000","277,000","283,000","289,000","296,000","298,000","298,000",-
東京都葛飾区柴又4-17-10,基準地価,"274,000","276,000","276,000","290,000","570,000","610,000","620,000","656,000","656,000","580,000","460,000","431,000","425,000","414,000","399,000","380,000","340,000","320,000","305,000","294,000","288,000","284,000","283,000","293,000","319,000","330,000","314,000","308,000","305,000","304,000","304,000","306,000","308,000","310,000","315,000","323,000","334,000","338,000","338,000",-
東京都葛飾区東水元5-43-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"188,000","183,000","180,000","179,000","181,000","192,000","192,000","183,000","178,000","176,000","173,000","172,000","172,000","172,000","173,000","175,000","178,000","181,000","181,000","181,000",-
東京都葛飾区細田4-20-3,基準地価,"238,000","238,000","238,000","250,000","502,000","532,000","532,000","580,000","580,000","510,000","405,000","381,000","375,000","367,000","356,000","340,000","310,000","294,000","281,000","273,000","267,000","263,000","261,000","270,000","295,000","305,000","290,000","283,000","281,000","280,000","280,000","281,000","282,000","284,000","288,000","294,000","302,000","305,000","305,000",-
東京都葛飾区高砂2-28-5,基準地価,"264,000","265,000","265,000","285,000","570,000","585,000","585,000","632,000","632,000","560,000","448,000","415,000","407,000","400,000","387,000","369,000","335,000","318,000","305,000","295,000","288,000","284,000","282,000","288,000","314,000","325,000","309,000","303,000","300,000","298,000","298,000","300,000","302,000","304,000","308,000","312,000","320,000","323,000","323,000",-
東京都葛飾区西水元3-20-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"157,000","157,000","158,000","160,000","162,000","164,000","164,000","164,000",-
東京都葛飾区柴又6-29-1,基準地価,"248,000","250,000","250,000","263,000","523,000","560,000","567,000","608,000","608,000","538,000","427,000","401,000","395,000","386,000","372,000","360,000","325,000","306,000","293,000","282,000","275,000","271,000","270,000","278,000","303,000","310,000","290,000","284,000","282,000","281,000","281,000","283,000","284,000","286,000","291,000","299,000","308,000","312,000","312,000",-
東京都葛飾区青戸1-5-4,基準地価,-,-,-,-,-,-,-,-,-,-,"525,000","485,000","478,000","465,000","450,000","425,000","380,000","357,000","345,000","333,000","326,000","323,000","323,000","334,000","370,000","380,000","361,000","357,000","355,000","352,000","353,000","359,000","361,000","365,000","374,000","385,000","400,000","407,000","407,000",-
東京都葛飾区東金町3-34-1,基準地価,-,-,-,-,-,-,"700,000","715,000","715,000","640,000","510,000","475,000","466,000","452,000","436,000","412,000","367,000","342,000","330,000","320,000","314,000","310,000","309,000","324,000","362,000","377,000","355,000","346,000","343,000","342,000","343,000","345,000","347,000","349,000","354,000","363,000","371,000","375,000","376,000",-
