市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
北区,総平均,"468,606","487,389","511,813","631,175","1,160,228","1,542,400","1,549,451","1,569,564","1,596,935","1,456,774","1,224,135","1,019,925","869,218","759,091","680,747","628,954","580,662","544,240","511,626","500,114","479,052","462,989","457,138","469,763","525,215","572,476","538,719","513,575","511,493","509,558","510,342","538,764","547,455","541,960","567,435","611,294","665,730","716,987","709,141",-
北区,公示地価平均,"489,935","508,838","530,225","675,931","1,129,551","1,503,468","1,509,625","1,455,156","1,425,062","1,367,250","1,222,023","1,009,960","852,625","744,625","665,625","617,428","569,642","536,053","504,000","500,391","478,637","461,652","453,882","459,313","507,156","565,838","542,586","512,839","513,320","509,679","509,679","548,400","556,155","538,547","563,036","604,236","657,836","723,545","711,145","722,509"
北区,基準地価平均,"446,566","463,642","491,428","584,821","1,192,000","1,586,892","1,591,933","1,691,600","1,780,266","1,552,266","1,227,064","1,036,000","899,193","785,225","708,064","649,774","603,518","561,222","527,444","499,407","480,111","466,407","465,653","496,692","573,375","589,625","529,375","515,291","507,458","509,291","511,869","519,913","530,434","549,826","577,956","628,173","684,608","701,304","704,347",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都北区上十条2-17-4,基準地価,-,-,-,-,-,-,-,-,"908,000","763,000","633,000","576,000","547,000","520,000","495,000","470,000","445,000","426,000","408,000","393,000","380,000","372,000","372,000","398,000","445,000","447,000","423,000","413,000","408,000","407,000","407,000","412,000","420,000","430,000","447,000","480,000","515,000","528,000","532,000",-
東京都北区上中里1-26-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"434,000","439,000","452,000","470,000","497,000","536,000","565,000","580,000","582,000",-
東京都北区神谷2-10-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"390,000","404,000","433,000","460,000","470,000","473,000",-
東京都北区赤羽西3-35-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"347,000","354,000","364,000","378,000","403,000","428,000","438,000","435,000",-
東京都北区西が丘1-18-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"394,000","420,000","446,000","456,000","453,000",-
