市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
江東区,総平均,"430,107","445,648","460,759","538,211","1,330,277","1,828,303","1,846,344","1,945,172","1,938,482","1,623,017","1,281,014","1,080,000","809,908","651,034","574,344","536,287","496,847","457,976","429,423","410,616","405,000","403,988","406,265","415,597","480,012","528,610","493,526","469,368","458,739","453,589","455,561","473,405","484,289","492,150","522,253","552,080","597,186","631,893","629,680",-
江東区,公示地価平均,"447,040","468,640","491,400","530,083","1,074,538","1,610,250","1,702,464","1,818,571","1,846,964","1,660,892","1,247,447","1,057,636","815,037","646,981","565,185","530,629","488,888","451,796","423,166","402,818","396,018","395,090","398,301","400,452","461,411","518,760","491,306","462,938","452,565","443,956","443,673","463,023","473,619","478,195","512,916","539,562","583,708","631,208","624,875","636,437"
江東区,基準地価平均,"416,451","425,827","434,344","545,178","1,567,750","2,046,357","1,980,633","2,063,333","2,023,900","1,587,666","1,319,666","1,109,818","801,515","657,666","589,333","545,545","510,709","468,741","440,322","424,451","420,935","419,774","420,333","443,275","515,148","546,851","497,555","481,037","469,259","470,000","475,814","489,555","500,888","515,925","538,851","574,333","621,148","633,111","638,222",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都江東区東砂8-8-13,基準地価,-,-,-,-,"488,000","665,000","665,000","690,000","690,000","510,000","459,000","404,000","364,000","340,000","325,000","315,000","305,000","296,000","294,000","292,000","291,000","291,000","291,000","301,000","330,000","340,000","316,000","307,000","302,000","300,000","300,000","307,000","314,000","322,000","332,000","346,000","372,000","381,000","381,000",-
東京都江東区住吉2-27-2,基準地価,-,-,-,-,-,-,-,-,-,-,"874,000","720,000","590,000","525,000","490,000","464,000","430,000","415,000","400,000","395,000","395,000","395,000","395,000","408,000","447,000","467,000","432,000","420,000","412,000","412,000","415,000","426,000","436,000","450,000","472,000","500,000","540,000","547,000","551,000",-
東京都江東区大島5-28-18,基準地価,-,-,-,-,-,-,-,"860,000","850,000","720,000","625,000","563,000","495,000","430,000","405,000","389,000","372,000","354,000","340,000","335,000","335,000","335,000","335,000","343,000","376,000","385,000","356,000","349,000","344,000","344,000","349,000","357,000","365,000","374,000","387,000","408,000","422,000","422,000","425,000",-
東京都江東区南砂2-16-6,基準地価,-,-,-,-,-,-,-,"860,000","850,000","680,000","592,000","500,000","435,000","390,000","370,000","355,000","340,000","326,000","323,000","318,000","316,000","316,000","316,000","326,000","357,000","366,000","340,000","332,000","326,000","326,000","329,000","338,000","346,000","355,000","367,000","388,000","417,000","427,000","427,000",-
東京都江東区南砂3-8-26,基準地価,-,-,-,-,-,-,-,-,-,-,"616,000","540,000","470,000","430,000","400,000","380,000","365,000","350,000","343,000","342,000","341,000","341,000","341,000","352,000","390,000","401,000","372,000","365,000","360,000","358,000","360,000","370,000","379,000","388,000","402,000","425,000","455,000","466,000","467,000",-
東京都江東区有明1-3-17,基準地価,-,-,-,-,-,-,"1,900,000","2,050,000","2,050,000","1,600,000","1,360,000","900,000","545,000","456,000","430,000","410,000","385,000","350,000","335,000","335,000","338,000","341,000","345,000","400,000","492,000","537,000","499,000","484,000","463,000","482,000","492,000","520,000","534,000","550,000","567,000","600,000","654,000","672,000","695,000",-
東京都江東区大島3-3-7,基準地価,-,-,-,-,-,"1,070,000","1,090,000","1,100,000","1,050,000","820,000","730,000","640,000","486,000","440,000","415,000","394,000","360,000","338,000","334,000","330,000","328,000","327,000","327,000","335,000","370,000","385,000","350,000","342,000","337,000","337,000","342,000","350,000","358,000","367,000","379,000","400,000","422,000","425,000","428,000",-
東京都江東区東陽5-26-7,基準地価,-,-,-,-,"1,730,000","2,160,000","2,030,000","2,030,000","2,000,000","1,440,000","1,250,000","1,080,000","790,000","632,000","572,000","553,000","505,000","450,000","414,000","394,000","388,000","385,000","385,000","407,000","480,000","507,000","463,000","441,000","429,000","429,000","432,000","443,000","455,000","472,000","495,000","535,000","580,000","588,000","597,000",-
東京都江東区猿江2-9-4,基準地価,-,-,-,-,-,-,"1,560,000","1,580,000","1,550,000","1,230,000","1,060,000","900,000","702,000","610,000","570,000","534,000","500,000","480,000","460,000","444,000","435,000","433,000","432,000","450,000","504,000","528,000","488,000","474,000","462,000","462,000","465,000","476,000","486,000","500,000","524,000","551,000","580,000","587,000","591,000",-
東京都江東区南砂1-3-17,基準地価,-,-,-,-,-,-,-,-,-,-,"908,000","780,000","593,000","500,000","450,000","420,000","399,000","380,000","370,000","364,000","359,000","356,000","355,000","365,000","404,000","418,000","383,000","370,000","360,000","360,000","362,000","372,000","381,000","390,000","404,000","424,000","448,000","456,000","456,000",-
東京都江東区東砂3-16-27,基準地価,-,-,-,-,-,-,-,"1,380,000","1,380,000","1,100,000","975,000","900,000","650,000","585,000","538,000","510,000","482,000","420,000","386,000","365,000","358,000","355,000","355,000","367,000","420,000","440,000","402,000","390,000","382,000","382,000","382,000","392,000","400,000","412,000","425,000","441,000","458,000","459,000","461,000",-
東京都江東区亀戸7-3-5,基準地価,-,-,-,-,-,-,"1,050,000","1,090,000","1,090,000","910,000","780,000","700,000","530,000","490,000","436,000","414,000","392,000","372,000","360,000","351,000","348,000","348,000","348,000","360,000","395,000","406,000","370,000","360,000","352,000","352,000","354,000","362,000","370,000","379,000","393,000","410,000","439,000","445,000","446,000",-
東京都江東区永代2-21-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"460,000","472,000","483,000","495,000","517,000","543,000","573,000","579,000","586,000",-
東京都江東区東雲2-6-19,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"570,000","589,000","603,000","620,000","639,000","669,000","715,000","726,000","740,000",-
東京都江東区亀戸7-41-11,基準地価,-,-,-,-,"2,300,000","2,300,000","2,300,000","2,350,000","2,350,000","1,900,000","1,670,000","1,400,000","1,000,000","800,000","688,000","625,000","552,000","500,000","455,000","434,000","431,000","429,000","429,000","445,000","530,000","562,000","510,000","495,000","485,000","485,000","486,000","498,000","509,000","523,000","546,000","585,000","642,000","660,000","663,000",-
東京都江東区亀戸2-28-2,基準地価,-,-,-,-,-,-,-,"2,440,000","2,440,000","1,800,000","1,550,000","1,360,000","1,050,000","800,000","700,000","632,000","560,000","515,000","479,000","457,000","455,000","454,000","454,000","473,000","565,000","603,000","545,000","524,000","513,000","512,000","517,000","530,000","542,000","558,000","587,000","619,000","668,000","680,000","685,000",-
東京都江東区大島1-33-15,基準地価,"570,000","576,000","582,000","693,000","1,870,000","2,140,000","2,200,000","2,310,000","2,250,000","1,910,000","1,670,000","1,470,000","1,100,000","880,000","774,000","735,000","645,000","580,000","528,000","498,000","496,000","492,000","491,000","506,000","613,000","650,000","580,000","560,000","545,000","544,000","553,000","565,000","577,000","595,000","625,000","669,000","735,000","749,000","755,000",-
東京都江東区北砂4-24-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"610,000","570,000","527,000","487,000","455,000","455,000","455,000","455,000","460,000","541,000","569,000","516,000","490,000","480,000","479,000","485,000","495,000","502,000","510,000","525,000","547,000","570,000","580,000","580,000",-
東京都江東区門前仲町2-5-11,基準地価,"1,130,000","1,180,000","1,280,000","2,300,000","6,330,000","7,770,000","7,850,000","7,850,000","7,440,000","5,400,000","4,590,000","3,870,000","2,420,000","1,870,000","1,630,000","1,410,000","1,310,000","1,200,000","1,080,000","1,020,000","1,020,000","1,020,000","1,030,000","1,130,000","1,430,000","1,560,000","1,400,000","1,350,000","1,320,000","1,310,000","1,330,000","1,370,000","1,410,000","1,470,000","1,560,000","1,720,000","1,950,000","2,000,000","2,020,000",-
東京都江東区亀戸4-17-26,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"430,000","439,000","451,000","468,000","496,000","527,000","536,000","536,000",-
東京都江東区扇橋3-15-10,基準地価,-,-,-,-,-,-,-,"2,010,000","2,000,000","1,600,000","1,330,000","1,150,000","874,000","700,000","602,000","545,000","522,000","490,000","465,000","446,000","435,000","432,000","432,000","446,000","530,000","562,000","506,000","488,000","475,000","474,000","475,000","490,000","502,000","514,000","534,000","566,000","605,000","615,000","616,000",-
東京都江東区亀戸1-8-4,基準地価,-,-,-,-,-,-,"3,060,000","3,200,000","3,200,000","2,550,000","2,130,000","1,670,000","1,210,000","900,000","780,000","707,000","625,000","554,000","505,000","485,000","484,000","484,000","484,000","510,000","640,000","703,000","630,000","607,000","590,000","590,000","605,000","620,000","634,000","653,000","686,000","741,000","815,000","840,000","845,000",-
東京都江東区亀戸2-7-7,基準地価,-,-,-,-,-,-,"2,330,000","2,330,000","2,200,000","1,620,000","1,450,000","1,280,000","980,000","755,000","655,000","603,000","543,000","491,000","455,000","434,000","431,000","429,000","429,000","441,000","525,000","559,000","503,000","485,000","473,000","473,000","476,000","488,000","499,000","514,000","540,000","578,000","635,000","650,000","650,000",-
東京都江東区東陽5-16-3,基準地価,-,-,-,-,-,-,-,"2,600,000","2,580,000","1,830,000","1,600,000","1,360,000","1,020,000","760,000","646,000","584,000","540,000","470,000","423,000","402,000","401,000","400,000","400,000","416,000","485,000","512,000","460,000","442,000","435,000","434,000","440,000","450,000","459,000","472,000","492,000","516,000","544,000","551,000","554,000",-
東京都江東区富岡1-26-13,基準地価,-,-,-,-,"4,600,000","5,760,000","5,580,000","5,800,000","5,700,000","4,100,000","3,560,000","3,200,000","2,000,000","1,530,000","1,300,000","1,130,000","1,020,000","920,000","837,000","778,000","762,000","760,000","760,000","820,000","1,000,000","1,080,000","960,000","923,000","900,000","900,000","914,000","937,000","958,000","988,000","1,040,000","1,150,000","1,290,000","1,320,000","1,330,000",-
東京都江東区新砂2-3-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"320,000","320,000","335,000","350,000","370,000","345,000","336,000","326,000","325,000","330,000","337,000","344,000","358,000","378,000","400,000","420,000","430,000","435,000",-
東京都江東区新木場四丁目12番12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"230,000","220,000","220,000","220,000","220,000","220,000","226,000","250,000","265,000","248,000","241,000","228,000","227,000","230,000","234,000","239,000","250,000","265,000","280,000","295,000","303,000","312,000",-
東京都江東区北砂5-5-6,公示地価,-,-,-,-,-,-,-,-,"800,000","675,000","545,000","490,000","445,000","396,000","373,000","364,000","343,000","328,000","317,000","309,000","306,000","304,000","303,000","305,000","323,000","341,000","326,000","311,000","307,000","303,000","303,000","309,000","315,000","321,000","328,000","340,000","359,000","380,000","377,000","383,000"
東京都江東区亀戸3-32-11,公示地価,"274,000","282,000","287,000","297,000","364,000","514,000","535,000","560,000","575,000","545,000","485,000","435,000","404,000","370,000","355,000","346,000","326,000","309,000","300,000","295,000","293,000","292,000","292,000","292,000","310,000","328,000","314,000","296,000","292,000","287,000","286,000","292,000","297,000","302,000","308,000","318,000","336,000","356,000","355,000","360,000"
東京都江東区東砂2-9-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"303,000","309,000","315,000","327,000","346,000","367,000","365,000","371,000"
東京都江東区東陽1-33-6,公示地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"453,000","464,000","477,000","498,000","531,000","565,000","562,000","571,000"
東京都江東区大島6-21-2,公示地価,-,-,-,-,-,-,-,-,-,-,-,"525,000","482,000","430,000","405,000","394,000","371,000","351,000","340,000","331,000","326,000","324,000","324,000","324,000","348,000","370,000","356,000","341,000","337,000","332,000","331,000","337,000","343,000","350,000","358,000","371,000","389,000","410,000","407,000","413,000"
東京都江東区亀戸5-36-3,公示地価,"300,000","308,000","314,000","323,000","368,000","650,000","678,000","700,000","700,000","679,000","600,000","525,000","485,000","430,000","407,000","397,000","373,000","355,000","343,000","334,000","330,000","329,000","329,000","332,000","356,000","379,000","361,000","346,000","343,000","338,000","337,000","344,000","350,000","359,000","370,000","389,000","410,000","436,000","434,000","440,000"
東京都江東区南砂2-16-6,公示地価,-,-,-,-,-,"850,000","850,000","850,000","860,000","765,000","610,000","545,000","470,000","410,000","375,000","365,000","346,000","331,000","325,000","320,000","317,000","316,000","316,000","317,000","340,000","363,000","347,000","334,000","331,000","326,000","326,000","334,000","342,000","351,000","360,000","375,000","400,000","428,000","425,000","432,000"
