市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
目黒区,総平均,"767,409","841,636","965,931","1,441,250","3,081,020","3,284,897","3,200,392","3,198,431","3,181,960","2,656,470","1,963,531","1,494,436","1,229,210","1,040,526","931,565","878,486","820,638","774,638","748,833","750,474","738,641","738,205","743,947","795,184","962,616","1,095,388","1,000,500","930,092","888,758","873,629","879,677","969,480","1,001,960","1,000,887","1,073,348","1,123,424","1,188,590","1,246,848","1,245,848",-
目黒区,公示地価平均,"687,680","752,440","845,080","1,128,200","2,672,333","2,945,000","2,822,333","2,810,000","2,827,000","2,397,000","1,806,190","1,432,244","1,204,907","1,024,907","913,796","860,333","813,407","772,037","744,518","751,450","739,400","739,950","742,372","786,220","942,421","1,105,785","1,020,800","942,122","895,173","879,043","883,456","1,004,500","1,034,176","1,002,217","1,080,160","1,131,120","1,195,400","1,266,240","1,263,840","1,269,980"
目黒区,基準地価平均,"872,315","959,000","1,124,947","1,853,157","3,726,315","3,821,578","3,740,476","3,753,333","3,689,047","3,027,142","2,263,909","1,632,954","1,288,863","1,078,863","975,181","923,045","842,333","782,444","761,777","747,222","736,111","732,388","749,411","826,294","1,034,562","1,059,000","937,062","893,250","870,312","858,062","868,812","895,062","933,500","997,062","1,052,062","1,099,375","1,167,312","1,186,250","1,189,625",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都目黒区自由が丘2-18-26,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"875,000","864,000","864,000","875,000","903,000","931,000","1,010,000","1,070,000","1,090,000","1,110,000","1,120,000","1,120,000",-
東京都目黒区下目黒3-5-22,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"637,000","669,000","695,000","722,000","737,000","752,000",-
東京都目黒区碑文谷1-12-20,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"600,000","580,000","570,000","560,000","555,000","552,000","557,000","593,000","700,000","698,000","625,000","600,000","592,000","591,000","594,000","606,000","624,000","657,000","687,000","710,000","733,000","740,000","745,000",-
東京都目黒区碑文谷6-8-12,基準地価,-,-,-,"1,060,000","1,800,000","1,760,000","1,660,000","1,660,000","1,580,000","1,180,000","890,000","760,000","710,000","680,000","655,000","645,000","629,000","615,000","610,000","610,000","610,000","610,000","620,000","663,000","782,000","775,000","695,000","660,000","653,000","653,000","660,000","680,000","700,000","744,000","785,000","810,000","840,000","850,000","850,000",-
東京都目黒区祐天寺1-25-4,基準地価,-,-,-,-,-,-,"1,460,000","1,460,000","1,400,000","1,090,000","820,000","710,000","690,000","655,000","630,000","620,000","600,000","588,000","580,000","575,000","570,000","569,000","576,000","630,000","750,000","745,000","660,000","620,000","615,000","615,000","620,000","636,000","668,000","710,000","747,000","775,000","803,000","817,000","818,000",-
東京都目黒区駒場2-15-7,基準地価,"460,000","479,000","527,000","850,000","1,570,000","1,540,000","1,480,000","1,480,000","1,420,000","1,050,000","830,000","735,000","680,000","640,000","630,000","620,000","605,000","593,000","587,000","583,000","579,000","578,000","582,000","639,000","748,000","745,000","667,000","640,000","635,000","635,000","640,000","655,000","687,000","731,000","761,000","805,000","852,000","870,000","878,000",-
東京都目黒区緑が丘2-3-2,基準地価,-,-,-,-,"2,100,000","2,050,000","1,870,000","1,870,000","1,770,000","1,260,000","930,000","780,000","702,000","670,000","648,000","638,000","606,000","591,000","586,000","580,000","575,000","572,000","580,000","620,000","740,000","735,000","650,000","620,000","615,000","615,000","620,000","635,000","667,000","705,000","744,000","773,000","800,000","815,000","830,000",-
東京都目黒区東が丘2-13-20,基準地価,-,"488,000","545,000","850,000","1,450,000","1,450,000","1,400,000","1,400,000","1,330,000","1,130,000","850,000","720,000","670,000","630,000","610,000","599,000","589,000","577,000","566,000","563,000","560,000","559,000","567,000","616,000","728,000","714,000","633,000","600,000","596,000","596,000","600,000","615,000","634,000","666,000","697,000","725,000","748,000","762,000","769,000",-
東京都目黒区原町1-23-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"515,000","513,000","520,000","558,000","680,000","660,000","588,000","565,000","563,000","563,000","570,000","587,000","605,000","635,000","663,000","687,000","711,000","715,000","723,000",-
