市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
港区,総平均,"1,647,540","2,057,934","3,659,754","7,657,940","11,954,642","11,910,823","11,805,529","12,030,823","11,739,647","10,183,604","6,925,816","4,446,355","3,079,956","2,358,184","2,096,105","2,013,710","1,879,857","1,777,192","1,742,903","1,954,347","1,935,884","1,925,166","1,969,400","2,310,895","3,025,687","3,563,317","3,089,193","2,686,172","2,546,241","2,475,215","2,476,491","2,691,000","2,891,194","3,065,478","3,282,508","3,508,118","3,810,516","4,149,616","4,110,785",-
港区,公示地価平均,"1,481,093","1,777,781","3,038,812","6,126,970","10,765,882","11,502,571","11,272,285","11,482,000","11,476,285","10,264,166","6,829,583","4,481,403","2,996,062","2,293,015","1,983,000","1,899,750","1,774,750","1,661,738","1,618,738","1,960,939","1,940,171","1,917,101","1,931,412","2,244,427","2,923,891","3,618,533","3,205,681","2,733,523","2,586,712","2,497,437","2,479,287","2,733,283","2,910,716","2,939,113","3,143,036","3,345,402","3,611,975","4,047,926","3,997,349","4,016,024"
港区,基準地価平均,"1,831,206","2,367,068","4,344,931","8,699,000","12,763,000","12,196,600","12,178,800","12,415,000","11,924,000","10,125,600","7,018,200","4,406,400","3,187,340","2,441,600","2,240,880","2,159,580","2,043,926","1,969,615","1,949,846","1,937,615","1,925,000","1,945,641","2,066,368","2,478,815","3,285,833","3,425,277","2,804,444","2,573,055","2,456,305","2,425,833","2,470,277","2,612,305","2,854,861","3,342,777","3,600,194","3,878,750","4,238,947","4,369,052","4,358,552",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都港区高輪3-5-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000,000","1,180,000","1,110,000","1,000,000","980,000","970,000","970,000","990,000","1,040,000","1,080,000","1,120,000","1,170,000","1,220,000","1,300,000","1,320,000","1,340,000",-
東京都港区白金台5-5-14,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,350,000","1,380,000","1,410,000",-
東京都港区西麻布3-15-8,基準地価,-,-,-,-,"7,000,000","6,300,000","5,820,000","5,400,000","5,000,000","3,300,000","2,400,000","1,600,000","1,250,000","1,050,000","995,000","975,000","936,000","920,000","930,000","930,000","930,000","960,000","1,030,000","1,270,000","1,600,000","1,610,000","1,400,000","1,340,000","1,310,000","1,300,000","1,330,000","1,410,000","1,480,000","1,550,000","1,610,000","1,680,000","1,750,000","1,770,000","1,790,000",-
東京都港区南青山4-26-18,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"890,000","965,000","1,230,000","1,580,000","1,580,000","1,400,000","1,300,000","1,250,000","1,250,000","1,300,000","1,360,000","1,470,000","1,570,000","1,650,000","1,740,000","1,840,000","1,890,000","1,910,000",-
東京都港区南青山7-13-5,基準地価,-,-,-,-,-,-,-,"5,350,000","4,900,000","3,350,000","2,350,000","1,550,000","1,200,000","1,000,000","960,000","940,000","900,000","890,000","890,000","890,000","890,000","920,000","978,000","1,210,000","1,550,000","1,530,000","1,320,000","1,220,000","1,180,000","1,170,000","1,190,000","1,250,000","1,310,000","1,370,000","1,420,000","1,500,000","1,590,000","1,610,000","1,630,000",-
東京都港区六本木5-13-1,基準地価,-,-,-,-,-,-,"6,720,000","6,690,000","6,180,000","4,620,000","3,250,000","2,200,000","1,720,000","1,370,000","1,310,000","1,280,000","1,240,000","1,220,000","1,240,000","1,240,000","1,240,000","1,250,000","1,320,000","1,650,000","2,050,000","2,050,000","1,750,000","1,600,000","1,550,000","1,550,000","1,640,000","1,760,000","1,830,000","1,960,000","2,040,000","2,120,000","2,250,000","2,270,000","2,290,000",-
