市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
中野区,総平均,"559,854","582,849","625,433","967,777","1,806,118","2,068,474","1,930,500","1,939,666","1,900,583","1,638,983","1,296,095","998,426","865,252","742,126","696,816","680,057","657,880","634,059","617,616","609,890","596,373","587,736","589,386","601,298","670,690","759,385","699,935","650,720","650,902","644,535","643,901","682,281","700,640","700,028","731,635","775,918","833,256","886,702","887,716",-
中野区,公示地価平均,"555,500","584,633","626,000","824,451","1,670,833","2,044,166","1,894,722","1,901,388","1,887,083","1,649,388","1,337,520","992,350","861,967","732,354","679,370","662,193","639,016","614,774","597,390","596,318","583,594","574,478","572,716","581,681","639,777","745,000","697,321","641,277","646,058","638,900","634,520","682,744","698,883","686,220","717,320","758,679","812,547","876,905","874,245","895,226"
中野区,基準地価平均,"565,080","580,521","624,695","1,160,956","2,017,869","2,106,521","1,984,166","1,997,083","1,920,833","1,623,375","1,216,560","1,012,280","873,400","766,360","740,080","724,360","711,045","688,409","676,454","652,454","636,454","629,318","642,571","662,952","763,428","801,857","706,904","675,000","662,666","657,952","666,238","681,333","704,238","732,904","767,761","819,428","885,523","911,428","921,714",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都中野区鷺宮3-28-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"410,000","414,000","419,000","424,000","430,000","440,000","454,000","475,000","480,000","480,000",-
東京都中野区大和町1-36-12,基準地価,-,-,-,-,-,"1,110,000","970,000","970,000","910,000","730,000","584,000","520,000","480,000","444,000","440,000","440,000","431,000","427,000","425,000","420,000","413,000","411,000","411,000","416,000","457,000","467,000","420,000","404,000","403,000","402,000","405,000","410,000","418,000","431,000","453,000","478,000","502,000","511,000","515,000",-
東京都中野区江原町3-24-2,基準地価,-,-,-,-,"1,200,000","1,080,000","1,000,000","1,000,000","950,000","760,000","565,000","500,000","460,000","442,000","440,000","450,000","450,000","450,000","450,000","441,000","436,000","435,000","435,000","445,000","485,000","495,000","440,000","423,000","418,000","416,000","419,000","424,000","430,000","441,000","454,000","469,000","491,000","498,000","502,000",-
東京都中野区上高田4-34-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"443,000","441,000","443,000","447,000","488,000","498,000","443,000","426,000","421,000","419,000","423,000","428,000","433,000","444,000","455,000","476,000","493,000","500,000","508,000",-
東京都中野区本町6-22-5,基準地価,-,-,-,-,"1,450,000","1,350,000","1,250,000","1,250,000","1,200,000","990,000","710,000","620,000","580,000","545,000","545,000","537,000","521,000","513,000","513,000","508,000","503,000","501,000","501,000","518,000","585,000","595,000","529,000","498,000","490,000","488,000","493,000","499,000","510,000","525,000","540,000","558,000","585,000","597,000","603,000",-
東京都中野区南台3-37-7,基準地価,-,-,-,-,-,-,"1,110,000","1,110,000","1,050,000","860,000","635,000","565,000","520,000","489,000","480,000","470,000","458,000","448,000","448,000","440,000","436,000","434,000","434,000","446,000","492,000","505,000","455,000","435,000","430,000","426,000","430,000","439,000","451,000","468,000","483,000","500,000","526,000","535,000","536,000",-
東京都中野区中央3-3-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"572,000","590,000","608,000","629,000","660,000","677,000","677,000",-
東京都中野区中央1-30-23,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"661,000","696,000","734,000","749,000","753,000",-
東京都中野区東中野4-12-18,基準地価,-,-,-,-,"1,750,000","1,550,000","1,370,000","1,370,000","1,300,000","1,000,000","780,000","686,000","620,000","580,000","575,000","575,000","543,000","535,000","533,000","515,000","513,000","511,000","516,000","526,000","606,000","620,000","554,000","534,000","530,000","527,000","530,000","537,000","551,000","570,000","593,000","620,000","649,000","662,000","675,000",-
東京都中野区沼袋2-23-11,基準地価,-,-,-,-,-,-,-,"1,000,000","940,000","765,000","570,000","540,000","510,000","485,000","485,000","485,000","475,000","470,000","456,000","449,000","443,000","438,000","438,000","446,000","498,000","503,000","442,000","424,000","417,000","415,000","416,000","421,000","426,000","436,000","447,000","462,000","474,000","479,000","479,000",-
東京都中野区新井2-8-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"524,000","529,000","550,000","575,000","602,000","632,000","648,000","661,000",-
東京都中野区鷺宮3-19-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"800,000","784,000","755,000","725,000","702,000","702,000","723,000","825,000","866,000","740,000","700,000","686,000","672,000","672,000","680,000","690,000","713,000","735,000","765,000","796,000","793,000","793,000",-
東京都中野区鷺宮3-1-16,基準地価,"632,000","645,000","660,000","990,000","1,880,000","1,880,000","1,760,000","1,790,000","1,700,000","1,510,000","1,150,000","1,030,000","970,000","834,000","796,000","748,000","688,000","674,000","661,000","640,000","626,000","616,000","616,000","635,000","700,000","735,000","630,000","595,000","583,000","577,000","579,000","585,000","594,000","603,000","625,000","649,000","674,000","677,000","677,000",-
