市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
練馬区,総平均,"321,060","330,273","338,609","381,230","770,046","1,003,088","942,137","952,789","939,891","792,572","643,226","567,940","524,035","498,075","475,940","459,415","429,329","403,489","383,793","374,655","366,960","362,065","360,948","365,030","398,491","437,065","395,796","379,742","379,572","377,610","377,849","395,285","399,353","398,232","409,257","423,893","440,779","452,968","449,937",-
練馬区,公示地価平均,"303,527","311,378","319,378","338,444","612,202","999,543","912,691","917,098","915,148","794,617","623,373","554,832","511,115","487,942","466,640","452,302","424,575","400,194","379,741","371,551","363,241","357,820","356,503","358,993","386,253","431,770","394,967","376,245","377,463","375,145","375,081","396,809","401,357","394,236","404,590","418,763","435,136","451,181","446,363","452,245"
練馬区,基準地価平均,"343,050","356,166","364,962","438,277","986,351","1,008,407","983,982","1,003,508","975,052","789,666","678,049","594,803","553,475","521,163","496,460","475,111","441,345","411,818","394,036","382,836","376,763","373,254","372,943","381,960","432,959","451,653","397,877","388,163","384,306","383,142","384,061","392,673","395,918","407,204","419,734","435,408","453,448","456,979","457,959",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都練馬区旭丘2-22-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"404,000","410,000","421,000","435,000","454,000","481,000","488,000","491,000",-
東京都練馬区関町南3-30-5,基準地価,"275,000","282,000","289,000","341,000","800,000","850,000","795,000","795,000","790,000","646,000","536,000","482,000","458,000","440,000","432,000","418,000","392,000","376,000","362,000","353,000","346,000","344,000","344,000","354,000","392,000","407,000","356,000","347,000","344,000","343,000","344,000","351,000","355,000","360,000","367,000","376,000","385,000","386,000","387,000",-
東京都練馬区羽沢2-29-4,基準地価,"320,000","323,000","332,000","380,000","874,000","891,000","855,000","885,000","841,000","669,000","562,000","497,000","478,000","467,000","456,000","442,000","422,000","396,000","380,000","367,000","357,000","353,000","353,000","362,000","407,000","423,000","373,000","365,000","363,000","363,000","365,000","375,000","382,000","393,000","406,000","425,000","444,000","450,000","453,000",-
東京都練馬区桜台5-36-25,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"377,000","383,000","393,000","405,000","422,000","439,000","444,000","446,000",-
東京都練馬区貫井3-29-21,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"408,000","410,000",-
