市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
大田区,総平均,"500,388","529,901","583,500","806,844","1,649,853","1,861,266","1,792,062","1,821,339","1,854,276","1,549,267","1,121,414","888,668","776,975","707,530","617,437","571,785","541,559","505,291","481,770","470,071","463,059","459,886","459,402","467,229","525,006","569,390","527,813","499,112","494,147","488,941","497,176","524,811","536,564","545,000","567,802","586,880","609,746","633,852","632,267",-
大田区,公示地価平均,"534,886","569,773","619,377","776,407","1,625,150","2,050,733","1,939,316","1,979,000","2,048,033","1,777,316","1,243,675","936,500","799,091","726,706","637,678","588,927","555,727","515,890","490,572","478,239","470,991","467,452","467,460","471,982","526,363","584,130","546,594","513,479","509,239","503,032","513,097","551,534","563,369","560,989","586,989","606,122","627,693","658,908","655,387","663,163"
大田区,基準地価平均,"463,820","486,775","544,693","840,387","1,680,102","1,629,265","1,622,153","1,639,423","1,630,711","1,286,134","943,581","805,181","733,145","669,527","579,396","539,275","511,000","482,431","462,784","451,333","444,862","442,529","440,489","455,702","521,613","533,545","484,704","467,113","462,590","459,477","463,886","480,477","492,090","511,568","525,068","544,022","569,772","578,045","580,772",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都大田区北千束1-39-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"550,000","566,000","600,000","624,000","640,000","655,000","660,000","664,000",-
東京都大田区西嶺町16-13,基準地価,-,"424,000","484,000","714,000","1,600,000","1,510,000","1,320,000","1,320,000","1,240,000","930,000","738,000","660,000","633,000","592,000","535,000","510,000","480,000","450,000","437,000","424,000","420,000","418,000","418,000","432,000","495,000","495,000","441,000","424,000","421,000","416,000","419,000","426,000","434,000","445,000","455,000","468,000","481,000","483,000","485,000",-
東京都大田区下丸子1-9-21,基準地価,-,-,"410,000","580,000","1,100,000","1,030,000","950,000","950,000","925,000","753,000","600,000","567,000","550,000","530,000","495,000","470,000","450,000","420,000","407,000","395,000","390,000","388,000","388,000","397,000","434,000","434,000","389,000","378,000","376,000","374,000","376,000","381,000","386,000","397,000","408,000","421,000","438,000","442,000","444,000",-
東京都大田区上池台4-25-4,基準地価,"403,000","410,000","428,000","663,000","1,450,000","1,370,000","1,230,000","1,230,000","1,150,000","870,000","710,000","647,000","614,000","584,000","537,000","510,000","485,000","470,000","455,000","451,000","446,000","446,000","446,000","462,000","530,000","530,000","477,000","457,000","453,000","450,000","451,000","461,000","470,000","485,000","499,000","515,000","526,000","528,000","530,000",-
東京都大田区田園調布4-27-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"668,000","673,000","670,000","665,000",-
東京都大田区蒲田3-3-14,基準地価,-,"395,000","417,000","552,000","965,000","1,020,000","980,000","990,000","970,000","760,000","597,000","565,000","545,000","530,000","482,000","459,000","429,000","400,000","397,000","390,000","381,000","376,000","375,000","384,000","430,000","440,000","396,000","386,000","384,000","384,000","387,000","394,000","401,000","417,000","431,000","446,000","465,000","468,000","468,000",-
東京都大田区山王1-35-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"480,000","484,000","494,000","506,000","521,000","542,000","564,000","587,000","596,000","596,000",-
東京都大田区西馬込2-25-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"408,000","395,000","395,000","395,000","395,000","395,000","407,000","460,000","470,000","420,000","403,000","401,000","399,000","399,000","408,000","420,000","437,000","450,000","465,000","479,000","487,000","490,000",-
東京都大田区南馬込1-48-8,基準地価,"363,000","375,000","416,000","574,000","1,210,000","1,210,000","1,050,000","1,050,000","998,000","780,000","620,000","570,000","550,000","528,000","480,000","460,000","440,000","415,000","400,000","395,000","395,000","395,000","395,000","407,000","460,000","470,000","420,000","404,000","402,000","400,000","400,000","407,000","417,000","430,000","442,000","456,000","470,000","477,000","480,000",-
東京都大田区田園調布5-53-15,基準地価,"333,000","363,000","393,000","635,000","1,420,000","1,340,000","1,200,000","1,200,000","1,120,000","850,000","680,000","612,000","575,000","485,000","450,000","430,000","410,000","400,000","400,000","400,000","400,000","400,000","400,000","412,000","467,000","474,000","421,000","405,000","398,000","393,000","390,000","394,000","398,000","406,000","410,000","421,000","431,000","418,000","418,000",-
東京都大田区久が原4-42-4,基準地価,-,-,-,-,-,-,"1,500,000","1,500,000","1,400,000","1,020,000","810,000","745,000","713,000","667,000","610,000","570,000","536,000","512,000","492,000","488,000","484,000","482,000","482,000","500,000","580,000","580,000","500,000","475,000","466,000","461,000","465,000","474,000","483,000","495,000","506,000","524,000","535,000","535,000","535,000",-
