市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
世田谷区,総平均,"443,400","463,374","506,815","721,827","1,472,815","1,616,958","1,525,146","1,530,192","1,506,683","1,208,819","916,058","770,434","701,722","647,914","621,567","604,510","575,291","553,451","541,506","535,135","526,811","522,438","524,567","544,919","624,995","687,152","612,569","575,639","568,437","562,706","565,139","586,836","597,309","604,110","628,519","660,196","696,803","724,838","722,073",-
世田谷区,公示地価平均,"441,404","456,585","488,393","587,475","1,245,556","1,599,811","1,482,287","1,473,643","1,463,009","1,204,237","918,945","765,861","700,934","644,331","618,278","602,911","573,786","550,420","538,218","533,000","524,909","520,494","520,773","532,029","605,542","684,672","618,270","573,606","566,842","559,550","560,900","587,581","597,845","597,820","621,888","652,993","690,153","724,748","719,776","727,538"
世田谷区,基準地価平均,"446,042","472,623","531,913","881,492","1,762,652","1,642,057","1,582,105","1,605,342","1,564,723","1,214,907","911,157","779,578","703,473","655,881","628,881","608,065","579,029","560,985","549,676","540,661","531,735","527,470","534,454","580,111","677,934","693,737","598,081","580,639","572,098","569,950","574,868","585,491","596,344","618,442","644,065","677,081","712,393","725,049","727,459",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都世田谷区赤堤3-9-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"553,000","550,000","552,000","610,000","685,000","700,000","600,000","580,000","570,000","567,000","572,000","580,000","588,000","600,000","618,000","643,000","660,000","662,000","650,000",-
東京都世田谷区世田谷1-36-19,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"525,000","513,000","507,000","493,000","482,000","480,000","480,000","509,000","581,000","587,000","509,000","494,000","490,000","487,000","489,000","497,000","504,000","519,000","537,000","560,000","596,000","614,000","614,000",-
東京都世田谷区桜新町1-9-23,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"610,000","640,000","685,000","698,000","710,000","719,000",-
東京都世田谷区中町1-20-17,基準地価,-,-,-,-,-,-,-,-,"1,480,000","1,090,000","763,000","671,000","640,000","613,000","613,000","605,000","575,000","560,000","547,000","538,000","535,000","534,000","538,000","596,000","698,000","701,000","610,000","592,000","586,000","582,000","583,000","594,000","604,000","628,000","639,000","649,000","670,000","676,000","676,000",-
東京都世田谷区駒沢2-25-12,基準地価,"362,000","380,000","418,000","801,000","1,370,000","1,280,000","1,190,000","1,190,000","1,160,000","880,000","670,000","620,000","590,000","571,000","566,000","549,000","530,000","520,000","514,000","509,000","504,000","502,000","504,000","557,000","638,000","649,000","557,000","542,000","537,000","533,000","535,000","544,000","553,000","572,000","595,000","625,000","664,000","676,000","676,000",-
東京都世田谷区代田3-50-19,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"566,000","575,000","585,000","603,000","620,000","639,000","656,000","665,000","665,000",-
東京都世田谷区梅丘1-60-17,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"577,000","586,000","605,000","623,000","648,000","670,000","681,000","683,000",-
東京都世田谷区豪徳寺1-53-8,基準地価,"371,000","380,000","430,000","842,000","1,530,000","1,380,000","1,250,000","1,250,000","1,180,000","892,000","710,000","634,000","602,000","583,000","573,000","552,000","536,000","530,000","517,000","508,000","503,000","502,000","502,000","534,000","596,000","610,000","520,000","500,000","490,000","488,000","493,000","502,000","511,000","527,000","545,000","578,000","613,000","630,000","636,000",-
東京都世田谷区経堂1-5-16,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"525,000","526,000","572,000","662,000","662,000","560,000","540,000","534,000","530,000","534,000","544,000","553,000","570,000","587,000","611,000","634,000","647,000","654,000",-
東京都世田谷区赤堤1-30-13,基準地価,"418,000","428,000","490,000","950,000","2,000,000","1,770,000","1,500,000","1,500,000","1,350,000","1,040,000","800,000","722,000","683,000","660,000","650,000","633,000","606,000","590,000","581,000","568,000","557,000","554,000","558,000","618,000","695,000","708,000","610,000","592,000","585,000","582,000","587,000","598,000","608,000","627,000","650,000","675,000","687,000","687,000","686,000",-
東京都世田谷区代田2-23-16,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"646,000","657,000","667,000","681,000","698,000","715,000","735,000","754,000","754,000",-
東京都世田谷区北沢5-14-14,基準地価,"370,000","378,000","403,000","729,000","1,280,000","1,170,000","1,080,000","1,100,000","1,080,000","860,000","700,000","616,000","590,000","572,000","565,000","556,000","535,000","528,000","526,000","523,000","521,000","520,000","521,000","537,000","592,000","602,000","518,000","498,000","492,000","489,000","490,000","498,000","506,000","527,000","555,000","590,000","631,000","651,000","664,000",-
東京都世田谷区松原2-14-17,基準地価,"370,000","380,000","406,000","793,000","1,370,000","1,240,000","1,090,000","1,090,000","1,050,000","900,000","700,000","625,000","600,000","582,000","574,000","568,000","546,000","536,000","527,000","521,000","516,000","515,000","518,000","565,000","633,000","640,000","550,000","533,000","525,000","522,000","526,000","535,000","544,000","562,000","582,000","612,000","630,000","635,000","635,000",-
東京都世田谷区船橋4-5-9,基準地価,"370,000","380,000","398,000","490,000","1,080,000","1,040,000","936,000","936,000","934,000","750,000","580,000","525,000","500,000","485,000","483,000","480,000","472,000","467,000","462,000","455,000","448,000","446,000","446,000","469,000","532,000","540,000","469,000","454,000","449,000","446,000","448,000","454,000","460,000","470,000","484,000","499,000","515,000","523,000","519,000",-
東京都世田谷区上北沢1-31-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"524,000","526,000","523,000",-
東京都世田谷区八幡山3-29-8,基準地価,"337,000","347,000","372,000","446,000","995,000","988,000","945,000","973,000","960,000","740,000","592,000","530,000","506,000","485,000","483,000","480,000","470,000","465,000","462,000","457,000","452,000","451,000","453,000","485,000","535,000","531,000","461,000","447,000","442,000","439,000","440,000","446,000","453,000","465,000","477,000","496,000","515,000","523,000","520,000",-
東京都世田谷区等々力五丁目33番15,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"653,000","640,000","610,000","600,000","587,000","577,000","571,000","570,000","572,000","639,000","754,000","761,000","655,000","635,000","629,000","624,000","624,000","637,000","648,000","680,000","692,000","705,000","724,000","734,000","738,000",-
東京都世田谷区下馬3-7-8,基準地価,"396,000","419,000","480,000","927,000","1,990,000","1,810,000","1,620,000","1,620,000","1,510,000","1,110,000","812,000","715,000","678,000","653,000","643,000","631,000","605,000","585,000","560,000","550,000","538,000","537,000","545,000","602,000","700,000","705,000","600,000","580,000","572,000","568,000","573,000","584,000","595,000","616,000","641,000","667,000","675,000","681,000","681,000",-
東京都世田谷区弦巻5-19-8,基準地価,-,-,-,-,-,-,"1,220,000","1,250,000","1,190,000","928,000","710,000","650,000","620,000","598,000","587,000","565,000","542,000","529,000","521,000","512,000","507,000","505,000","505,000","541,000","620,000","635,000","542,000","528,000","524,000","520,000","522,000","531,000","538,000","551,000","568,000","596,000","623,000","620,000","620,000",-
東京都世田谷区岡本3-7-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,"560,000","534,000","518,000","512,000","504,000","490,000","480,000","475,000","470,000","463,000","456,000","454,000","469,000","538,000","536,000","470,000","457,000","448,000","445,000","446,000","454,000","461,000","471,000","480,000","488,000","496,000","496,000","486,000",-
東京都世田谷区池尻3-17-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"718,000","740,000","755,000",-
東京都世田谷区瀬田4-35-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"561,000","574,000","584,000","599,000","611,000","635,000","648,000","655,000","655,000",-
東京都世田谷区深沢2-14-12,基準地価,"362,000","382,000","436,000","828,000","1,450,000","1,350,000","1,330,000","1,340,000","1,260,000","945,000","709,000","634,000","605,000","588,000","584,000","582,000","560,000","547,000","540,000","535,000","527,000","523,000","526,000","578,000","665,000","665,000","570,000","552,000","545,000","542,000","545,000","552,000","565,000","582,000","601,000","619,000","635,000","635,000","635,000",-
東京都世田谷区東玉川2-28-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"556,000","557,000","567,000","577,000","590,000","606,000","624,000","637,000","637,000","633,000",-
東京都世田谷区太子堂3-2-16,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"560,000","588,000","623,000","653,000","691,000","712,000","730,000",-
東京都世田谷区岡本2-3-19,基準地価,"323,000","328,000","338,000","436,000","950,000","930,000","860,000","903,000","885,000","737,000","580,000","520,000","510,000","495,000","493,000","490,000","475,000","465,000","461,000","456,000","445,000","437,000","438,000","453,000","510,000","500,000","440,000","425,000","417,000","415,000","416,000","423,000","430,000","440,000","453,000","481,000","513,000","529,000","532,000",-
東京都世田谷区玉川台2-8-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"542,000","552,000","562,000","582,000","610,000","650,000","680,000","690,000","697,000",-
東京都世田谷区上用賀4-2-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"610,000","633,000","640,000","642,000",-
東京都世田谷区深沢7-15-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"574,000","583,000","593,000","611,000","632,000","645,000","652,000","655,000","660,000",-
東京都世田谷区成城9-9-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"425,000","422,000","426,000","431,000","438,000","447,000","458,000","470,000","475,000","477,000","477,000",-
東京都世田谷区駒沢4-27-15,基準地価,"373,000","386,000","424,000","765,000","1,470,000","1,350,000","1,250,000","1,280,000","1,230,000","980,000","755,000","655,000","630,000","609,000","597,000","585,000","565,000","560,000","557,000","555,000","539,000","536,000","537,000","585,000","668,000","680,000","584,000","564,000","559,000","556,000","557,000","566,000","576,000","593,000","614,000","650,000","670,000","679,000","681,000",-
