市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
渋谷区,総平均,"1,379,000","1,619,734","2,531,020","4,384,343","6,983,593","7,498,181","7,600,606","7,895,454","7,913,333","6,835,925","5,295,714","3,411,821","2,459,340","1,912,806","1,748,193","1,708,727","1,630,111","1,563,012","1,547,695","1,640,950","1,658,800","1,675,190","1,744,806","1,986,185","2,640,404","3,097,771","2,931,477","2,581,842","2,503,882","2,426,400","2,422,929","2,561,089","2,707,205","2,907,729","3,268,176","3,620,858","4,133,816","4,457,517","4,370,229",-
渋谷区,公示地価平均,"1,346,535","1,552,857","2,361,428","4,464,241","6,911,724","8,107,741","8,055,161","8,362,258","8,411,290","7,630,218","6,047,380","3,773,959","2,666,452","2,020,509","1,810,867","1,781,094","1,653,962","1,573,018","1,555,351","1,699,416","1,708,458","1,725,125","1,786,140","2,020,814","2,689,823","3,339,242","3,095,750","2,693,650","2,655,966","2,558,220","2,540,627","2,712,307","2,855,192","3,043,050","3,450,423","3,828,186","4,234,271","4,660,152","4,539,915","4,547,254"
渋谷区,基準地価平均,"1,422,285","1,708,904","2,757,142","4,318,142","7,043,142","6,958,285","7,198,000","7,482,000","7,472,285","6,109,714","4,393,714","2,904,828","2,145,714","1,749,714","1,653,285","1,599,142","1,584,964","1,543,714","1,532,928","1,490,607","1,531,107","1,546,785","1,636,111","1,896,407","2,511,153","2,484,807","2,527,115","2,310,923","2,158,769","2,127,269","2,155,846","2,258,653","2,411,230","2,600,653","2,854,615","3,150,384","3,922,142","4,030,535","4,012,678",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都渋谷区神宮前3-13-13,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,630,000",-
東京都渋谷区千駄ヶ谷1-26-11,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"825,000","842,000","880,000","1,060,000","1,350,000","1,320,000","1,100,000","1,050,000","1,010,000","995,000","1,000,000","1,030,000","1,060,000","1,100,000","1,150,000","1,200,000","1,250,000","1,260,000","1,260,000",-
東京都渋谷区猿楽町15-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,450,000","1,370,000","1,140,000","1,080,000","1,050,000","1,050,000","1,060,000","1,100,000","1,150,000","1,190,000","1,250,000","1,310,000","1,380,000","1,410,000","1,430,000",-
東京都渋谷区代々木3-6-4,基準地価,-,-,-,-,"3,300,000","3,050,000","3,020,000","3,020,000","2,950,000","2,150,000","1,530,000","1,100,000","950,000","800,000","776,000","765,000","726,000","726,000","726,000","726,000","726,000","734,000","756,000","900,000","1,080,000","1,030,000","880,000","860,000","850,000","840,000","850,000","875,000","904,000","933,000","966,000","1,000,000","1,060,000","1,080,000","1,080,000",-
東京都渋谷区本町1-9-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"546,000","560,000","630,000","610,000","570,000","568,000","568,000","568,000","575,000","589,000","603,000","621,000","639,000","660,000","685,000","705,000","705,000",-
