市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
品川区,総平均,"660,300","746,795","873,571","1,275,352","2,776,509","2,922,678","3,024,610","3,047,152","3,017,610","2,699,593","1,944,486","1,560,987","1,200,144","1,016,533","889,455","830,033","788,352","746,034","720,420","712,368","699,320","690,543","695,840","743,878","907,829","1,024,576","904,157","836,068","806,807","798,204","808,409","881,619","922,422","924,524","976,060","1,038,819","1,110,783","1,173,180","1,165,518",-
品川区,公示地価平均,"774,520","850,720","1,019,800","1,465,888","3,429,354","3,658,437","3,606,250","3,661,562","3,649,062","3,354,312","2,269,044","1,794,519","1,313,000","1,101,344","948,672","874,229","824,459","777,131","749,114","735,197","720,013","709,447","715,864","755,878","920,788","1,073,086","951,227","875,796","841,466","830,166","834,033","939,958","981,562","963,881","1,018,883","1,084,233","1,160,600","1,242,600","1,228,066","1,240,166"
品川区,基準地価平均,"546,080","638,541","721,250","1,061,000","1,933,250","1,941,666","2,335,259","2,318,962","2,269,222","1,923,629","1,440,862","1,142,241","962,758","838,137","764,896","737,068","706,777","675,777","655,592","648,111","641,074","637,333","638,846","708,360","867,826","879,043","769,086","725,521","716,391","714,826","741,565","759,869","799,000","823,565","864,347","920,347","980,826","992,086","1,002,347",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都品川区荏原2-11-8,基準地価,"375,000","385,000","410,000","600,000","1,090,000","1,060,000","970,000","970,000","920,000","740,000","620,000","570,000","560,000","550,000","540,000","531,000","518,000","500,000","495,000","493,000","486,000","484,000","490,000","534,000","588,000","585,000","525,000","499,000","497,000","495,000","499,000","510,000","541,000","563,000","588,000","628,000","660,000","667,000","679,000",-
東京都品川区上大崎2-6-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"960,000","985,000","1,020,000","1,040,000","1,060,000","1,090,000","1,130,000","1,140,000","1,160,000",-
東京都品川区東大井3-3-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"580,000","613,000","646,000","654,000","667,000",-
東京都品川区豊町3-4-17,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"483,000","500,000","532,000","548,000","570,000","607,000","641,000","649,000","662,000",-
東京都品川区西中延2-9-1,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"488,000","486,000","490,000","510,000","541,000","560,000","585,000","625,000","660,000","668,000","681,000",-
