市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
杉並区,総平均,"452,669","478,881","523,871","675,376","1,417,100","1,614,541","1,556,212","1,562,292","1,564,238","1,389,141","1,042,713","832,185","719,341","633,869","595,845","569,975","542,129","518,367","506,877","496,339","487,805","483,767","485,333","497,300","547,564","589,361","531,529","499,900","500,600","497,448","502,472","526,351","540,981","547,741","574,568","604,568","641,504","673,608","670,544",-
杉並区,公示地価平均,"460,568","493,482","516,637","615,413","1,299,378","1,592,575","1,502,878","1,498,636","1,499,242","1,426,606","1,072,825","826,910","714,369","623,864","586,351","564,945","533,666","510,414","496,900","487,660","479,643","474,756","475,053","481,000","525,879","582,390","529,842","490,445","492,616","488,558","492,418","519,608","532,579","532,611","555,965","582,267","617,023","657,023","649,720","664,313"
杉並区,基準地価平均,"442,488","459,186","533,627","756,255","1,597,790","1,648,255","1,631,106","1,651,680","1,655,510","1,336,531","990,920","842,840","730,380","656,080","616,509","580,921","563,477","538,431","532,045","519,022","509,136","507,318","512,348","541,829","607,615","608,128","535,641","522,205","518,205","517,051","524,641","538,282","555,846","580,717","615,589","653,743","695,487","710,179","716,461",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都杉並区高円寺北1-15-12,基準地価,"333,000","340,000","370,000","536,000","1,100,000","1,040,000","980,000","1,010,000","970,000","747,000","600,000","545,000","518,000","492,000","482,000","472,000","460,000","453,000","447,000","441,000","433,000","431,000","433,000","450,000","502,000","502,000","444,000","441,000","439,000","437,000","440,000","450,000","465,000","484,000","499,000","525,000","550,000","555,000","560,000",-
東京都杉並区高円寺南4-40-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"530,000","542,000","558,000","572,000","587,000","605,000","635,000","647,000","653,000",-
東京都杉並区堀ノ内2-11-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"430,000","442,000","456,000","472,000","496,000","521,000","523,000","524,000",-
東京都杉並区永福1-37-17,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"519,000","529,000","540,000","555,000","572,000","592,000","616,000","626,000","632,000",-
東京都杉並区西荻南2-11-2,基準地価,"360,000","370,000","395,000","567,000","1,180,000","1,150,000","1,080,000","1,100,000","1,060,000","850,000","650,000","580,000","556,000","528,000","516,000","497,000","486,000","475,000","466,000","464,000","461,000","458,000","460,000","479,000","545,000","546,000","483,000","475,000","471,000","471,000","473,000","482,000","497,000","513,000","529,000","549,000","577,000","583,000","589,000",-
東京都杉並区高井戸西2-7-7,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"456,000","459,000","469,000","480,000","492,000","506,000","523,000","547,000","556,000","560,000",-
東京都杉並区久我山1-5-17,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"542,000","553,000","572,000","604,000","633,000","660,000","694,000","703,000","718,000",-
