市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
墨田区,総平均,"534,583","557,352","579,558","656,363","1,501,151","2,048,090","2,129,764","2,194,529","2,179,676","1,755,676","1,459,558","1,212,666","907,019","716,764","616,392","569,153","525,660","484,700","451,160","428,865","417,769","411,884","410,627","416,440","479,708","531,595","493,130","469,244","463,744","461,069","464,720","486,575","498,675","500,488","519,046","549,534","595,046","630,534","629,767",-
墨田区,公示地価平均,"539,625","555,375","578,937","638,133","1,272,200","2,214,000","2,279,666","2,364,666","2,396,533","2,091,666","1,607,333","1,293,739","944,482","742,862","625,206","580,689","530,620","490,206","453,689","430,967","417,612","409,806","407,516","407,900","462,827","529,178","499,037","471,615","468,625","462,666","465,541","497,047","511,571","501,541","518,500","544,500","589,458","647,458","644,291","654,000"
墨田区,基準地価平均,"530,550","559,111","580,111","671,555","1,691,944","1,909,833","2,011,421","2,060,210","2,008,473","1,490,421","1,318,500","1,127,909","857,636","682,363","604,772","554,608","518,809","477,095","447,666","425,761","418,000","414,952","415,450","429,250","505,473","535,157","484,736","466,000","457,578","459,052","463,684","475,000","484,421","499,157","519,736","555,894","602,105","609,157","611,421",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都墨田区立花1-25-2,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"329,000","315,000","305,000","301,000","297,000","293,000","290,000","288,000","293,000","318,000","325,000","298,000","289,000","282,000","282,000","282,000","288,000","293,000","297,000","304,000","314,000","325,000","329,000","329,000",-
東京都墨田区菊川3-14-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"422,000","430,000","439,000","451,000","470,000","501,000","538,000","548,000","552,000",-
東京都墨田区押上3-18-9,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"316,000","316,000","322,000","328,000","335,000","346,000","367,000","393,000","400,000","403,000",-
東京都墨田区向島3-14-6,基準地価,-,-,-,-,-,-,-,-,"1,170,000","950,000","830,000","730,000","643,000","560,000","500,000","475,000","452,000","425,000","400,000","382,000","374,000","368,000","366,000","380,000","425,000","440,000","403,000","388,000","382,000","380,000","381,000","389,000","396,000","404,000","419,000","446,000","478,000","487,000","488,000",-
東京都墨田区東向島3-16-17,基準地価,"352,000","357,000","359,000","364,000","540,000","587,000","587,000","618,000","618,000","545,000","491,000","450,000","430,000","395,000","375,000","364,000","347,000","334,000","321,000","306,000","298,000","296,000","295,000","306,000","330,000","340,000","312,000","302,000","295,000","294,000","295,000","300,000","304,000","310,000","318,000","337,000","360,000","367,000","368,000",-
