市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
台東区,総平均,"1,142,255","1,237,488","1,429,744","2,398,790","4,068,936","4,520,659","4,620,367","4,896,530","4,878,571","4,374,081","3,443,311","2,832,250","2,288,944","1,728,861","1,429,152","1,235,780","1,187,712","1,110,394","1,032,056","1,002,715","944,989","903,305","893,858","919,326","1,105,943","1,299,267","1,177,674","1,080,536","1,000,615","975,628","983,333","1,103,437","1,134,812","1,083,102","1,160,512","1,255,858","1,418,712","1,559,087","1,500,500",-
台東区,公示地価平均,"1,295,857","1,405,476","1,671,571","2,158,476","4,280,400","5,133,640","5,113,520","5,475,200","5,472,400","5,045,200","3,859,705","3,071,878","2,509,977","1,877,955","1,523,711","1,308,377","1,202,955","1,107,022","1,027,266","1,013,434","955,550","911,869","895,865","905,417","1,079,625","1,321,419","1,207,677","1,097,724","1,004,462","973,518","983,018","1,162,750","1,193,650","1,078,314","1,149,666","1,237,407","1,376,259","1,571,555","1,492,074","1,499,740"
台東区,基準地価平均,"995,636","1,077,136","1,198,909","2,628,181","3,828,636","3,824,090","4,106,666","4,293,750","4,260,000","3,675,000","2,918,962","2,468,370","1,920,555","1,480,370","1,271,555","1,119,107","1,163,214","1,116,230","1,040,346","974,269","916,961","880,576","888,480","956,600","1,176,125","1,242,041","1,103,916","1,039,000","991,958","980,375","984,041","1,004,583","1,036,750","1,093,875","1,184,916","1,297,375","1,506,884","1,533,192","1,518,000",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都台東区上野桜木1-1-5,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"633,000","610,000","600,000","595,000","593,000","591,000","591,000","593,000","650,000","780,000","820,000","720,000","682,000","663,000","657,000","658,000","671,000","685,000","704,000","728,000","772,000","830,000","830,000","853,000",-
東京都台東区根岸5-11-4,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"448,000","449,000","456,000","464,000","476,000","497,000","532,000","573,000","580,000","584,000",-
東京都台東区浅草1-29-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,120,000","1,180,000","1,270,000","1,430,000","1,650,000","2,220,000","2,210,000","2,180,000",-
東京都台東区元浅草1-6-12,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000,000","880,000","828,000","802,000","792,000","792,000","808,000","824,000","853,000","920,000","1,000,000","1,140,000","1,170,000","1,180,000",-
東京都台東区寿1-14-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"490,000","480,000","470,000","460,000","446,000","432,000","426,000","442,000","525,000","560,000","501,000","471,000","457,000","452,000","453,000","461,000","471,000","486,000","520,000","562,000","640,000","659,000","662,000",-
東京都台東区浅草7-2-7,基準地価,-,-,-,-,-,-,-,"2,700,000","2,620,000","2,170,000","1,820,000","1,550,000","1,270,000","960,000","792,000","710,000","657,000","630,000","610,000","593,000","554,000","520,000","507,000","530,000","630,000","655,000","568,000","534,000","514,000","508,000","509,000","519,000","530,000","547,000","581,000","629,000","711,000","727,000","733,000",-
東京都台東区駒形1-4-15,基準地価,-,-,-,-,-,-,-,-,-,-,"3,850,000","3,330,000","2,660,000","1,970,000","1,540,000","1,330,000","1,150,000","1,040,000","957,000","900,000","840,000","800,000","785,000","850,000","990,000","1,000,000","933,000","875,000","845,000","836,000","839,000","859,000","884,000","917,000","990,000","1,100,000","1,290,000","1,330,000","1,340,000",-
東京都台東区浅草5-37-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"566,000","578,000","583,000",-
東京都台東区三ノ輪1-28-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"730,000","690,000","665,000","655,000","705,000","845,000","907,000","805,000","755,000","732,000","722,000","722,000","737,000","752,000","777,000","827,000","894,000","970,000","998,000","1,000,000",-
東京都台東区浅草橋1-18-10,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,530,000","3,280,000","3,030,000","2,850,000","2,500,000","2,300,000","2,100,000","1,960,000","1,900,000","1,970,000","2,250,000","2,280,000","1,990,000","1,850,000","1,780,000","1,770,000","1,780,000","1,810,000","1,870,000","1,970,000","2,090,000","2,270,000","2,610,000","2,670,000","2,650,000",-
東京都台東区上野5-15-13,基準地価,-,-,-,-,-,-,"10,500,000","10,500,000","10,300,000","8,590,000","6,800,000","5,550,000","4,330,000","3,410,000","2,800,000","2,530,000","2,230,000","2,070,000","1,930,000","1,800,000","1,700,000","1,630,000","1,610,000","1,690,000","2,030,000","2,180,000","1,960,000","1,840,000","1,780,000","1,750,000","1,760,000","1,800,000","1,850,000","1,960,000","2,130,000","2,320,000","2,650,000","2,700,000","2,700,000",-
