市区町村,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
豊島区,総平均,"1,071,933","1,184,666","1,370,688","2,206,955","3,861,755","4,452,367","4,869,169","5,195,698","5,376,415","5,000,811","3,498,301","2,487,898","1,917,333","1,552,875","1,344,236","1,219,388","1,135,391","1,033,884","956,884","956,804","900,057","865,655","866,470","893,023","1,090,096","1,282,500","1,114,753","1,054,827","1,040,402","1,036,714","1,040,597","1,141,442","1,192,385","1,190,285","1,274,259","1,381,012","1,517,467","1,615,623","1,587,519",-
豊島区,公示地価平均,"1,249,166","1,392,916","1,659,250","2,149,833","4,153,785","4,877,500","5,099,285","5,280,714","5,612,857","5,252,250","3,473,783","2,509,720","1,926,956","1,567,043","1,345,760","1,212,413","1,086,826","982,195","905,391","946,640","888,328","852,093","849,269","855,253","1,029,737","1,263,633","1,097,169","1,023,779","1,015,072","1,013,272","1,010,690","1,133,416","1,179,375","1,150,890","1,228,254","1,325,800","1,447,581","1,567,054","1,530,381","1,534,727"
豊島区,基準地価平均,"869,380","946,666","1,040,904","2,272,238","3,472,380","3,885,523","4,611,440","5,100,480","5,111,600","4,719,200","3,533,192","2,451,807","1,900,307","1,527,807","1,341,538","1,231,730","1,232,521","1,137,260","1,059,869","985,086","932,695","903,391","915,727","1,001,181","1,257,454","1,333,954","1,161,909","1,138,090","1,103,727","1,095,318","1,115,363","1,158,954","1,220,772","1,288,772","1,389,272","1,519,045","1,692,181","1,737,045","1,730,363",-

住所,,1983年,1984年,1985年,1986年,1987年,1988年,1989年,1990年,1991年,1992年,1993年,1994年,1995年,1996年,1997年,1998年,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年
東京都豊島区巣鴨1-35-6,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"670,000","625,000","585,000","552,000","525,000","510,000","510,000","535,000","635,000","661,000","595,000","585,000","568,000","563,000","564,000","580,000","603,000","627,000","655,000","700,000","760,000","780,000","780,000",-
東京都豊島区西池袋4-16-3,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,"605,000","576,000","553,000","521,000","487,000","474,000","462,000","439,000","427,000","430,000","460,000","543,000","565,000","509,000","497,000","485,000","485,000","487,000","495,000","503,000","515,000","535,000","567,000","607,000","621,000","627,000",-
東京都豊島区長崎3-18-11,基準地価,-,-,-,-,-,-,-,-,"1,000,000","800,000","620,000","530,000","504,000","467,000","458,000","455,000","446,000","433,000","423,000","410,000","398,000","394,000","394,000","422,000","491,000","500,000","450,000","435,000","425,000","422,000","427,000","435,000","450,000","465,000","482,000","515,000","550,000","556,000","561,000",-
東京都豊島区千川1-20-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"590,000","640,000","647,000","655,000",-
東京都豊島区巣鴨5-47-8,基準地価,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"525,000","537,000","545,000",-
