,0
0,1.0
1,5.0
2,12.0
3,3.0
4,1.0
5,6.0
6,6.0
7,1.0
8,4.0
9,2.0
10,1.0
11,1.0
12,6.0
13,3.0
14,4.0
15,4.0
16,2.0
17,1.0
18,5.0
19,8.0
20,
21,7.0
22,10.0
23,4.0
24,2.0
25,1.0
26,12.0
27,2.0
28,10.0
29,1.0
30,4.0
31,1.0
32,3.0
33,3.0
34,4.0
35,1.0
36,2.0
37,8.0
38,4.0
39,
40,2.0
41,3.0
42,3.0
43,1.0
44,4.0
45,7.0
46,2.0
47,11.0
48,1.0
49,4.0
50,2.0
51,1.0
52,7.0
53,2.0
54,6.0
55,1.0
56,11.0
57,13.0
58,9.0
59,3.0
60,3.0
61,4.0
62,4.0
63,3.0
64,4.0
65,10.0
66,3.0
67,3.0
68,5.0
69,2.0
70,2.0
71,1.0
72,2.0
73,1.0
74,2.0
75,2.0
76,2.0
77,3.0
78,1.0
79,4.0
80,2.0
81,3.0
82,1.0
83,
84,4.0
85,9.0
86,2.0
87,1.0
88,2.0
89,7.0
90,3.0
91,3.0
92,2.0
93,2.0
94,2.0
95,1.0
96,5.0
97,10.0
98,6.0
99,
100,2.0
101,5.0
102,1.0
103,8.0
104,2.0
105,1.0
106,2.0
107,4.0
108,2.0
109,2.0
110,2.0
111,1.0
112,1.0
113,3.0
114,3.0
115,2.0
116,4.0
117,2.0
118,5.0
119,3.0
120,8.0
121,5.0
122,
123,4.0
124,12.0
125,1.0
126,5.0
127,3.0
128,3.0
129,2.0
130,4.0
131,3.0
132,4.0
133,3.0
134,1.0
135,3.0
136,2.0
137,3.0
138,2.0
139,5.0
140,7.0
141,4.0
142,3.0
143,9.0
144,9.0
145,2.0
146,2.0
147,12.0
148,1.0
149,12.0
150,12.0
151,3.0
152,2.0
153,2.0
154,1.0
155,3.0
156,3.0
157,2.0
158,1.0
159,1.0
160,7.0
161,6.0
162,3.0
163,2.0
164,5.0
165,1.0
166,1.0
167,
168,1.0
169,2.0
170,
171,3.0
172,2.0
173,2.0
174,9.0
175,1.0
176,2.0
177,4.0
178,2.0
179,3.0
180,4.0
181,2.0
182,2.0
183,5.0
184,1.0
185,2.0
186,9.0
187,2.0
188,4.0
189,3.0
190,3.0
191,4.0
192,2.0
193,2.0
194,12.0
195,2.0
196,3.0
197,2.0
198,2.0
199,2.0
200,2.0
201,3.0
202,2.0
203,3.0
204,2.0
205,2.0
206,5.0
207,1.0
208,3.0
209,2.0
210,2.0
211,10.0
212,2.0
213,2.0
214,3.0
215,2.0
216,3.0
217,3.0
218,2.0
219,1.0
220,1.0
221,7.0
222,9.0
223,3.0
224,6.0
225,2.0
226,1.0
227,6.0
228,4.0
229,3.0
230,5.0
231,1.0
232,3.0
233,14.0
234,1.0
235,5.0
236,2.0
237,6.0
238,2.0
239,3.0
240,3.0
241,1.0
242,10.0
243,2.0
244,5.0
245,3.0
246,1.0
247,1.0
248,3.0
249,1.0
250,2.0
251,5.0
252,5.0
253,11.0
254,2.0
255,5.0
256,2.0
257,6.0
258,30.0
259,3.0
260,2.0
261,3.0
262,2.0
263,2.0
264,2.0
265,2.0
266,2.0
267,1.0
268,2.0
269,6.0
270,2.0
271,1.0
272,7.0
273,2.0
274,30.0
275,
276,19.0
277,4.0
278,2.0
279,2.0
280,1.0
281,15.0
282,5.0
283,9.0
284,2.0
285,2.0
286,3.0
287,2.0
288,1.0
289,7.0
290,2.0
291,5.0
292,
293,2.0
294,9.0
295,2.0
296,1.0
297,1.0
298,3.0
299,1.0
300,2.0
301,1.0
302,3.0
303,2.0
304,2.0
305,12.0
306,1.0
307,6.0
308,2.0
309,1.0
310,2.0
311,4.0
312,25.0
313,6.0
314,4.0
315,1.0
316,2.0
317,3.0
318,5.0
319,4.0
320,6.0
321,3.0
322,2.0
323,2.0
324,3.0
325,2.0
326,3.0
327,3.0
328,3.0
329,3.0
330,1.0
331,2.0
332,2.0
333,1.0
334,1.0
335,1.0
336,2.0
337,2.0
338,1.0
339,6.0
340,2.0
341,2.0
342,1.0
343,1.0
344,8.0
345,2.0
346,2.0
347,1.0
348,2.0
349,4.0
350,5.0
351,8.0
352,2.0
353,2.0
354,3.0
355,2.0
356,3.0
357,2.0
358,2.0
359,3.0
360,3.0
361,1.0
362,2.0
363,4.0
364,1.0
365,1.0
366,2.0
367,3.0
368,2.0
369,2.0
370,3.0
371,1.0
372,21.0
373,2.0
374,28.0
375,1.0
376,6.0
377,6.0
378,3.0
379,3.0
380,13.0
381,6.0
382,13.0
383,6.0
384,1.0
385,2.0
386,2.0
387,5.0
388,2.0
389,2.0
390,3.0
391,4.0
392,2.0
393,1.0
394,3.0
395,8.0
396,2.0
397,7.0
398,6.0
399,11.0
400,2.0
401,2.0
402,2.0
403,2.0
404,2.0
405,7.0
406,2.0
407,3.0
408,2.0
409,2.0
410,
411,8.0
412,5.0
413,2.0
414,3.0
415,2.0
416,5.0
417,3.0
418,4.0
419,
420,1.0
421,7.0
422,2.0
423,3.0
424,11.0
425,2.0
426,1.0
427,3.0
428,4.0
429,2.0
430,3.0
431,5.0
432,7.0
433,1.0
434,3.0
435,5.0
436,9.0
437,1.0
438,2.0
439,4.0
440,9.0
441,2.0
442,2.0
443,3.0
444,2.0
445,1.0
446,7.0
447,1.0
448,7.0
449,2.0
450,1.0
451,12.0
452,3.0
453,1.0
454,3.0
455,9.0
456,1.0
457,4.0
458,2.0
459,3.0
460,15.0
461,2.0
462,1.0
463,8.0
464,1.0
465,3.0
466,4.0
