iter	RMSE
0	71818.53925
1	69853.20773
2	68122.82502
3	66656.72918
4	65414.93012
5	63533.61561
6	62556.26301
7	61332.81917
8	60179.82877
9	58628.72242
10	57431.83693
11	56194.9657
12	55084.26831
13	54266.88158
14	53158.35836
15	52517.73637
16	51669.03764
17	50786.88945
18	50043.48453
19	49402.06458
20	48655.80102
21	47611.1615
22	46893.85377
23	46182.31966
24	45647.62369
25	44775.81971
26	44033.79071
27	43314.51092
28	42823.5942
29	42577.78452
30	42473.59026
31	41793.09902
32	41261.8091
33	40502.34066
34	40365.66957
35	39685.50965
36	39324.11417
37	39265.47655
38	39082.98405
39	38633.9414
40	38342.63843
41	37744.46074
42	37347.06683
43	36963.6529
44	36764.14513
45	36297.85277
46	36144.45382
47	35871.73584
48	35585.77065
49	35466.1679
50	35122.76757
51	34937.71339
52	34805.74543
53	34640.18337
54	34302.44236
55	34234.97544
56	34112.13618
57	33964.2862
58	33744.3453
59	33632.582
60	33442.91909
61	33286.66232
62	33195.05749
63	32995.07457
64	32936.60408
65	32893.26244
66	32803.30083
67	32738.0044
68	32532.81658
69	32407.65526
70	32366.18786
71	32314.68745
72	32196.60085
73	32056.61698
74	31965.76672
75	31743.74798
76	31674.22168
77	31613.03484
78	31423.43399
79	31351.29878
80	31307.31132
81	31235.90272
82	31182.95398
83	31166.2376
84	31117.00138
85	31074.75318
86	31013.22172
87	30931.74283
88	30893.74212
89	30863.78216
90	30791.08455
91	30762.42732
92	30750.48249
93	30682.48614
94	30361.02668
95	30312.32133
96	30252.2352
97	30178.75861
98	30153.2908
99	30015.59588
100	30015.59588
101	29958.86298
102	29933.23573
103	29863.52673
104	29709.12149
105	29632.77462
106	29541.56227
107	29501.91646
108	29467.27241
109	29446.54023
110	29378.88424
111	29375.968
112	29288.51303
113	29236.98644
114	29172.3506
115	29010.95658
116	29010.45239
117	28866.57764
118	28842.52006
119	28837.11598
120	28787.99988
121	28772.79316
122	28772.79316
123	28735.76947
124	28735.76947
125	28735.76947
126	28714.18099
127	28678.31415
128	28653.4491
129	28560.35063
130	28518.25005
131	28500.44076
132	28471.7143
133	28450.36514
134	28432.8313
135	28193.87383
136	28188.49582
137	28188.49582
138	28169.95974
139	28169.84429
140	28167.16295
141	28147.39003
142	28107.42681
143	28063.30265
144	27983.76863
145	27972.59619
146	27935.31748
147	27922.69216
148	27916.6155
149	27682.82586
150	27624.1284
151	27596.82447
152	27583.29558
153	27557.9034
154	27494.72039
155	27468.18096
156	27463.40295
157	27305.85703
158	27305.48902
159	27271.48185
160	27244.73994
161	27235.24997
162	27152.73007
163	27105.20454
164	27084.83419
165	27051.67644
166	27017.59352
167	27012.45
168	27009.66216
169	26989.71263
170	26969.93369
171	26962.55734
172	26955.65286
173	26939.98475
174	26909.48288
175	26855.4916
176	26826.1912
177	26783.2043
178	26624.81152
179	26462.37957
180	26360.4101
181	26358.77564
182	26358.43108
183	26358.43108
184	26301.63561
185	26289.74958
186	26287.26403
187	26282.12631
188	26280.90315
189	26001.58968
190	25739.90055
191	25735.78213
192	25735.51251
193	25735.06444
194	25730.05027
195	25714.69263
196	25684.30578
197	25619.56891
198	25612.02832
199	25351.4798
200	25350.96068
201	25301.18905
202	25057.41186
203	24996.82526
204	24927.45596
205	24918.34538
206	24884.52002
207	24844.69258
208	24756.80074
209	24567.02864
210	24433.38154
211	24399.4525
212	24353.58075
213	24338.51184
214	24287.02664
215	24143.24613
216	24030.46154
217	24014.9527
218	24005.44259
219	23992.36122
220	23973.93152
221	23884.9269
222	23722.12404
223	23719.16937
224	23585.46164
225	23546.78461
226	23546.78461
227	23378.04491
228	23345.93525
229	23209.67339
230	23183.74356
231	23125.05436
232	23060.63356
233	22909.4628
234	22841.55901
235	22818.3742
236	22794.12337
237	22682.90749
238	22581.36992
239	22525.97291
240	22490.28523
241	22403.22821
242	22239.15267
243	22135.61616
244	22086.12648
245	22014.08678
246	22011.36762
247	21955.59469
248	21871.94716
249	21802.35379
250	21685.19847
251	21615.99249
252	21534.82956
253	21492.80675
254	21409.34128
255	21317.24789
256	21263.99831
257	21122.29725
258	21062.89358
259	21017.68953
260	20905.86017
261	20872.10736
262	20758.72346
263	20709.32878
264	20675.09571
265	20624.84981
266	20519.63991
267	20457.3552
268	20342.8311
269	20297.67192
270	20206.5927
271	20151.83494
272	20104.63846
273	20064.03347
274	19995.63245
275	19962.46313
276	19875.76016
277	19843.18596
278	19770.6726
279	19714.56623
280	19642.86925
281	19604.63416
282	19559.30255
283	19503.36321
284	19460.22349
285	19389.94363
286	19369.82616
287	19330.39025
288	19280.56411
289	19254.23338
290	19157.54472
291	19134.29611
292	19075.51517
293	19038.26583
294	19014.41822
295	18970.47134
296	18908.03544
297	18892.90811
298	18831.94243
299	18767.41503
300	18727.91703
301	18680.65888
302	18638.22221
303	18561.19113
304	18524.19511
305	18488.28783
306	18456.24249
307	18400.9908
308	18342.97294
309	18308.36357
310	18284.5844
311	18261.25557
312	18223.63124
313	18178.29092
314	18144.20579
315	18116.82887
316	18088.61939
317	18048.43212
318	18009.75417
319	17951.67725
320	17931.13025
321	17900.8921
322	17842.75817
323	17824.97333
324	17799.69362
325	17776.65213
326	17752.45279
327	17697.30316
328	17669.49798
329	17636.86363
330	17612.1664
331	17593.06232
332	17560.54845
333	17540.07395
334	17513.22645
335	17477.03113
336	17451.34233
337	17415.578
338	17394.33594
339	17373.50114
340	17338.11212
341	17311.18005
342	17281.60054
343	17252.51421
344	17205.4394
345	17188.07073
346	17169.57936
347	17121.12517
348	17097.79062
349	17062.82495
350	17043.21266
351	17021.05698
352	16997.28012
353	16976.80976
354	16949.95258
355	16936.32177
356	16914.96787
357	16892.25879
358	16869.77826
359	16826.93778
360	16805.3545
361	16779.494
362	16757.38837
363	16732.93426
364	16711.91515
365	16685.97642
366	16658.73635
367	16647.69638
368	16632.12094
369	16618.39449
370	16611.95334
371	16591.62712
372	16574.68537
373	16553.64559
374	16536.99417
375	16516.35611
376	16497.48002
377	16468.91676
378	16453.87932
379	16434.01272
380	16415.76178
381	16381.4708
382	16361.2507
383	16347.53011
384	16337.09952
385	16316.92851
386	16295.49855
387	16264.99856
388	16248.31635
389	16218.43001
390	16190.1404
391	16141.96684
392	16128.09995
393	16098.467
394	16082.39351
395	16062.45798
396	16037.84958
397	16008.39235
398	15991.50805
399	15975.73186
400	15953.93521
401	15936.4841
402	15914.16414
403	15889.01897
404	15877.05742
405	15855.8074
406	15839.00117
407	15830.17958
408	15809.44679
409	15782.89234
410	15764.44696
411	15743.42905
412	15719.27289
413	15705.70445
414	15691.2887
415	15660.63223
416	15640.39765
417	15624.05084
418	15602.75592
419	15587.67672
420	15569.15535
421	15551.37528
422	15525.16531
423	15511.64168
424	15489.90118
425	15472.78432
426	15448.26122
427	15426.4342
428	15401.81028
429	15392.06947
430	15377.90987
431	15363.73918
432	15345.55242
433	15311.1553
434	15290.11028
435	15277.53048
436	15255.24772
437	15239.18892
438	15224.78949
439	15206.36124
440	15188.11822
441	15173.22731
442	15161.02767
443	15148.96192
444	15135.85946
445	15120.32807
446	15101.05209
447	15084.87317
448	15073.20011
449	15052.30476
450	15038.67299
451	15018.88981
452	15008.01241
453	14979.08555
454	14964.87058
455	14947.13163
456	14932.98688
457	14919.08908
458	14904.5869
459	14881.44187
460	14862.65144
461	14850.11563
462	14834.85229
463	14821.01563
464	14805.24139
465	14791.81676
466	14782.24058
467	14756.038
468	14743.70457
469	14732.84334
470	14722.3945
471	14702.82081
472	14687.92803
473	14681.98752
474	14657.17072
475	14642.98006
476	14620.84795
477	14610.46443
478	14600.76318
479	14593.61333
480	14583.86366
481	14574.10786
482	14561.3257
483	14551.24733
484	14537.20081
485	14513.69053
486	14494.14888
487	14479.23608
488	14466.37067
489	14453.93172
490	14446.74497
491	14436.59095
492	14423.83004
493	14410.48925
494	14400.40829
495	14387.43935
496	14377.09397
497	14353.39556
498	14339.98389
499	14335.33563
500	14321.77724
501	14301.01735
502	14290.64588
503	14279.77062
504	14271.75092
505	14266.74016
506	14256.63227
507	14238.89494
508	14231.08883
509	14215.41512
510	14199.43655
511	14180.5887
512	14168.95399
513	14153.69514
514	14136.85461
515	14123.8227
516	14110.96035
517	14081.74994
518	14070.88681
519	14059.65816
520	14044.88868
521	14038.29539
522	14026.81025
523	14016.99363
524	14004.35883
525	13993.61553
526	13985.25289
527	13977.06734
528	13968.06409
529	13957.05801
530	13949.8023
531	13941.95618
532	13929.8493
533	13918.34262
534	13909.71429
535	13902.58295
536	13886.73549
537	13876.43331
538	13854.63148
539	13848.31097
540	13837.93668
541	13831.92359
542	13817.12805
543	13804.92508
544	13797.40968
545	13764.76581
546	13755.94044
547	13747.58682
548	13736.89191
549	13730.2007
550	13718.13661
551	13706.42461
552	13692.19199
553	13687.67292
554	13678.33926
555	13671.87778
556	13654.6761
557	13639.96481
558	13630.9799
559	13617.90645
560	13606.67053
561	13591.92214
562	13583.68541
563	13572.82717
564	13562.69181
565	13546.15492
566	13536.63619
567	13525.40278
568	13513.70647
569	13503.81457
570	13490.11704
571	13485.24585
572	13460.06515
573	13450.7027
574	13440.68089
575	13425.38167
576	13413.27639
577	13403.68087
578	13391.68126
579	13376.19928
580	13357.14058
581	13346.3653
582	13336.4598
583	13328.96918
584	13321.20393
585	13313.35738
586	13302.42746
587	13293.69219
588	13282.65573
589	13274.65181
590	13268.47112
591	13260.08706
592	13254.77179
593	13248.25433
594	13234.53913
595	13215.52108
596	13207.85216
597	13199.8421
598	13193.20719
599	13187.52451
600	13179.25323
601	13170.88699
602	13157.74479
603	13152.80484
604	13142.92543
605	13133.61971
606	13119.3108
607	13104.17488
608	13097.32399
609	13083.92184
610	13079.43404
611	13067.38087
612	13059.60413
613	13046.0758
614	13026.64643
615	13005.93386
616	12998.72806
617	12989.73951
618	12981.95199
619	12975.32092
620	12960.72692
621	12944.39768
622	12935.74465
623	12926.68968
624	12916.47775
625	12907.18622
626	12899.09273
627	12893.30269
628	12881.72803
629	12876.12
630	12869.22346
631	12860.20738
632	12852.17893
633	12841.55048
634	12835.5172
635	12830.10793
636	12822.84741
637	12815.75067
638	12809.46353
639	12802.63507
640	12788.35471
641	12773.47672
642	12769.26923
643	12760.20688
644	12752.96213
645	12747.78472
646	12742.01602
647	12730.75625
648	12717.21756
649	12713.00575
650	12709.32487
651	12701.10652
652	12690.9521
653	12684.25366
654	12672.54124
655	12667.4123
656	12662.22938
657	12657.89841
658	12651.7397
659	12645.90453
660	12642.11355
661	12632.25574
662	12623.85825
663	12619.21528
664	12609.43696
665	12602.97076
666	12594.03977
667	12588.3758
668	12581.70922
669	12576.44949
670	12568.78738
671	12557.92393
672	12545.67873
673	12540.8151
674	12536.27123
675	12527.86106
676	12515.86479
677	12508.20999
678	12503.49407
679	12494.59062
680	12481.77098
681	12468.20534
682	12461.99443
683	12449.42824
684	12438.89577
685	12431.22279
686	12423.95367
687	12413.07693
688	12405.60561
689	12395.64207
690	12392.11152
691	12384.89732
692	12378.37838
693	12371.27749
694	12363.23108
695	12360.99455
696	12356.82169
697	12350.10404
698	12344.10764
699	12337.84316
700	12330.42745
701	12322.39389
702	12315.14407
703	12306.96795
704	12296.83078
705	12290.0973
706	12280.56728
707	12275.62143
708	12270.41105
709	12263.99805
710	12258.79201
711	12250.91513
712	12242.11225
713	12231.18011
714	12222.60699
715	12215.71479
716	12211.81807
717	12193.35921
718	12186.64366
719	12167.45673
720	12161.12478
721	12149.86539
722	12142.9539
723	12142.01309
724	12137.55712
725	12130.60208
726	12122.90813
727	12112.69945
728	12106.92789
729	12097.32494
730	12089.30346
731	12080.0695
732	12076.49653
733	12071.69003
734	12067.67053
735	12057.79259
736	12052.0186
737	12047.44298
738	12040.11493
739	12033.73955
740	12022.98644
741	12014.02188
742	12009.33866
743	12000.9859
744	11994.95415
745	11991.4761
746	11983.45102
747	11976.18815
748	11968.55632
749	11958.30162
750	11955.07681
751	11948.67956
752	11942.05453
753	11936.54639
754	11934.16088
755	11929.66521
756	11923.00058
757	11912.80234
758	11906.02106
759	11902.33655
760	11894.42202
761	11885.42507
762	11881.5141
763	11876.61561
764	11873.92325
765	11868.82497
766	11863.04172
767	11857.47001
768	11852.81723
769	11848.14944
770	11845.25755
771	11842.54376
772	11836.40338
773	11831.14474
774	11823.9708
775	11817.00027
776	11814.91856
777	11808.15869
778	11802.82279
779	11797.23469
780	11791.82662
781	11785.312
782	11778.97767
783	11775.67718
784	11771.46793
785	11764.59715
786	11756.58372
787	11751.11568
788	11748.43309
789	11741.82647
790	11735.61175
791	11732.58132
792	11726.54552
793	11721.18339
794	11714.09453
795	11707.9353
796	11701.80317
797	11698.32016
798	11690.87712
799	11685.20877
800	11679.63503
801	11677.21663
802	11672.30864
803	11662.8094
804	11658.17107
805	11652.24462
806	11645.93694
807	11641.5289
808	11637.30126
809	11632.76079
810	11629.61198
811	11625.29553
812	11616.94812
813	11614.47941
814	11610.60728
815	11604.12562
816	11598.66882
817	11593.86139
818	11583.36143
819	11577.05266
820	11571.6701
821	11564.39943
822	11560.13017
823	11557.46185
824	11552.41081
825	11548.26636
826	11542.90503
827	11539.77935
828	11530.77162
829	11526.7399
830	11522.73175
831	11516.93144
832	11507.374
833	11500.41889
834	11496.76823
835	11489.72131
836	11484.1495
837	11479.3236
838	11473.84328
839	11467.90549
840	11461.26296
841	11458.18123
842	11452.66962
843	11448.46335
844	11440.87129
845	11434.30341
846	11429.76294
847	11422.41716
848	11419.83245
849	11416.19382
850	11412.89302
851	11406.66547
852	11400.26756
853	11395.22738
854	11387.12702
855	11382.47659
856	11381.04435
857	11371.71521
858	11366.27389
859	11364.1243
860	11358.19172
861	11352.06015
862	11347.74623
863	11341.78264
864	11333.60541
865	11329.89312
866	11326.66861
867	11323.81917
868	11315.44838
869	11310.97664
870	11307.04674
871	11299.6523
872	11290.89805
873	11287.27259
874	11282.65623
875	11280.44815
876	11274.45345
877	11268.47409
878	11264.67797
879	11260.24142
880	11254.54684
881	11246.57363
882	11241.77898
883	11235.55761
884	11224.27205
885	11220.99728
886	11217.70635
887	11213.58992
888	11207.4313
889	11199.03092
890	11192.5608
891	11188.37134
892	11183.44956
893	11180.37673
894	11177.34144
895	11169.0784
896	11163.47307
897	11157.56972
898	11153.19266
899	11144.19815
900	11141.04037
901	11134.20497
902	11129.97871
903	11126.92151
904	11123.98381
905	11117.89219
906	11114.62693
907	11106.74886
908	11101.24446
909	11098.58568
910	11093.15145
911	11089.47295
912	11086.28203
913	11077.22645
914	11072.04786
915	11063.70779
916	11054.87156
917	11051.15539
918	11047.76887
919	11043.4092
920	11038.25694
921	11035.49913
922	11031.63402
923	11028.56827
924	11026.16962
925	11017.05268
926	11012.13989
927	11008.2843
928	11000.12227
929	10999.2347
930	10992.43793
931	10986.34782
932	10982.09327
933	10978.41638
934	10972.04899
935	10968.80037
936	10963.32431
937	10955.40163
938	10950.48752
939	10944.91974
940	10939.48799
941	10933.76287
942	10930.08024
943	10927.91124
944	10926.07296
945	10919.91859
946	10912.75434
947	10903.29093
948	10899.06534
949	10897.09877
950	10893.52453
951	10891.06929
952	10882.49765
953	10877.449
954	10873.80141
955	10869.1207
956	10866.08074
957	10863.81428
958	10852.94883
959	10846.32888
960	10843.06389
961	10836.98204
962	10832.38361
963	10831.13297
964	10823.95426
965	10820.9444
966	10816.35495
967	10813.38885
968	10805.93213
969	10804.55881
970	10800.42472
971	10797.54742
972	10793.21887
973	10790.7439
974	10784.52935
975	10782.66206
976	10779.484
977	10777.34315
978	10772.75157
979	10770.02369
980	10763.51773
981	10760.16893
982	10755.55845
983	10754.47636
984	10752.1121
985	10750.05927
986	10749.41956
987	10746.28519
988	10741.40207
989	10735.86301
990	10730.68185
991	10727.25786
992	10721.78906
993	10717.12646
994	10711.60854
995	10708.75806
996	10702.87897
997	10700.57484
998	10693.53554
999	10685.20124
1000	10676.58605
1001	10673.34566
1002	10668.78959
1003	10668.16713
1004	10665.14545
1005	10662.36147
1006	10659.68736
1007	10655.95206
1008	10653.9896
1009	10649.73473
1010	10646.34761
1011	10644.56831
1012	10641.18609
1013	10638.0889
1014	10633.39907
1015	10627.52107
1016	10624.33595
1017	10619.36458
1018	10614.251
1019	10610.72846
1020	10606.87862
1021	10600.72262
1022	10598.00004
1023	10591.98204
1024	10588.34344
1025	10582.53858
1026	10576.15424
1027	10572.43525
1028	10571.94506
1029	10568.41152
1030	10565.88844
1031	10563.57652
1032	10555.86927
1033	10549.95166
1034	10546.34304
1035	10537.98818
1036	10534.69394
1037	10529.7817
1038	10525.15377
1039	10518.48885
1040	10509.58932
1041	10502.50337
1042	10498.17041
1043	10494.84218
1044	10487.44646
1045	10483.94572
1046	10480.28541
1047	10474.38459
1048	10471.82734
1049	10462.512
1050	10458.27594
1051	10452.71816
1052	10450.96785
1053	10447.67601
1054	10443.36937
1055	10439.48091
1056	10435.45857
1057	10434.08294
1058	10428.51639
1059	10424.47773
1060	10418.63117
1061	10418.33008
1062	10414.67922
1063	10410.02183
1064	10402.91932
1065	10397.94005
1066	10390.40425
1067	10388.39064
1068	10384.21125
1069	10380.07662
1070	10378.62687
1071	10372.89073
1072	10370.74615
1073	10366.98246
1074	10362.46028
1075	10359.89902
1076	10355.25232
1077	10348.69181
1078	10340.36556
1079	10334.82452
1080	10331.70487
1081	10328.02856
1082	10325.66888
1083	10320.31039
1084	10315.59539
1085	10310.57842
1086	10305.28769
1087	10300.82435
1088	10293.1457
1089	10288.05523
1090	10284.3205
1091	10281.85404
1092	10280.04566
1093	10276.90031
1094	10273.97978
1095	10268.66319
1096	10265.61933
1097	10257.64262
1098	10255.35469
1099	10250.55745
1100	10247.68849
1101	10241.67184
1102	10238.19155
1103	10235.43729
1104	10230.2582
1105	10223.93664
1106	10219.78211
1107	10213.69428
1108	10210.21441
1109	10201.62982
1110	10191.67007
1111	10186.55007
1112	10182.41831
1113	10176.16574
1114	10171.8062
1115	10168.0956
1116	10164.88495
1117	10160.51542
1118	10155.05063
1119	10152.01076
1120	10151.09548
1121	10148.94651
1122	10145.98075
1123	10142.38773
1124	10141.36692
1125	10138.09653
1126	10134.02525
1127	10132.42096
1128	10127.86111
1129	10120.09533
1130	10115.30243
1131	10110.88517
1132	10107.15749
1133	10103.94201
1134	10101.32234
1135	10097.96423
1136	10095.42549
1137	10091.89445
1138	10089.77389
1139	10087.00546
1140	10082.78015
1141	10077.10731
1142	10072.98131
1143	10069.75192
1144	10067.51283
1145	10063.18985
1146	10058.28209
1147	10053.30276
1148	10048.56851
1149	10044.93201
1150	10043.38304
1151	10039.9782
1152	10034.28994
1153	10032.30033
1154	10028.88526
