iter	Passed	Remaining
0	9	90127
1	15	77702
2	22	73341
3	33	84860
4	45	90989
5	49	81885
6	58	82958
7	65	82293
8	75	84251
9	85	85464
10	96	87465
11	98	82311
12	104	80375
13	108	77250
14	115	77171
15	123	76995
16	125	73913
17	131	72925
18	136	71510
19	144	72195
20	151	72012
21	155	70702
22	162	70621
23	169	70395
24	176	70513
25	183	70278
26	190	70236
27	196	69901
28	202	69620
29	209	69757
30	216	69749
31	224	70017
32	232	70349
33	235	69109
34	238	67984
35	246	68222
36	248	66907
37	266	69836
38	283	72423
39	290	72246
40	300	72877
41	307	72840
42	318	73661
43	327	74215
44	335	74188
45	342	74116
46	349	73960
47	356	73877
48	362	73621
49	369	73563
50	376	73380
51	382	73246
52	389	73125
53	396	73004
54	402	72818
55	408	72551
56	415	72510
57	417	71647
58	424	71547
59	432	71633
60	439	71561
61	441	70720
62	446	70475
63	453	70433
64	460	70408
65	467	70305
66	472	70120
67	478	69886
68	482	69506
69	487	69181
70	490	68634
71	498	68677
72	504	68597
73	507	68030
74	514	68128
75	520	67938
76	523	67473
77	529	67358
78	545	68482
79	553	68690
80	567	69507
81	579	70120
82	590	70513
83	602	71133
84	613	71520
85	626	72190
86	637	72591
87	646	72864
88	653	72723
89	668	73593
90	675	73518
91	736	79346
92	747	79598
93	753	79392
94	759	79160
95	766	79055
96	772	78862
97	778	78650
98	784	78452
99	790	78279
100	793	77748
101	794	77095
102	801	76993
103	807	76852
104	814	76755
105	820	76593
106	826	76422
107	834	76429
108	838	76054
109	844	75907
110	850	75759
111	856	75583
112	862	75494
113	866	75105
114	871	74928
115	877	74793
116	884	74711
117	890	74575
118	893	74182
119	899	74045
120	905	73952
121	907	73501
122	912	73312
123	918	73187
124	924	73074
125	931	72966
126	932	72478
127	936	72203
128	942	72097
129	948	72047
130	955	71970
131	961	71900
132	964	71569
133	970	71454
134	977	71445
135	984	71373
136	986	71021
137	993	70970
138	999	70940
139	1006	70907
140	1014	70933
141	1021	70890
142	1022	70482
143	1026	70287
144	1032	70154
145	1038	70076
146	1041	69779
147	1046	69667
148	1053	69642
149	1059	69564
150	1065	69499
151	1072	69455
152	1074	69163
153	1082	69181
154	1086	69040
155	1091	68859
156	1093	68553
157	1100	68526
158	1107	68523
159	1111	68374
160	1118	68355
161	1124	68297
162	1130	68241
163	1136	68146
164	1143	68157
165	1148	68047
166	1155	68020
167	1159	67850
168	1165	67776
169	1171	67752
170	1172	67418
171	1179	67381
172	1186	67378
173	1192	67353
174	1199	67350
175	1206	67327
176	1212	67283
177	1218	67245
178	1221	67039
179	1228	67001
180	1234	66951
181	1241	66996
182	1248	66963
183	1256	67005
184	1262	66998
185	1269	67004
186	1275	66909
187	1281	66869
188	1287	66849
189	1294	66815
190	1300	66813
191	1306	66718
192	1311	66660
193	1318	66658
194	1325	66626
195	1330	66549
196	1336	66495
197	1343	66525
198	1349	66478
199	1355	66442
200	1358	66241
201	1365	66230
202	1371	66173
203	1377	66148
204	1379	65913
205	1385	65867
206	1391	65849
207	1397	65783
208	1404	65809
209	1411	65792
210	1414	65645
211	1421	65647
212	1424	65463
213	1431	65450
214	1438	65482
215	1446	65540
216	1453	65523
217	1459	65505
218	1466	65490
219	1472	65481
220	1479	65456
221	1485	65423
222	1492	65428
223	1499	65461
224	1505	65396
225	1512	65398
226	1519	65401
227	1526	65419
228	1532	65387
229	1538	65373
230	1543	65289
231	1550	65282
232	1556	65249
233	1563	65268
234	1571	65288
235	1577	65251
236	1583	65215
237	1589	65194
238	1596	65210
239	1603	65199
240	1610	65205
241	1617	65222
242	1624	65222
243	1630	65205
244	1638	65243
245	1645	65259
246	1652	65266
247	1660	65279
248	1667	65290
249	1674	65287
250	1681	65292
251	1687	65295
252	1694	65278
253	1700	65258
254	1707	65251
255	1713	65229
256	1720	65206
257	1727	65213
258	1734	65221
259	1741	65223
260	1747	65195
261	1753	65180
262	1760	65179
263	1767	65181
264	1774	65184
265	1780	65168
266	1787	65159
267	1794	65156
268	1800	65132
269	1807	65147
270	1815	65173
271	1822	65190
272	1830	65218
273	1837	65232
274	1844	65237
275	1851	65247
276	1860	65300
277	1867	65304
278	1874	65302
279	1881	65320
280	1888	65309
281	1895	65322
282	1902	65339
283	1909	65340
284	1916	65327
285	1924	65349
286	1931	65351
287	1937	65342
288	1944	65348
289	1951	65328
290	1958	65330
291	1967	65405
292	1974	65421
293	1980	65391
294	1987	65390
295	1994	65376
296	2001	65398
297	2008	65381
298	2014	65350
299	2020	65342
300	2027	65329
301	2034	65344
302	2042	65354
303	2049	65354
304	2056	65369
305	2062	65351
306	2069	65339
307	2075	65316
308	2083	65332
309	2090	65337
310	2095	65280
311	2102	65281
312	2109	65286
313	2115	65255
314	2122	65261
315	2129	65252
316	2135	65241
317	2142	65240
318	2149	65239
319	2157	65260
320	2164	65257
321	2171	65254
322	2177	65232
323	2184	65232
324	2191	65250
325	2199	65259
326	2205	65255
327	2212	65238
328	2219	65236
329	2225	65222
330	2233	65234
331	2240	65230
332	2247	65256
333	2254	65259
334	2261	65258
335	2268	65258
336	2276	65263
337	2282	65252
338	2289	65248
339	2296	65242
340	2303	65246
341	2311	65266
342	2318	65268
343	2324	65255
344	2332	65272
345	2338	65250
346	2345	65237
347	2351	65225
348	2358	65209
349	2365	65210
350	2371	65206
351	2379	65219
352	2386	65210
353	2393	65209
354	2399	65189
355	2406	65193
356	2413	65191
357	2420	65180
358	2427	65190
359	2434	65185
360	2440	65174
361	2449	65203
362	2455	65199
363	2463	65214
364	2470	65221
365	2478	65232
366	2484	65221
367	2493	65268
368	2501	65282
369	2507	65270
370	2515	65279
371	2522	65290
372	2529	65290
373	2536	65280
374	2543	65286
375	2550	65290
376	2557	65285
377	2564	65272
378	2571	65274
379	2578	65275
380	2585	65281
381	2593	65291
382	2599	65278
383	2606	65276
384	2613	65259
385	2620	65257
386	2627	65259
387	2634	65271
388	2642	65295
389	2651	65336
390	2659	65355
391	2666	65357
392	2673	65363
393	2681	65371
394	2688	65375
395	2695	65381
396	2703	65401
397	2710	65393
398	2717	65400
399	2724	65383
400	2732	65403
401	2741	65446
402	2748	65455
403	2754	65437
404	2761	65430
405	2768	65421
406	2774	65389
407	2781	65392
408	2787	65370
409	2795	65392
410	2803	65405
411	2810	65406
412	2818	65414
413	2824	65407
414	2833	65443
415	2839	65422
416	2848	65470
417	2856	65478
418	2863	65467
419	2869	65455
420	2877	65462
421	2884	65473
422	2891	65473
423	2899	65489
424	2905	65469
425	2914	65498
426	2920	65476
427	2927	65471
428	2934	65479
429	2942	65492
430	2950	65501
431	2961	65601
432	2969	65610
433	2977	65621
434	2984	65623
435	2992	65644
436	2999	65631
437	3008	65667
438	3015	65680
439	3022	65667
440	3029	65673
441	3037	65678
442	3045	65707
443	3053	65713
444	3060	65714
445	3067	65701
446	3074	65703
447	3081	65696
448	3088	65698
449	3095	65694
450	3101	65674
451	3109	65693
452	3116	65687
453	3123	65671
454	3130	65678
455	3138	65683
456	3145	65688
457	3152	65689
458	3161	65709
459	3167	65690
460	3174	65683
461	3180	65662
462	3188	65673
463	3195	65677
464	3202	65674
465	3210	65689
466	3218	65694
467	3226	65706
468	3234	65738
469	3242	65746
470	3250	65765
471	3259	65787
472	3265	65769
473	3272	65761
474	3279	65755
475	3286	65753
476	3293	65758
477	3300	65743
478	3307	65745
479	3314	65736
480	3322	65743
481	3329	65749
482	3336	65737
483	3343	65731
484	3350	65741
485	3358	65744
486	3365	65739
487	3371	65721
488	3378	65713
489	3384	65681
490	3391	65682
491	3398	65672
492	3404	65659
493	3411	65648
494	3418	65639
495	3424	65621
496	3432	65623
497	3439	65635
498	3446	65621
499	3453	65619
500	3460	65613
501	3468	65630
502	3476	65633
503	3483	65636
504	3490	65637
505	3497	65615
506	3503	65608
507	3510	65586
508	3517	65588
509	3524	65587
510	3531	65577
511	3538	65568
512	3545	65563
513	3553	65571
514	3559	65566
515	3567	65569
516	3574	65570
517	3581	65550
518	3587	65542
519	3594	65525
520	3602	65534
521	3609	65535
522	3615	65519
523	3622	65516
524	3628	65491
525	3636	65499
526	3644	65506
527	3651	65506
528	3661	65549
529	3668	65540
530	3675	65544
531	3681	65527
532	3688	65512
533	3695	65503
534	3702	65508
535	3709	65502
536	3716	65494
537	3724	65497
538	3731	65495
539	3738	65491
540	3746	65505
541	3752	65479
542	3759	65482
543	3766	65476
544	3773	65472
545	3781	65475
546	3788	65466
