,定期借家
0,1
1,1
2,1
3,2
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,3
12,3
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,3
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,2
31,3
32,1
33,2
34,1
35,1
36,1
37,1
38,2
39,2
40,1
41,1
42,1
43,3
44,3
45,1
46,1
47,1
48,1
49,1
50,3
51,1
52,3
53,1
54,1
55,1
56,3
57,1
58,1
59,1
60,1
61,2
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,3
71,1
72,3
73,1
74,3
75,1
76,3
77,1
78,1
79,1
80,3
81,1
82,1
83,1
84,1
85,1
86,1
87,3
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,3
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,3
112,2
113,3
114,1
115,1
116,1
117,3
118,1
119,1
120,1
121,3
122,3
123,1
124,3
125,2
126,1
127,1
128,1
129,1
130,2
131,1
132,1
133,1
134,3
135,1
136,1
137,1
138,1
139,3
140,1
141,1
142,3
143,2
144,3
145,1
146,1
147,1
148,1
149,1
150,3
151,3
152,1
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,3
162,1
163,1
164,1
165,3
166,1
167,2
168,3
169,1
170,2
171,1
172,1
173,1
174,3
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,3
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,3
196,1
197,1
198,1
199,1
200,3
201,1
202,1
203,3
204,1
205,3
206,1
207,3
208,1
209,1
210,1
211,2
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,3
220,1
221,1
222,3
223,1
224,1
225,1
226,2
227,1
228,3
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,3
237,3
238,1
239,3
240,1
241,1
242,3
243,1
244,1
245,3
246,1
247,1
248,1
249,1
250,3
251,1
252,2
253,1
254,1
255,1
256,1
257,3
258,3
259,1
260,1
261,1
262,1
263,3
264,1
265,1
266,1
267,1
268,3
269,3
270,1
271,1
272,2
273,1
274,2
275,2
276,3
277,1
278,1
279,3
280,1
281,1
282,1
283,1
284,3
285,1
286,1
287,3
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,2
298,1
299,3
300,1
301,1
302,1
303,3
304,3
305,1
306,1
307,1
308,1
309,1
310,1
311,2
312,3
313,3
314,1
315,1
316,1
317,2
318,1
319,3
320,1
321,1
322,1
323,2
324,1
325,1
326,3
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,3
335,3
336,1
337,1
338,3
339,3
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,2
348,3
349,2
350,1
351,1
352,3
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,2
361,3
362,1
363,1
364,1
365,1
366,1
367,3
368,1
369,1
370,1
371,1
372,1
373,3
374,2
375,3
376,1
377,1
378,1
379,1
380,1
381,3
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,3
391,1
392,1
393,2
394,1
395,1
396,1
397,3
398,1
399,1
400,1
401,1
402,1
403,2
404,3
405,3
406,3
407,1
408,3
409,1
410,2
411,1
412,1
413,3
414,1
415,1
416,1
417,1
418,1
419,2
420,3
421,1
422,3
423,1
424,1
425,1
426,3
427,1
428,1
429,1
430,3
431,1
432,1
433,3
434,1
435,3
436,3
437,3
438,1
439,3
440,1
441,1
442,3
443,3
444,3
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,3
453,1
454,1
455,1
456,1
457,3
458,2
459,1
460,1
461,3
462,3
463,1
464,3
465,3
466,1
467,2
468,1
469,1
470,1
471,3
472,1
473,3
474,3
475,3
476,1
477,1
478,1
479,3
480,1
481,3
482,1
483,1
484,3
485,3
486,1
487,1
488,1
489,1
490,1
491,3
492,1
493,2
494,1
495,1
496,1
497,3
498,3
499,2
500,1
501,1
502,1
503,1
504,1
505,1
506,3
507,3
508,3
509,3
510,1
511,1
512,3
513,1
514,1
515,1
516,1
517,1
518,3
519,1
520,1
521,1
522,3
523,3
524,3
525,1
526,1
527,3
528,1
529,1
530,1
531,1
532,1
533,3
534,3
535,1
536,1
537,1
538,3
539,3
540,1
541,1
542,1
543,3
544,3
545,1
546,3
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,2
555,1
556,1
557,1
558,1
559,1
560,3
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,3
571,1
572,1
573,3
574,1
575,1
576,1
577,2
578,3
579,1
580,1
581,1
582,1
583,3
584,3
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,3
593,1
594,1
595,1
596,3
597,1
598,1
599,1
600,1
601,2
602,1
603,1
604,1
605,1
606,1
607,3
608,3
609,1
610,3
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,3
622,3
623,1
624,1
625,1
626,1
627,1
628,2
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,3
643,3
644,3
645,1
646,1
647,1
648,1
649,1
650,3
651,1
652,1
653,3
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,3
662,1
663,1
664,1
665,3
666,1
667,3
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
680,3
681,3
682,1
683,1
684,1
685,1
686,1
687,1
688,2
689,1
690,1
691,3
692,3
693,1
694,3
695,3
696,3
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,3
712,1
713,3
714,1
715,1
716,1
717,1
718,3
719,1
720,1
721,3
722,1
723,1
724,1
725,1
726,1
727,1
728,1
729,3
730,2
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,1
741,3
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,3
755,1
756,1
757,2
758,1
759,1
760,1
761,1
762,1
763,1
764,3
765,1
766,3
767,3
768,1
769,1
770,1
771,3
772,1
773,1
774,3
775,1
776,3
777,3
778,1
779,1
780,1
781,1
782,3
783,1
784,3
785,1
786,1
787,1
788,3
789,3
790,1
791,1
792,1
793,3
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,2
802,1
803,1
804,1
805,1
806,2
807,1
808,1
809,1
810,1
811,1
